assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,17.0,0.0,0.3,1.0,0.0,2.4,18.0,90.0,18.0,0.0,0.0,0.0,471.0,0.0,1.0,0.0,14026.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,45.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,471.0,0.0,2.0,0.0,17437.0,0.0,2.0,0.0,0.0,-1.0,981.0,982.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,471.0,0.0,3.0,0.0,16432.0,1.0,1.0,0.0,0.0,-1621.0,319.0,1940.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,471.0,0.0,4.0,0.0,14855.0,1.0,2.0,0.0,0.0,-1822.0,121.0,1943.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,471.0,0.0,5.0,0.0,14219.0,0.0,1.0,0.0,0.0,-757.0,212.0,969.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,471.0,0.0,6.0,0.0,13392.0,3.0,0.0,0.0,0.0,-929.0,145.0,1074.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,471.0,0.0,7.0,0.0,12763.0,0.0,0.0,0.0,0.0,-701.0,106.0,807.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,471.0,0.0,8.0,0.0,12518.0,1.0,3.0,0.0,0.0,-340.0,225.0,565.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,471.0,0.0,9.0,0.0,12211.0,1.0,1.0,0.0,0.0,-365.0,136.0,501.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,471.0,0.0,10.0,0.0,11907.0,2.0,0.0,0.0,0.0,-350.0,67.0,417.0,43.0,1.0,0.0,0.0
