assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,475.0,0.0,1.0,0.0,1137.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,475.0,0.0,2.0,0.0,1105.0,2.0,0.0,0.0,0.0,-192.0,25.0,217.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,475.0,0.0,3.0,0.0,1038.0,1.0,0.0,0.0,0.0,-121.0,27.0,148.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,475.0,0.0,4.0,0.0,981.0,1.0,1.0,0.0,0.0,-105.0,38.0,143.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,475.0,0.0,5.0,0.0,955.0,4.0,1.0,0.0,0.0,-42.0,26.0,68.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,475.0,0.0,6.0,0.0,923.0,1.0,5.0,0.0,0.0,-54.0,39.0,93.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,475.0,0.0,7.0,0.0,908.0,2.0,0.0,0.0,0.0,-27.0,33.0,60.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,475.0,0.0,8.0,0.0,943.0,1.0,6.0,0.0,0.0,13.0,74.0,61.0,44.0,0.0,0.0,0.0
0.0,0.0,15.0,0.0,1.2,2.0,0.0,2.8,26.4,90.0,14.0,0.0,0.0,0.0,475.0,0.0,9.0,0.0,1124.0,2.0,0.0,0.0,1.0,167.0,206.0,39.0,44.0,1.0,0.0,1.0
0.0,0.0,8.0,0.0,0.1,1.0,0.0,3.1,30.4,90.0,18.0,1.0,0.0,0.0,475.0,0.0,10.0,0.0,1425.0,0.0,1.0,0.0,0.0,236.0,281.0,45.0,44.0,0.0,0.0,0.0
0.0,2.0,30.0,0.0,0.2,1.0,1.0,9.7,80.2,90.0,13.0,0.0,0.0,0.0,475.0,0.0,11.0,0.0,1789.0,1.0,2.0,17.0,10.0,277.0,369.0,92.0,44.0,1.0,0.0,10.0
0.0,0.0,13.0,0.0,0.2,3.0,0.0,5.4,16.2,90.0,15.0,0.0,0.0,0.0,475.0,0.0,12.0,0.0,11780.0,0.0,3.0,38.0,1.0,9088.0,9737.0,649.0,44.0,0.0,0.0,1.0
0.0,2.0,23.0,0.0,0.1,1.0,1.0,7.2,54.8,90.0,19.0,0.0,0.0,0.0,475.0,0.0,13.0,0.0,12539.0,1.0,1.0,17.0,9.0,540.0,1488.0,948.0,44.0,1.0,1.0,9.0
0.0,0.0,15.0,0.0,0.6,1.0,0.0,6.1,39.6,90.0,12.0,0.0,0.0,0.0,475.0,0.0,14.0,0.0,37400.0,0.0,1.0,21.0,2.0,22306.0,23431.0,1125.0,44.0,0.0,0.0,2.0
