assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,-1.0,0.0,1.3,0.0,0.0,0.3,0.0,8.0,17.0,0.0,0.0,0.0,836.0,0.0,62.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,45.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,836.0,0.0,63.0,0.0,16704.0,1.0,1.0,0.0,0.0,15292.0,19908.0,4616.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,836.0,0.0,64.0,0.0,26392.0,3.0,2.0,0.0,0.0,8978.0,13323.0,4345.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,836.0,0.0,65.0,0.0,38767.0,2.0,0.0,0.0,0.0,10894.0,17540.0,6646.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,836.0,0.0,66.0,0.0,44736.0,1.0,1.0,0.0,0.0,4447.0,12268.0,7821.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,836.0,0.0,67.0,0.0,45410.0,0.0,0.0,0.0,0.0,262.0,3450.0,3188.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,836.0,0.0,68.0,0.0,43481.0,0.0,3.0,0.0,0.0,689.0,4054.0,3365.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,836.0,0.0,70.0,0.0,43747.0,0.0,3.0,0.0,0.0,1494.0,4312.0,2818.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,836.0,0.0,71.0,0.0,44967.0,2.0,3.0,0.0,0.0,1051.0,3881.0,2830.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,836.0,0.0,72.0,0.0,46707.0,0.0,0.0,0.0,0.0,36.0,2830.0,2794.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,836.0,0.0,74.0,0.0,41990.0,1.0,2.0,0.0,0.0,-907.0,716.0,1623.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,836.0,0.0,75.0,0.0,41424.0,1.0,0.0,0.0,0.0,-759.0,1113.0,1872.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,836.0,0.0,76.0,0.0,40444.0,1.0,0.0,0.0,0.0,-924.0,958.0,1882.0,45.0,1.0,0.0,0.0
0.0,0.0,8.0,0.0,14.8,1.0,0.0,1.9,4.2,17.0,13.0,0.0,0.0,0.0,836.0,0.0,87.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,836.0,0.0,88.0,0.0,124.0,1.0,1.0,0.0,1.0,94.0,118.0,24.0,50.0,1.0,0.0,1.0
0.0,0.0,-2.0,0.0,0.3,0.0,0.0,6.5,2.0,9.0,9.0,0.0,0.0,0.0,836.0,0.0,89.0,0.0,389.0,2.0,3.0,63.0,0.0,211.0,286.0,75.0,50.0,0.0,1.0,0.0
1.0,0.0,12.0,0.0,12.0,2.0,0.0,4.9,15.4,63.0,14.0,0.0,0.0,0.0,836.0,0.0,90.0,0.0,428.0,2.0,2.0,22.0,5.0,45.0,117.0,72.0,50.0,1.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,836.0,0.0,91.0,0.0,1176.0,1.0,3.0,0.0,0.0,681.0,863.0,182.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,836.0,0.0,92.0,0.0,958.0,0.0,1.0,0.0,0.0,-181.0,94.0,275.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,836.0,0.0,93.0,0.0,818.0,2.0,3.0,0.0,0.0,-165.0,66.0,231.0,50.0,1.0,0.0,0.0
0.0,0.0,21.0,0.0,0.3,0.0,1.0,8.3,41.0,25.0,10.0,0.0,0.0,0.0,836.0,0.0,94.0,0.0,680.0,3.0,1.0,42.0,5.0,-149.0,21.0,170.0,50.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,836.0,0.0,95.0,0.0,2964.0,2.0,1.0,0.0,0.0,1983.0,2291.0,308.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,836.0,0.0,96.0,0.0,2561.0,3.0,1.0,0.0,0.0,-254.0,462.0,716.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,836.0,0.0,97.0,0.0,1991.0,0.0,0.0,0.0,0.0,-552.0,130.0,682.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,836.0,0.0,98.0,0.0,1527.0,2.0,1.0,0.0,0.0,-479.0,112.0,591.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,836.0,0.0,99.0,0.0,1222.0,1.0,2.0,0.0,0.0,-316.0,62.0,378.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,836.0,0.0,100.0,0.0,1108.0,1.0,1.0,0.0,0.0,-126.0,36.0,162.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,836.0,0.0,101.0,0.0,993.0,1.0,1.0,0.0,0.0,-119.0,16.0,135.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,836.0,0.0,102.0,0.0,928.0,2.0,1.0,0.0,0.0,-72.0,50.0,122.0,50.0,1.0,0.0,0.0
