assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,20.0,0.0,0.2,1.0,0.0,3.1,31.2,90.0,13.0,0.0,0.0,0.0,485.0,0.0,1.0,0.0,2725.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,45.0,0.0,0.0,2.0
0.0,0.0,16.0,0.0,11.2,2.0,0.0,3.5,23.6,90.0,4.0,0.0,0.0,0.0,485.0,0.0,2.0,0.0,3281.0,2.0,1.0,0.0,0.0,-64.0,130.0,194.0,45.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,485.0,0.0,3.0,0.0,3335.0,3.0,1.0,0.0,0.0,-176.0,116.0,292.0,45.0,1.0,0.0,0.0
0.0,0.0,12.0,0.0,0.3,2.0,0.0,2.2,19.4,90.0,20.0,0.0,0.0,0.0,485.0,0.0,4.0,0.0,3144.0,4.0,2.0,2.0,1.0,-294.0,52.0,346.0,45.0,0.0,0.0,1.0
0.0,0.0,4.0,0.0,0.4,1.0,0.0,0.7,6.4,90.0,11.0,0.0,0.0,0.0,485.0,0.0,5.0,0.0,3108.0,1.0,3.0,0.0,1.0,-89.0,40.0,129.0,45.0,1.0,1.0,1.0
0.0,0.0,16.0,0.0,3.8,2.0,0.0,3.2,22.6,90.0,3.0,0.0,0.0,0.0,485.0,0.0,6.0,0.0,4669.0,0.0,2.0,6.0,1.0,1369.0,1822.0,453.0,44.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,485.0,0.0,7.0,0.0,5327.0,2.0,2.0,0.0,0.0,542.0,947.0,405.0,44.0,1.0,0.0,0.0
0.0,0.0,23.0,1.0,10.8,0.0,0.0,2.9,16.4,84.0,12.0,0.0,0.0,0.0,485.0,0.0,8.0,0.0,4725.0,1.0,0.0,2.0,6.0,-627.0,30.0,657.0,44.0,0.0,0.0,6.0
0.0,0.0,26.0,1.0,0.5,0.0,0.0,0.9,6.6,90.0,16.0,0.0,0.0,0.0,485.0,0.0,9.0,0.0,4895.0,0.0,0.0,2.0,6.0,129.0,327.0,198.0,44.0,0.0,0.0,6.0
0.0,2.0,26.0,1.0,0.5,0.0,0.0,4.4,17.2,90.0,7.0,0.0,0.0,0.0,485.0,0.0,10.0,0.0,5591.0,0.0,1.0,26.0,8.0,563.0,682.0,119.0,44.0,1.0,0.0,8.0
