assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,486.0,0.0,1.0,0.0,8976.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,486.0,0.0,2.0,0.0,8159.0,2.0,0.0,0.0,0.0,-1310.0,57.0,1367.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,486.0,0.0,3.0,0.0,7204.0,1.0,2.0,0.0,0.0,-1210.0,110.0,1320.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,486.0,0.0,4.0,0.0,6277.0,2.0,2.0,0.0,0.0,-1082.0,86.0,1168.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,486.0,0.0,5.0,0.0,6000.0,0.0,1.0,0.0,0.0,-406.0,124.0,530.0,43.0,0.0,0.0,0.0
0.0,0.0,7.0,0.0,0.2,3.0,0.0,1.0,3.6,90.0,10.0,0.0,0.0,0.0,486.0,0.0,6.0,0.0,5747.0,3.0,1.0,6.0,0.0,-383.0,173.0,556.0,43.0,1.0,1.0,0.0
0.0,0.0,10.0,0.0,0.1,2.0,0.0,2.8,24.2,90.0,9.0,0.0,0.0,0.0,486.0,0.0,7.0,0.0,5733.0,2.0,1.0,4.0,1.0,-101.0,231.0,332.0,43.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,486.0,0.0,8.0,0.0,5925.0,2.0,3.0,0.0,0.0,82.0,347.0,265.0,43.0,0.0,0.0,0.0
0.0,0.0,28.0,1.0,0.0,0.0,0.0,5.7,38.4,90.0,18.0,0.0,0.0,0.0,486.0,0.0,9.0,0.0,5870.0,0.0,0.0,19.0,6.0,-115.0,122.0,237.0,43.0,1.0,0.0,6.0
0.0,0.0,13.0,0.0,0.5,3.0,0.0,2.1,20.6,90.0,14.0,0.0,0.0,0.0,486.0,0.0,10.0,0.0,6681.0,1.0,3.0,0.0,1.0,651.0,803.0,152.0,43.0,0.0,0.0,1.0
0.0,0.0,24.0,0.0,0.0,3.0,1.0,6.1,43.6,90.0,11.0,0.0,0.0,0.0,486.0,0.0,11.0,0.0,8027.0,3.0,1.0,17.0,7.0,1137.0,1616.0,479.0,43.0,1.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,486.0,0.0,12.0,0.0,20133.0,1.0,1.0,0.0,0.0,10797.0,12083.0,1286.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,486.0,0.0,13.0,0.0,19374.0,4.0,5.0,0.0,0.0,-942.0,937.0,1879.0,43.0,1.0,0.0,0.0
0.0,0.0,21.0,0.0,0.1,5.0,0.0,2.9,28.6,90.0,17.0,0.0,0.0,0.0,486.0,0.0,14.0,0.0,17681.0,0.0,5.0,0.0,0.0,-1767.0,318.0,2085.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,486.0,0.0,15.0,0.0,16769.0,0.0,3.0,0.0,0.0,-987.0,313.0,1300.0,43.0,1.0,0.0,0.0
