assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,14.0,0.0,5.6,4.0,0.0,1.1,5.6,66.0,9.0,0.0,0.0,0.0,490.0,0.0,1.0,0.0,20952.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,50.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,490.0,0.0,2.0,0.0,29589.0,0.0,0.0,0.0,0.0,-955.0,2458.0,3413.0,50.0,0.0,0.0,0.0
0.0,0.0,9.0,0.0,1.9,0.0,0.0,0.9,7.4,21.0,18.0,0.0,0.0,0.0,490.0,0.0,3.0,0.0,28417.0,3.0,1.0,0.0,1.0,-4890.0,1114.0,6004.0,49.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,490.0,0.0,4.0,0.0,26190.0,1.0,2.0,0.0,0.0,-4334.0,729.0,5063.0,49.0,1.0,0.0,0.0
1.0,0.0,13.0,0.0,12.0,1.0,0.0,3.2,18.2,14.0,7.0,0.0,0.0,0.0,490.0,0.0,5.0,0.0,23794.0,4.0,1.0,2.0,4.0,-3043.0,276.0,3319.0,48.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,490.0,0.0,6.0,0.0,23021.0,0.0,3.0,0.0,0.0,-1497.0,611.0,2108.0,48.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,2.9,0.0,0.0,2.5,3.8,20.0,3.0,0.0,0.0,0.0,490.0,0.0,7.0,0.0,21866.0,1.0,0.0,18.0,1.0,-1481.0,350.0,1831.0,47.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,490.0,0.0,8.0,0.0,21289.0,2.0,3.0,0.0,0.0,-973.0,292.0,1265.0,47.0,1.0,0.0,0.0
0.0,0.0,19.0,1.0,20.9,0.0,0.0,3.4,12.4,73.0,12.0,0.0,0.0,0.0,490.0,0.0,9.0,0.0,20557.0,0.0,0.0,1.0,3.0,-872.0,130.0,1002.0,47.0,1.0,0.0,3.0
0.0,0.0,14.0,0.0,20.8,1.0,0.0,3.4,12.6,90.0,15.0,0.0,0.0,0.0,490.0,0.0,10.0,0.0,20394.0,4.0,1.0,1.0,2.0,-300.0,257.0,557.0,46.0,0.0,0.0,2.0
