assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,4.0,0.0,1.2,0.0,0.0,0.2,1.0,21.0,7.0,0.0,0.0,0.0,1215.0,0.0,115.0,0.0,401577.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.7,0.0,0.0,0.4,0.0,18.0,18.0,0.0,0.0,0.0,1215.0,0.0,116.0,0.0,390707.0,0.0,1.0,5.0,1.0,-48593.0,24523.0,73116.0,70.0,1.0,0.0,1.0
0.0,0.0,6.0,0.0,10.8,1.0,0.0,2.1,2.0,28.0,2.0,0.0,0.0,0.0,1215.0,0.0,117.0,0.0,275636.0,0.0,2.0,8.0,1.0,-121091.0,15170.0,136261.0,69.0,0.0,0.0,1.0
1.0,0.0,15.0,0.0,12.3,2.0,0.0,5.0,17.2,75.0,20.0,0.0,0.0,0.0,1215.0,0.0,118.0,0.0,191382.0,2.0,3.0,20.0,5.0,-89774.0,4607.0,94381.0,68.0,1.0,0.0,5.0
0.0,0.0,1.0,0.0,1.4,1.0,0.0,0.5,0.0,19.0,3.0,0.0,0.0,0.0,1215.0,0.0,119.0,0.0,183298.0,1.0,3.0,4.0,1.0,-14666.0,14803.0,29469.0,68.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0,18.8,2.0,0.0,9.8,0.0,90.0,15.0,0.0,0.0,0.0,1215.0,0.0,120.0,0.0,158077.0,2.0,0.0,80.0,2.0,-26520.0,3205.0,29725.0,67.0,1.0,0.0,2.0
0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.3,1.0,16.0,11.0,0.0,0.0,0.0,1215.0,0.0,121.0,0.0,135289.0,3.0,1.0,2.0,1.0,-24180.0,1734.0,25914.0,66.0,1.0,0.0,1.0
0.0,0.0,-1.0,0.0,1.3,0.0,0.0,0.4,0.2,16.0,5.0,0.0,0.0,0.0,1215.0,0.0,122.0,0.0,127559.0,0.0,1.0,2.0,1.0,-9294.0,1733.0,11027.0,66.0,0.0,0.0,1.0
0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.2,2.2,4.0,19.0,0.0,0.0,0.0,1215.0,0.0,123.0,0.0,121646.0,0.0,2.0,0.0,1.0,-7069.0,1322.0,8391.0,66.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1215.0,0.0,124.0,0.0,119277.0,2.0,3.0,0.0,0.0,-3055.0,1095.0,4150.0,65.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1215.0,0.0,125.0,0.0,114732.0,1.0,1.0,0.0,0.0,-5064.0,1026.0,6090.0,65.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1215.0,0.0,126.0,0.0,111915.0,2.0,1.0,0.0,0.0,-3305.0,567.0,3872.0,65.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1215.0,0.0,127.0,0.0,109396.0,2.0,0.0,0.0,0.0,-3101.0,1173.0,4274.0,65.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.3,1.0,0.0,2.3,2.2,12.0,9.0,0.0,0.0,0.0,1215.0,0.0,128.0,0.0,107696.0,1.0,2.0,20.0,1.0,-2076.0,454.0,2530.0,64.0,0.0,0.0,1.0
0.0,0.0,-1.0,0.0,0.3,1.0,0.0,0.2,0.0,30.0,10.0,0.0,0.0,0.0,1215.0,0.0,129.0,0.0,107025.0,2.0,5.0,3.0,1.0,-905.0,444.0,1349.0,64.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1215.0,0.0,130.0,0.0,106499.0,1.0,3.0,0.0,0.0,-785.0,709.0,1494.0,64.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,12.0,0.0,0.0,0.0,1215.0,0.0,131.0,0.0,104983.0,1.0,1.0,2.0,1.0,-1917.0,557.0,2474.0,64.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1215.0,0.0,132.0,0.0,104531.0,0.0,0.0,0.0,1.0,-918.0,686.0,1604.0,64.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,10.3,0.0,0.0,1.3,1.0,13.0,5.0,0.0,0.0,0.0,1215.0,0.0,133.0,0.0,104853.0,0.0,1.0,2.0,1.0,2.0,1000.0,998.0,64.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,13.7,1.0,0.0,11.1,4.0,60.0,13.0,0.0,0.0,0.0,1215.0,0.0,134.0,0.0,104452.0,2.0,1.0,93.0,2.0,-544.0,484.0,1028.0,64.0,0.0,0.0,2.0
0.0,0.0,4.0,0.0,2.2,0.0,0.0,0.8,0.0,24.0,11.0,0.0,0.0,0.0,1215.0,0.0,135.0,0.0,103816.0,1.0,2.0,6.0,1.0,-929.0,516.0,1445.0,64.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1215.0,0.0,136.0,0.0,104139.0,0.0,1.0,0.0,0.0,-194.0,1368.0,1562.0,64.0,1.0,0.0,0.0
0.0,0.0,7.0,0.0,12.3,1.0,0.0,1.9,2.4,73.0,19.0,0.0,0.0,0.0,1215.0,0.0,137.0,0.0,103733.0,1.0,1.0,4.0,2.0,-758.0,993.0,1751.0,64.0,0.0,0.0,2.0
0.0,3.0,31.0,1.0,2.1,0.0,1.0,9.0,44.6,70.0,13.0,0.0,0.0,0.0,1215.0,0.0,138.0,0.0,103749.0,2.0,2.0,43.0,9.0,-210.0,690.0,900.0,64.0,1.0,0.0,9.0
1.0,0.0,10.0,0.0,10.1,0.0,0.0,3.1,17.2,25.0,18.0,0.0,0.0,0.0,1215.0,0.0,139.0,0.0,108210.0,3.0,2.0,4.0,4.0,3670.0,5075.0,1405.0,64.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1215.0,0.0,140.0,0.0,108899.0,1.0,3.0,0.0,0.0,423.0,1983.0,1560.0,64.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1215.0,0.0,141.0,0.0,106652.0,2.0,3.0,1.0,1.0,-2398.0,856.0,3254.0,64.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,1.3,0.0,0.0,2.4,4.0,8.0,12.0,0.0,0.0,0.0,1215.0,0.0,142.0,0.0,105610.0,1.0,1.0,19.0,1.0,-1167.0,303.0,1470.0,64.0,1.0,0.0,1.0
0.0,0.0,2.0,0.0,0.6,0.0,0.0,0.0,0.0,32.0,6.0,0.0,0.0,0.0,1215.0,0.0,143.0,0.0,105066.0,0.0,4.0,0.0,1.0,-791.0,306.0,1097.0,64.0,0.0,0.0,1.0
