assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1036.0,0.0,77.0,0.0,5634.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1036.0,0.0,78.0,0.0,5330.0,1.0,3.0,0.0,0.0,-618.0,104.0,722.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1036.0,0.0,79.0,0.0,4771.0,2.0,4.0,0.0,0.0,-669.0,131.0,800.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1036.0,0.0,80.0,0.0,5030.0,2.0,2.0,0.0,0.0,-109.0,1056.0,1165.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1036.0,0.0,81.0,0.0,4210.0,0.0,3.0,0.0,0.0,-777.0,100.0,877.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1036.0,0.0,82.0,0.0,3815.0,1.0,1.0,0.0,0.0,-411.0,43.0,454.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1036.0,0.0,83.0,0.0,3591.0,0.0,3.0,0.0,0.0,-248.0,22.0,270.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1036.0,0.0,84.0,0.0,3450.0,5.0,1.0,0.0,0.0,-161.0,19.0,180.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1036.0,0.0,85.0,0.0,3372.0,2.0,4.0,0.0,0.0,-97.0,95.0,192.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1036.0,0.0,86.0,0.0,3324.0,3.0,0.0,0.0,0.0,-68.0,47.0,115.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1036.0,0.0,87.0,0.0,3226.0,0.0,1.0,0.0,0.0,-97.0,46.0,143.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1036.0,0.0,88.0,0.0,3189.0,0.0,2.0,0.0,0.0,-45.0,43.0,88.0,44.0,0.0,0.0,0.0
