assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,7.0,0.0,5.3,1.0,0.0,1.5,4.0,90.0,20.0,0.0,0.0,0.0,511.0,0.0,1.0,0.0,74285.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,50.0,1.0,1.0,1.0
0.0,0.0,9.0,0.0,10.3,1.0,0.0,2.2,3.0,77.0,18.0,0.0,0.0,0.0,511.0,0.0,2.0,0.0,82105.0,2.0,1.0,9.0,2.0,-3955.0,3955.0,7910.0,50.0,0.0,0.0,2.0
1.0,0.0,26.0,1.0,29.6,0.0,0.0,7.2,34.0,90.0,3.0,0.0,0.0,0.0,511.0,0.0,3.0,0.0,84027.0,0.0,3.0,8.0,6.0,-3172.0,5115.0,8287.0,50.0,1.0,0.0,6.0
0.0,0.0,15.0,0.0,20.8,2.0,0.0,4.1,11.8,75.0,16.0,0.0,0.0,0.0,511.0,0.0,4.0,0.0,97286.0,2.0,2.0,8.0,2.0,5714.0,14256.0,8542.0,50.0,0.0,0.0,2.0
1.0,0.0,29.0,0.0,14.3,2.0,0.0,6.8,28.0,83.0,9.0,0.0,0.0,0.0,511.0,0.0,5.0,0.0,95510.0,2.0,1.0,26.0,5.0,-4460.0,3534.0,7994.0,50.0,1.0,0.0,5.0
0.0,0.0,17.0,0.0,17.3,3.0,0.0,4.2,22.4,90.0,1.0,0.0,0.0,0.0,511.0,0.0,6.0,0.0,102407.0,0.0,3.0,2.0,2.0,2558.0,10537.0,7979.0,50.0,0.0,0.0,2.0
1.0,0.0,19.0,1.0,6.0,0.0,0.0,5.9,10.2,90.0,7.0,0.0,0.0,0.0,511.0,0.0,7.0,0.0,102481.0,2.0,0.0,43.0,5.0,-2050.0,5288.0,7338.0,50.0,0.0,1.0,5.0
1.0,0.0,26.0,1.0,16.8,0.0,0.0,7.1,34.8,90.0,8.0,0.0,0.0,0.0,511.0,0.0,8.0,0.0,109757.0,0.0,3.0,19.0,6.0,4004.0,9019.0,5015.0,50.0,1.0,0.0,6.0
1.0,0.0,26.0,1.0,14.8,0.0,0.0,4.7,32.2,90.0,11.0,0.0,0.0,0.0,511.0,0.0,9.0,0.0,118356.0,0.0,4.0,0.0,6.0,5664.0,9827.0,4163.0,50.0,1.0,0.0,6.0
0.0,0.0,16.0,1.0,25.4,0.0,0.0,5.6,17.6,90.0,13.0,0.0,0.0,0.0,511.0,0.0,10.0,0.0,144306.0,2.0,0.0,13.0,3.0,23163.0,26690.0,3527.0,50.0,0.0,0.0,3.0
1.0,0.0,28.0,1.0,38.7,0.0,0.0,7.5,30.0,90.0,6.0,0.0,0.0,0.0,511.0,0.0,11.0,0.0,161143.0,0.0,5.0,6.0,6.0,14156.0,22968.0,8812.0,50.0,1.0,0.0,6.0
0.0,0.0,15.0,1.0,4.8,0.0,0.0,2.4,17.6,90.0,12.0,0.0,0.0,0.0,511.0,0.0,12.0,0.0,191625.0,1.0,0.0,2.0,3.0,27200.0,36138.0,8938.0,51.0,0.0,0.0,3.0
1.0,1.0,24.0,0.0,22.2,1.0,0.0,5.4,28.0,90.0,17.0,0.0,0.0,0.0,511.0,0.0,13.0,0.0,197491.0,1.0,2.0,4.0,6.0,4712.0,14637.0,9925.0,51.0,1.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,511.0,0.0,14.0,0.0,210805.0,3.0,1.0,0.0,0.0,11798.0,18304.0,6506.0,51.0,0.0,0.0,0.0
0.0,0.0,16.0,1.0,10.7,0.0,0.0,2.7,15.6,90.0,19.0,0.0,0.0,0.0,511.0,0.0,15.0,0.0,185188.0,0.0,1.0,1.0,2.0,-26291.0,4239.0,30530.0,51.0,1.0,1.0,2.0
0.0,0.0,5.0,0.0,1.7,0.0,0.0,0.3,1.0,15.0,15.0,0.0,0.0,0.0,511.0,0.0,16.0,0.0,183588.0,1.0,0.0,0.0,1.0,-2356.0,5858.0,8214.0,51.0,0.0,0.0,1.0
0.0,0.0,14.0,1.0,4.3,0.0,0.0,2.3,18.6,90.0,5.0,0.0,0.0,0.0,511.0,0.0,17.0,0.0,177667.0,1.0,0.0,0.0,3.0,-6537.0,5745.0,12282.0,51.0,0.0,0.0,3.0
0.0,0.0,14.0,1.0,15.8,0.0,0.0,3.2,11.8,90.0,2.0,0.0,0.0,0.0,511.0,0.0,18.0,0.0,183020.0,0.0,3.0,4.0,3.0,3920.0,12058.0,8138.0,51.0,1.0,0.0,3.0
0.0,0.0,5.0,0.0,13.6,0.0,0.0,1.8,4.8,18.0,14.0,0.0,0.0,0.0,511.0,0.0,19.0,0.0,189933.0,2.0,4.0,0.0,1.0,6106.0,13619.0,7513.0,51.0,1.0,0.0,1.0
0.0,0.0,23.0,0.0,17.2,2.0,0.0,3.7,17.0,90.0,17.0,0.0,0.0,0.0,511.0,0.0,20.0,0.0,177870.0,0.0,2.0,3.0,2.0,-12465.0,4795.0,17260.0,51.0,0.0,0.0,2.0
0.0,0.0,17.0,1.0,4.4,0.0,0.0,2.8,15.2,90.0,8.0,0.0,0.0,0.0,511.0,0.0,21.0,0.0,171494.0,3.0,0.0,8.0,3.0,-7952.0,11741.0,19693.0,51.0,0.0,0.0,3.0
0.0,0.0,11.0,1.0,4.3,0.0,0.0,0.8,3.2,90.0,7.0,0.0,0.0,0.0,511.0,0.0,22.0,0.0,170629.0,0.0,2.0,0.0,3.0,-1981.0,9071.0,11052.0,50.0,1.0,0.0,3.0
0.0,0.0,12.0,0.0,1.7,1.0,0.0,1.3,11.4,90.0,9.0,0.0,0.0,0.0,511.0,0.0,23.0,0.0,169331.0,1.0,1.0,0.0,2.0,-2351.0,6991.0,9342.0,50.0,0.0,0.0,2.0
0.0,0.0,11.0,0.0,14.2,1.0,0.0,3.2,18.2,90.0,1.0,0.0,0.0,0.0,511.0,0.0,24.0,0.0,164951.0,1.0,3.0,0.0,1.0,-4708.0,2690.0,7398.0,50.0,1.0,1.0,1.0
0.0,0.0,11.0,0.0,13.9,1.0,0.0,2.2,7.6,66.0,3.0,0.0,0.0,0.0,511.0,0.0,25.0,0.0,160512.0,1.0,1.0,0.0,2.0,-4971.0,4450.0,9421.0,50.0,0.0,0.0,2.0
0.0,0.0,5.0,0.0,11.4,0.0,0.0,1.7,3.2,15.0,16.0,0.0,0.0,0.0,511.0,0.0,26.0,0.0,156213.0,1.0,3.0,2.0,1.0,-4931.0,2318.0,7249.0,49.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.9,1.0,0.0,0.1,0.0,26.0,20.0,0.0,0.0,0.0,511.0,0.0,27.0,0.0,151936.0,2.0,1.0,0.0,1.0,-4613.0,2454.0,7067.0,49.0,0.0,0.0,1.0
0.0,0.0,16.0,0.0,3.0,1.0,0.0,2.1,11.0,81.0,14.0,0.0,0.0,0.0,511.0,0.0,29.0,0.0,141419.0,2.0,1.0,7.0,2.0,-3695.0,1286.0,4981.0,48.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,15.9,2.0,0.0,5.6,12.2,58.0,5.0,0.0,0.0,0.0,511.0,0.0,30.0,0.0,139784.0,2.0,1.0,28.0,1.0,-2047.0,1607.0,3654.0,48.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.7,5.6,45.0,10.0,0.0,0.0,0.0,511.0,0.0,31.0,0.0,138467.0,1.0,2.0,0.0,1.0,-1432.0,665.0,2097.0,48.0,1.0,0.0,1.0
0.0,0.0,15.0,0.0,18.2,1.0,0.0,2.8,9.2,90.0,2.0,0.0,0.0,0.0,511.0,0.0,32.0,0.0,137072.0,3.0,1.0,1.0,2.0,-1516.0,1079.0,2595.0,48.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,11.1,2.0,0.0,1.6,4.4,65.0,11.0,0.0,0.0,0.0,511.0,0.0,33.0,0.0,135453.0,0.0,2.0,0.0,2.0,-1832.0,1290.0,3122.0,48.0,0.0,0.0,2.0
0.0,0.0,13.0,0.0,4.1,2.0,0.0,3.9,11.2,90.0,13.0,0.0,0.0,0.0,511.0,0.0,34.0,0.0,133824.0,2.0,4.0,24.0,2.0,-1890.0,1095.0,2985.0,48.0,1.0,0.0,2.0
