assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,517.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,517.0,0.0,2.0,0.0,540.0,0.0,1.0,0.0,0.0,99.0,171.0,72.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,517.0,0.0,3.0,0.0,939.0,1.0,1.0,0.0,0.0,128.0,296.0,168.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,517.0,0.0,4.0,0.0,965.0,2.0,1.0,0.0,0.0,-86.0,188.0,274.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,517.0,0.0,5.0,0.0,881.0,1.0,4.0,0.0,0.0,-88.0,25.0,113.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,517.0,0.0,6.0,0.0,808.0,3.0,2.0,0.0,0.0,-78.0,17.0,95.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,517.0,0.0,7.0,0.0,783.0,1.0,1.0,0.0,0.0,-27.0,19.0,46.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,517.0,0.0,8.0,0.0,767.0,1.0,0.0,0.0,0.0,-21.0,14.0,35.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,517.0,0.0,9.0,0.0,760.0,1.0,3.0,0.0,0.0,-9.0,6.0,15.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,517.0,0.0,10.0,0.0,742.0,4.0,2.0,0.0,0.0,-18.0,3.0,21.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,517.0,0.0,11.0,0.0,730.0,2.0,3.0,0.0,0.0,-16.0,17.0,33.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,517.0,0.0,12.0,0.0,722.0,2.0,1.0,0.0,0.0,-12.0,8.0,20.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,517.0,0.0,13.0,0.0,715.0,4.0,5.0,0.0,0.0,-7.0,8.0,15.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,517.0,0.0,14.0,0.0,704.0,0.0,3.0,0.0,0.0,-11.0,2.0,13.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,517.0,0.0,15.0,0.0,694.0,3.0,3.0,0.0,0.0,-10.0,7.0,17.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,517.0,0.0,16.0,0.0,692.0,2.0,1.0,0.0,0.0,-3.0,3.0,6.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,517.0,0.0,17.0,0.0,693.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,517.0,0.0,18.0,0.0,685.0,1.0,1.0,0.0,0.0,-10.0,5.0,15.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,517.0,0.0,19.0,0.0,686.0,0.0,2.0,0.0,0.0,0.0,13.0,13.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,517.0,0.0,20.0,0.0,686.0,2.0,1.0,0.0,0.0,0.0,8.0,8.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,517.0,0.0,21.0,0.0,685.0,0.0,3.0,0.0,0.0,-5.0,26.0,31.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,517.0,0.0,22.0,0.0,683.0,1.0,0.0,0.0,0.0,-4.0,10.0,14.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,517.0,0.0,23.0,0.0,681.0,2.0,0.0,0.0,0.0,-3.0,7.0,10.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,517.0,0.0,24.0,0.0,681.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,517.0,0.0,25.0,0.0,675.0,0.0,1.0,0.0,0.0,-6.0,7.0,13.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,517.0,0.0,26.0,0.0,673.0,0.0,1.0,0.0,0.0,-4.0,6.0,10.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,517.0,0.0,27.0,0.0,674.0,2.0,0.0,0.0,0.0,0.0,8.0,8.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,517.0,0.0,29.0,0.0,675.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,517.0,0.0,30.0,0.0,674.0,2.0,1.0,0.0,0.0,-2.0,4.0,6.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,517.0,0.0,31.0,0.0,675.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,517.0,0.0,32.0,0.0,673.0,0.0,3.0,0.0,0.0,-2.0,0.0,2.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,517.0,0.0,33.0,0.0,677.0,2.0,2.0,0.0,0.0,3.0,5.0,2.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,517.0,0.0,34.0,0.0,678.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,517.0,0.0,35.0,0.0,678.0,2.0,0.0,0.0,0.0,-2.0,3.0,5.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,517.0,0.0,36.0,0.0,678.0,0.0,5.0,0.0,0.0,0.0,6.0,6.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,517.0,0.0,37.0,0.0,681.0,0.0,4.0,0.0,0.0,3.0,6.0,3.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,517.0,0.0,38.0,0.0,682.0,0.0,2.0,0.0,0.0,1.0,5.0,4.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,517.0,0.0,39.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,517.0,0.0,40.0,0.0,5618.0,0.0,1.0,0.0,0.0,1599.0,2590.0,991.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,517.0,0.0,41.0,0.0,9825.0,2.0,0.0,0.0,0.0,1771.0,4181.0,2410.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,517.0,0.0,42.0,0.0,14899.0,0.0,1.0,0.0,0.0,3193.0,6194.0,3001.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,517.0,0.0,43.0,0.0,23229.0,1.0,0.0,0.0,0.0,6418.0,11015.0,4597.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,517.0,0.0,44.0,0.0,37197.0,0.0,5.0,0.0,0.0,11684.0,18272.0,6588.0,45.0,0.0,0.0,0.0
