assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,847.0,0.0,39.0,0.0,596.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,847.0,0.0,40.0,0.0,510.0,0.0,2.0,0.0,0.0,-119.0,15.0,134.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,847.0,0.0,41.0,0.0,442.0,0.0,0.0,0.0,0.0,-75.0,13.0,88.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,847.0,0.0,42.0,0.0,419.0,1.0,3.0,0.0,0.0,-31.0,9.0,40.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,847.0,0.0,43.0,0.0,403.0,1.0,2.0,0.0,0.0,-19.0,5.0,24.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,847.0,0.0,44.0,0.0,385.0,0.0,1.0,0.0,0.0,-21.0,11.0,32.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,847.0,0.0,45.0,0.0,375.0,0.0,2.0,0.0,0.0,-15.0,6.0,21.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,847.0,0.0,46.0,0.0,361.0,1.0,1.0,0.0,0.0,-18.0,4.0,22.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,847.0,0.0,47.0,0.0,357.0,3.0,0.0,0.0,0.0,-6.0,5.0,11.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,847.0,0.0,48.0,0.0,347.0,1.0,1.0,0.0,0.0,-14.0,3.0,17.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,847.0,0.0,49.0,0.0,337.0,1.0,0.0,0.0,0.0,-10.0,2.0,12.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,847.0,0.0,50.0,0.0,337.0,2.0,2.0,0.0,0.0,-3.0,6.0,9.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,847.0,0.0,51.0,0.0,339.0,0.0,1.0,0.0,0.0,-1.0,2.0,3.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,847.0,0.0,52.0,0.0,336.0,0.0,0.0,0.0,0.0,-4.0,3.0,7.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,847.0,0.0,53.0,0.0,329.0,5.0,1.0,0.0,0.0,-7.0,2.0,9.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,847.0,0.0,54.0,0.0,330.0,0.0,2.0,0.0,0.0,-3.0,6.0,9.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,847.0,0.0,55.0,0.0,328.0,0.0,2.0,0.0,0.0,-3.0,0.0,3.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,847.0,0.0,56.0,0.0,327.0,0.0,0.0,0.0,0.0,-3.0,1.0,4.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,847.0,0.0,57.0,0.0,325.0,0.0,1.0,0.0,0.0,-3.0,2.0,5.0,45.0,1.0,0.0,0.0
