assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,20.0,0.0,38.5,1.0,0.0,8.7,22.4,84.0,20.0,0.0,0.0,0.0,527.0,0.0,1.0,0.0,48345.0,1.0,2.0,26.0,2.0,0.0,0.0,0.0,75.0,1.0,0.0,2.0
0.0,0.0,10.0,0.0,19.5,1.0,0.0,3.4,3.8,72.0,18.0,0.0,0.0,0.0,527.0,0.0,2.0,0.0,57018.0,2.0,1.0,11.0,2.0,753.0,6530.0,5777.0,75.0,0.0,0.0,2.0
0.0,0.0,23.0,1.0,40.8,0.0,0.0,7.0,15.6,90.0,3.0,0.0,0.0,0.0,527.0,0.0,3.0,0.0,59683.0,0.0,3.0,14.0,2.0,-943.0,9043.0,9986.0,75.0,1.0,1.0,2.0
1.0,0.0,21.0,0.0,36.6,2.0,0.0,10.8,29.4,87.0,16.0,0.0,0.0,0.0,527.0,0.0,4.0,0.0,50086.0,2.0,2.0,42.0,5.0,-11441.0,1932.0,13373.0,75.0,0.0,0.0,5.0
0.0,0.0,10.0,0.0,22.4,2.0,0.0,5.4,10.0,83.0,9.0,0.0,0.0,0.0,527.0,0.0,5.0,0.0,48169.0,2.0,1.0,22.0,2.0,-3070.0,2213.0,5283.0,75.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,527.0,0.0,6.0,0.0,41298.0,0.0,3.0,0.0,0.0,-7772.0,773.0,8545.0,74.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,11.3,0.0,0.0,3.0,7.4,10.0,7.0,0.0,0.0,0.0,527.0,0.0,7.0,0.0,36521.0,2.0,0.0,11.0,1.0,-5266.0,353.0,5619.0,73.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,527.0,0.0,8.0,0.0,34342.0,0.0,3.0,0.0,0.0,-2769.0,826.0,3595.0,73.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,527.0,0.0,9.0,0.0,30154.0,0.0,4.0,0.0,0.0,-4313.0,50.0,4363.0,72.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,527.0,0.0,10.0,0.0,29151.0,2.0,0.0,0.0,0.0,-1215.0,131.0,1346.0,72.0,0.0,0.0,0.0
0.0,0.0,9.0,0.0,28.0,0.0,0.0,3.8,8.4,20.0,6.0,0.0,0.0,0.0,527.0,0.0,11.0,0.0,28496.0,0.0,5.0,2.0,1.0,-882.0,225.0,1107.0,72.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.1,0.2,1.0,12.0,0.0,0.0,0.0,527.0,0.0,12.0,0.0,28096.0,1.0,0.0,0.0,1.0,-692.0,234.0,926.0,72.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2,8.0,17.0,0.0,0.0,0.0,527.0,0.0,13.0,0.0,27915.0,1.0,2.0,0.0,1.0,-307.0,107.0,414.0,72.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,527.0,0.0,14.0,0.0,27788.0,3.0,1.0,0.0,0.0,-276.0,131.0,407.0,71.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,527.0,0.0,15.0,0.0,27419.0,0.0,1.0,0.0,0.0,-482.0,101.0,583.0,71.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,527.0,0.0,16.0,0.0,27030.0,1.0,0.0,0.0,0.0,-438.0,20.0,458.0,71.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,527.0,0.0,17.0,0.0,26627.0,1.0,0.0,0.0,0.0,-431.0,29.0,460.0,71.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,527.0,0.0,18.0,0.0,26123.0,0.0,3.0,0.0,0.0,-555.0,34.0,589.0,71.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,527.0,0.0,19.0,0.0,25962.0,2.0,4.0,0.0,0.0,-215.0,61.0,276.0,71.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,527.0,0.0,20.0,0.0,25854.0,0.0,2.0,0.0,0.0,-160.0,31.0,191.0,71.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,527.0,0.0,21.0,0.0,25190.0,3.0,0.0,0.0,0.0,-714.0,49.0,763.0,71.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,527.0,0.0,22.0,0.0,24923.0,0.0,2.0,0.0,0.0,-290.0,19.0,309.0,71.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,527.0,0.0,23.0,0.0,24733.0,1.0,1.0,0.0,0.0,-206.0,18.0,224.0,71.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,527.0,0.0,24.0,0.0,24664.0,1.0,3.0,0.0,0.0,-81.0,17.0,98.0,71.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,527.0,0.0,25.0,0.0,24542.0,1.0,1.0,0.0,0.0,-135.0,48.0,183.0,71.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,527.0,0.0,26.0,0.0,24444.0,1.0,3.0,0.0,0.0,-115.0,38.0,153.0,71.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,527.0,0.0,27.0,0.0,24396.0,2.0,1.0,0.0,0.0,-55.0,36.0,91.0,71.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,527.0,0.0,29.0,0.0,24313.0,2.0,1.0,0.0,0.0,-42.0,17.0,59.0,71.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,527.0,0.0,30.0,0.0,24254.0,2.0,1.0,0.0,0.0,-75.0,26.0,101.0,71.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,527.0,0.0,31.0,0.0,24240.0,1.0,2.0,0.0,0.0,-17.0,14.0,31.0,71.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,527.0,0.0,32.0,0.0,24233.0,3.0,1.0,0.0,0.0,-14.0,13.0,27.0,71.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,527.0,0.0,33.0,0.0,24195.0,0.0,2.0,0.0,0.0,-46.0,14.0,60.0,71.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,527.0,0.0,34.0,0.0,24166.0,2.0,4.0,0.0,0.0,-37.0,23.0,60.0,71.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,527.0,0.0,35.0,0.0,24138.0,3.0,0.0,0.0,0.0,-29.0,11.0,40.0,71.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,527.0,0.0,36.0,0.0,24115.0,0.0,3.0,0.0,0.0,-24.0,21.0,45.0,71.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,527.0,0.0,37.0,0.0,24101.0,3.0,4.0,0.0,0.0,-17.0,8.0,25.0,71.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,527.0,0.0,38.0,0.0,24090.0,1.0,5.0,0.0,0.0,-15.0,22.0,37.0,71.0,1.0,0.0,0.0
