assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,15.0,0.0,1.9,1.0,0.0,2.5,23.2,90.0,19.0,0.0,0.0,0.0,532.0,0.0,1.0,0.0,35242.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,45.0,1.0,0.0,2.0
0.0,0.0,10.0,0.0,1.3,1.0,0.0,1.2,10.2,90.0,17.0,0.0,0.0,0.0,532.0,0.0,2.0,0.0,41723.0,0.0,1.0,0.0,2.0,528.0,2990.0,2462.0,45.0,0.0,0.0,2.0
0.0,0.0,12.0,0.0,30.3,1.0,0.0,6.0,20.2,90.0,2.0,0.0,0.0,0.0,532.0,0.0,3.0,0.0,48166.0,1.0,1.0,9.0,2.0,4656.0,8985.0,4329.0,45.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,532.0,0.0,4.0,0.0,48535.0,2.0,1.0,0.0,0.0,-552.0,7687.0,8239.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,532.0,0.0,5.0,0.0,35422.0,1.0,4.0,0.0,0.0,-13192.0,174.0,13366.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,532.0,0.0,6.0,0.0,25492.0,3.0,2.0,0.0,0.0,-9945.0,65.0,10010.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,532.0,0.0,7.0,0.0,21577.0,1.0,1.0,0.0,0.0,-3925.0,27.0,3952.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,532.0,0.0,8.0,0.0,18517.0,1.0,0.0,0.0,0.0,-3080.0,46.0,3126.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,532.0,0.0,9.0,0.0,16894.0,1.0,3.0,0.0,0.0,-1633.0,27.0,1660.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,532.0,0.0,10.0,0.0,15726.0,4.0,2.0,0.0,0.0,-1178.0,14.0,1192.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,532.0,0.0,11.0,0.0,14823.0,2.0,3.0,0.0,0.0,-910.0,18.0,928.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,532.0,0.0,12.0,0.0,14111.0,2.0,1.0,0.0,0.0,-730.0,57.0,787.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,532.0,0.0,13.0,0.0,13762.0,4.0,5.0,0.0,0.0,-361.0,17.0,378.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,532.0,0.0,14.0,0.0,13443.0,0.0,3.0,0.0,0.0,-328.0,21.0,349.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,532.0,0.0,15.0,0.0,13100.0,3.0,3.0,0.0,0.0,-373.0,46.0,419.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,532.0,0.0,16.0,0.0,12953.0,2.0,1.0,0.0,0.0,-184.0,31.0,215.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,532.0,0.0,17.0,0.0,12738.0,1.0,0.0,0.0,0.0,-219.0,26.0,245.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,532.0,0.0,18.0,0.0,12505.0,1.0,1.0,0.0,0.0,-246.0,44.0,290.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,532.0,0.0,19.0,0.0,12321.0,0.0,2.0,0.0,0.0,-191.0,36.0,227.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,532.0,0.0,20.0,0.0,12134.0,2.0,1.0,0.0,0.0,-192.0,55.0,247.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,532.0,0.0,21.0,0.0,11842.0,0.0,3.0,0.0,0.0,-308.0,61.0,369.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,532.0,0.0,22.0,0.0,11680.0,1.0,0.0,0.0,0.0,-168.0,37.0,205.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,532.0,0.0,23.0,0.0,11565.0,2.0,0.0,0.0,0.0,-117.0,34.0,151.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,532.0,0.0,24.0,0.0,11489.0,4.0,0.0,0.0,0.0,-79.0,15.0,94.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,532.0,0.0,25.0,0.0,11392.0,0.0,1.0,0.0,0.0,-109.0,38.0,147.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,532.0,0.0,26.0,0.0,11297.0,0.0,1.0,0.0,0.0,-104.0,17.0,121.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,532.0,0.0,27.0,0.0,11239.0,2.0,0.0,0.0,0.0,-60.0,17.0,77.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,532.0,0.0,29.0,0.0,11149.0,0.0,1.0,0.0,0.0,-36.0,20.0,56.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,532.0,0.0,30.0,0.0,11101.0,2.0,1.0,0.0,0.0,-49.0,17.0,66.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,532.0,0.0,31.0,0.0,11076.0,1.0,3.0,0.0,0.0,-28.0,4.0,32.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,532.0,0.0,32.0,0.0,11046.0,0.0,3.0,0.0,0.0,-30.0,5.0,35.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,532.0,0.0,33.0,0.0,11007.0,2.0,2.0,0.0,0.0,-39.0,8.0,47.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,532.0,0.0,34.0,0.0,11017.0,1.0,0.0,0.0,0.0,-21.0,31.0,52.0,41.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,532.0,0.0,35.0,0.0,11024.0,2.0,0.0,0.0,0.0,-23.0,22.0,45.0,41.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,532.0,0.0,36.0,0.0,11022.0,0.0,5.0,0.0,0.0,-18.0,24.0,42.0,41.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,532.0,0.0,37.0,0.0,11020.0,0.0,4.0,0.0,0.0,-14.0,22.0,36.0,41.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,532.0,0.0,38.0,0.0,11014.0,0.0,2.0,0.0,0.0,-16.0,28.0,44.0,41.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,532.0,0.0,39.0,0.0,629.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,532.0,0.0,40.0,0.0,607.0,0.0,1.0,0.0,0.0,-107.0,26.0,133.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,532.0,0.0,41.0,0.0,546.0,2.0,0.0,0.0,0.0,-77.0,20.0,97.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,532.0,0.0,42.0,0.0,525.0,0.0,1.0,0.0,0.0,-35.0,22.0,57.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,532.0,0.0,43.0,0.0,523.0,1.0,0.0,0.0,0.0,-16.0,23.0,39.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,532.0,0.0,44.0,0.0,559.0,0.0,5.0,0.0,0.0,-2.0,49.0,51.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,532.0,0.0,45.0,0.0,626.0,0.0,4.0,0.0,0.0,14.0,65.0,51.0,45.0,0.0,0.0,0.0
