assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,540.0,0.0,4.0,0.0,147.0,4.0,0.0,0.0,0.0,52.0,96.0,44.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,540.0,0.0,5.0,0.0,196.0,0.0,1.0,0.0,0.0,-3.0,18.0,21.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,540.0,0.0,6.0,0.0,245.0,2.0,1.0,0.0,0.0,-2.0,26.0,28.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,540.0,0.0,7.0,0.0,285.0,0.0,2.0,0.0,0.0,-3.0,13.0,16.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,540.0,0.0,8.0,0.0,325.0,1.0,1.0,0.0,0.0,-3.0,16.0,19.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,540.0,0.0,9.0,0.0,354.0,0.0,0.0,0.0,0.0,-5.0,13.0,18.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,540.0,0.0,10.0,0.0,369.0,1.0,1.0,0.0,0.0,-3.0,11.0,14.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,0.0,11.0,0.0,402.0,1.0,1.0,0.0,0.0,4.0,20.0,16.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,540.0,0.0,12.0,0.0,433.0,2.0,3.0,0.0,0.0,2.0,33.0,31.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,540.0,0.0,13.0,0.0,448.0,1.0,2.0,0.0,0.0,-9.0,15.0,24.0,50.0,0.0,0.0,0.0
