assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,538.0,0.0,1.0,0.0,315678.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0
0.0,0.0,19.0,1.0,30.8,0.0,0.0,8.2,20.8,90.0,13.0,0.0,0.0,0.0,538.0,0.0,2.0,0.0,444913.0,0.0,2.0,30.0,3.0,54355.0,74190.0,19835.0,85.0,1.0,0.0,3.0
0.0,0.0,8.0,1.0,20.2,0.0,0.0,4.3,7.8,90.0,7.0,0.0,0.0,0.0,538.0,0.0,3.0,0.0,578230.0,1.0,0.0,15.0,3.0,81962.0,107201.0,25239.0,85.0,0.0,0.0,3.0
0.0,0.0,14.0,0.0,12.9,2.0,0.0,3.3,11.4,90.0,10.0,0.0,0.0,0.0,538.0,0.0,4.0,0.0,565091.0,2.0,1.0,9.0,2.0,-36995.0,22865.0,59860.0,85.0,1.0,0.0,2.0
0.0,0.0,9.0,0.0,3.4,3.0,0.0,1.5,7.8,90.0,18.0,0.0,0.0,0.0,538.0,0.0,5.0,0.0,491199.0,1.0,3.0,4.0,1.0,-79978.0,4783.0,84761.0,85.0,0.0,1.0,1.0
0.0,1.0,34.0,0.0,47.8,1.0,1.0,14.1,55.8,90.0,8.0,0.0,0.0,0.0,538.0,0.0,6.0,0.0,389652.0,1.0,4.0,37.0,8.0,-105528.0,4275.0,109803.0,83.0,1.0,0.0,8.0
0.0,0.0,1.0,0.0,57.7,1.0,0.0,12.3,15.4,90.0,14.0,0.0,0.0,0.0,538.0,0.0,7.0,0.0,401565.0,1.0,1.0,50.0,2.0,6394.0,19471.0,13077.0,83.0,1.0,0.0,2.0
0.0,0.0,10.0,1.0,24.3,0.0,0.0,4.1,5.6,90.0,9.0,0.0,0.0,0.0,538.0,0.0,8.0,0.0,389215.0,0.0,0.0,11.0,3.0,-17622.0,7710.0,25332.0,83.0,0.0,0.0,3.0
0.0,0.0,14.0,0.0,15.1,4.0,0.0,3.6,10.0,90.0,4.0,0.0,0.0,0.0,538.0,0.0,9.0,0.0,375255.0,0.0,4.0,11.0,1.0,-16594.0,5279.0,21873.0,83.0,0.0,1.0,1.0
0.0,0.0,26.0,1.0,82.1,0.0,0.0,18.3,35.2,90.0,3.0,0.0,0.0,0.0,538.0,0.0,10.0,0.0,368145.0,0.0,0.0,66.0,2.0,-9620.0,11526.0,21146.0,83.0,1.0,1.0,2.0
