assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,542.0,0.0,1.0,0.0,10783.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,542.0,0.0,2.0,0.0,11503.0,0.0,1.0,0.0,0.0,-533.0,401.0,934.0,45.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,542.0,0.0,3.0,0.0,11333.0,1.0,3.0,0.0,0.0,-663.0,569.0,1232.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,542.0,0.0,4.0,0.0,10622.0,4.0,2.0,0.0,0.0,-947.0,258.0,1205.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,542.0,0.0,5.0,0.0,10654.0,2.0,4.0,0.0,0.0,-268.0,593.0,861.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,542.0,0.0,6.0,0.0,10296.0,3.0,0.0,0.0,0.0,-545.0,427.0,972.0,44.0,1.0,0.0,0.0
0.0,0.0,13.0,0.0,4.9,1.0,0.0,2.1,16.2,90.0,12.0,0.0,0.0,0.0,542.0,0.0,7.0,0.0,10214.0,1.0,1.0,0.0,1.0,-185.0,371.0,556.0,44.0,1.0,1.0,1.0
0.0,0.0,27.0,1.0,14.2,0.0,0.0,4.9,24.6,90.0,5.0,0.0,0.0,0.0,542.0,0.0,8.0,0.0,10094.0,1.0,0.0,10.0,3.0,-228.0,189.0,417.0,44.0,0.0,0.0,3.0
0.0,0.0,17.0,1.0,16.6,0.0,0.0,4.0,19.6,90.0,15.0,0.0,0.0,0.0,542.0,0.0,9.0,0.0,10173.0,0.0,1.0,4.0,3.0,10.0,331.0,321.0,44.0,1.0,0.0,3.0
0.0,0.0,-1.0,0.0,1.9,1.0,0.0,1.2,2.0,59.0,6.0,0.0,0.0,0.0,542.0,0.0,10.0,0.0,10415.0,0.0,2.0,8.0,0.0,154.0,425.0,271.0,44.0,0.0,1.0,0.0
0.0,3.0,24.0,0.0,3.3,1.0,0.0,3.2,21.6,88.0,14.0,0.0,0.0,0.0,542.0,0.0,11.0,0.0,10635.0,1.0,1.0,7.0,5.0,108.0,607.0,499.0,44.0,1.0,0.0,5.0
0.0,0.0,9.0,0.0,1.9,3.0,0.0,1.0,8.4,90.0,17.0,0.0,0.0,0.0,542.0,0.0,12.0,0.0,13066.0,2.0,3.0,0.0,2.0,2053.0,2802.0,749.0,44.0,0.0,0.0,2.0
0.0,0.0,17.0,0.0,0.9,1.0,0.0,1.7,16.4,90.0,11.0,0.0,0.0,0.0,542.0,0.0,13.0,0.0,12850.0,1.0,1.0,0.0,2.0,-290.0,341.0,631.0,44.0,0.0,0.0,2.0
0.0,0.0,13.0,0.0,3.3,5.0,0.0,3.0,12.4,90.0,1.0,0.0,0.0,0.0,542.0,0.0,14.0,0.0,12841.0,5.0,1.0,14.0,2.0,-69.0,457.0,526.0,44.0,1.0,0.0,2.0
1.0,0.0,24.0,0.0,2.1,2.0,0.0,2.1,19.2,90.0,9.0,0.0,0.0,0.0,542.0,0.0,15.0,0.0,12720.0,2.0,2.0,0.0,5.0,-207.0,457.0,664.0,44.0,0.0,0.0,5.0
0.0,0.0,17.0,1.0,2.9,0.0,0.0,1.2,7.8,90.0,3.0,0.0,0.0,0.0,542.0,0.0,16.0,0.0,13963.0,0.0,1.0,1.0,3.0,1161.0,1468.0,307.0,44.0,1.0,0.0,3.0
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3,0.8,45.0,7.0,0.0,0.0,0.0,542.0,0.0,17.0,0.0,15393.0,0.0,1.0,0.0,0.0,1339.0,1760.0,421.0,44.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,542.0,0.0,18.0,0.0,13173.0,4.0,1.0,0.0,0.0,-2237.0,140.0,2377.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,542.0,0.0,19.0,0.0,13126.0,0.0,1.0,0.0,0.0,-97.0,320.0,417.0,44.0,0.0,0.0,0.0
0.0,0.0,14.0,0.0,11.4,2.0,0.0,2.4,12.2,90.0,11.0,0.0,0.0,0.0,542.0,0.0,20.0,0.0,12739.0,2.0,0.0,0.0,2.0,-429.0,221.0,650.0,44.0,1.0,0.0,2.0
0.0,0.0,17.0,1.0,12.9,0.0,0.0,2.5,12.2,90.0,5.0,0.0,0.0,0.0,542.0,0.0,21.0,0.0,12891.0,0.0,3.0,0.0,3.0,11.0,1015.0,1004.0,44.0,1.0,0.0,3.0
0.0,0.0,22.0,0.0,5.8,1.0,0.0,2.6,20.4,90.0,12.0,0.0,0.0,0.0,542.0,0.0,22.0,0.0,12944.0,3.0,1.0,0.0,2.0,-4.0,556.0,560.0,44.0,0.0,0.0,2.0
0.0,0.0,1.0,0.0,0.8,3.0,0.0,0.0,0.0,63.0,10.0,0.0,0.0,0.0,542.0,0.0,23.0,0.0,12989.0,4.0,0.0,0.0,1.0,-25.0,447.0,472.0,44.0,1.0,1.0,1.0
1.0,3.0,52.0,0.0,14.9,1.0,1.0,9.2,69.8,90.0,13.0,0.0,0.0,0.0,542.0,0.0,24.0,0.0,12782.0,3.0,1.0,7.0,13.0,-233.0,153.0,386.0,44.0,0.0,0.0,13.0
0.0,0.0,5.0,0.0,13.5,2.0,0.0,2.0,6.6,90.0,19.0,0.0,0.0,0.0,542.0,0.0,25.0,0.0,28645.0,2.0,2.0,0.0,1.0,15411.0,16709.0,1298.0,44.0,1.0,1.0,1.0
0.0,0.0,19.0,0.0,5.3,1.0,0.0,2.1,15.8,90.0,18.0,0.0,0.0,0.0,542.0,0.0,26.0,0.0,29930.0,1.0,1.0,0.0,2.0,976.0,3695.0,2719.0,44.0,0.0,0.0,2.0
0.0,0.0,20.0,0.0,4.5,2.0,0.0,2.3,17.4,90.0,4.0,0.0,0.0,0.0,542.0,0.0,27.0,0.0,33691.0,2.0,1.0,1.0,2.0,3596.0,6122.0,2526.0,44.0,1.0,0.0,2.0
0.0,0.0,10.0,0.0,6.9,3.0,0.0,1.0,3.2,90.0,2.0,0.0,0.0,0.0,542.0,0.0,28.0,0.0,35103.0,2.0,3.0,0.0,1.0,1312.0,3029.0,1717.0,44.0,0.0,1.0,1.0
0.0,0.0,10.0,0.0,1.3,3.0,0.0,0.6,4.8,66.0,8.0,0.0,0.0,0.0,542.0,0.0,29.0,0.0,32663.0,3.0,2.0,0.0,2.0,-2482.0,1133.0,3615.0,44.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,542.0,0.0,30.0,0.0,25200.0,1.0,2.0,0.0,0.0,-7479.0,71.0,7550.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,542.0,0.0,31.0,0.0,22427.0,0.0,3.0,0.0,0.0,-2774.0,23.0,2797.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,542.0,0.0,32.0,0.0,20114.0,0.0,1.0,0.0,0.0,-2317.0,19.0,2336.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,542.0,0.0,33.0,0.0,18118.0,2.0,2.0,0.0,0.0,-1999.0,28.0,2027.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,542.0,0.0,34.0,0.0,16573.0,0.0,0.0,0.0,0.0,-1545.0,18.0,1563.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,542.0,0.0,35.0,0.0,15743.0,0.0,0.0,0.0,0.0,-831.0,12.0,843.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,542.0,0.0,36.0,0.0,15137.0,0.0,1.0,0.0,0.0,-610.0,21.0,631.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,542.0,0.0,37.0,0.0,14560.0,4.0,0.0,0.0,0.0,-579.0,19.0,598.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,542.0,0.0,38.0,0.0,14138.0,2.0,1.0,0.0,0.0,-422.0,36.0,458.0,43.0,0.0,0.0,0.0
0.0,0.0,27.0,0.0,12.8,4.0,0.0,3.6,23.0,90.0,12.0,0.0,0.0,0.0,542.0,0.0,39.0,0.0,37423.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,45.0,0.0,0.0,2.0
0.0,0.0,7.0,0.0,0.1,1.0,0.0,0.9,8.4,14.0,14.0,0.0,0.0,0.0,542.0,0.0,40.0,0.0,41520.0,2.0,3.0,0.0,1.0,-491.0,2648.0,3139.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,542.0,0.0,41.0,0.0,40116.0,0.0,3.0,0.0,0.0,-2490.0,1839.0,4329.0,45.0,0.0,0.0,0.0
0.0,3.0,37.0,1.0,2.0,0.0,1.0,6.7,58.4,90.0,8.0,0.0,0.0,0.0,542.0,0.0,42.0,0.0,37149.0,0.0,2.0,7.0,11.0,-3497.0,868.0,4365.0,45.0,1.0,0.0,11.0
