assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,7.0,0.0,15.7,1.0,0.0,3.1,6.8,90.0,12.0,0.0,0.0,0.0,549.0,0.0,1.0,0.0,5064.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0
0.0,0.0,15.0,0.0,15.9,4.0,0.0,5.2,17.4,90.0,10.0,0.0,0.0,0.0,549.0,0.0,2.0,0.0,6077.0,4.0,1.0,19.0,0.0,-57.0,199.0,256.0,45.0,1.0,0.0,0.0
0.0,0.0,7.0,0.0,6.0,1.0,0.0,2.1,13.6,90.0,6.0,0.0,0.0,0.0,549.0,0.0,3.0,0.0,6276.0,0.0,1.0,1.0,2.0,-173.0,345.0,518.0,45.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,549.0,0.0,4.0,0.0,6516.0,4.0,0.0,0.0,0.0,-4.0,513.0,517.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,549.0,0.0,5.0,0.0,6354.0,1.0,4.0,0.0,0.0,-236.0,108.0,344.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,549.0,0.0,6.0,0.0,6030.0,1.0,1.0,0.0,0.0,-389.0,96.0,485.0,45.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,549.0,0.0,7.0,0.0,5746.0,1.0,1.0,0.0,1.0,-321.0,41.0,362.0,44.0,0.0,0.0,1.0
0.0,0.0,25.0,1.0,16.0,0.0,0.0,2.8,10.2,64.0,15.0,0.0,0.0,0.0,549.0,0.0,8.0,0.0,5656.0,0.0,2.0,2.0,6.0,-143.0,87.0,230.0,44.0,1.0,0.0,6.0
0.0,0.0,16.0,1.0,2.3,0.0,0.0,1.7,11.2,90.0,7.0,0.0,0.0,0.0,549.0,0.0,9.0,0.0,5489.0,2.0,0.0,3.0,5.0,-185.0,79.0,264.0,44.0,0.0,1.0,5.0
0.0,0.0,13.0,0.0,1.0,1.0,0.0,1.1,10.0,90.0,16.0,0.0,0.0,0.0,549.0,0.0,10.0,0.0,5505.0,1.0,3.0,0.0,2.0,-50.0,185.0,235.0,44.0,1.0,0.0,2.0
0.0,0.0,14.0,0.0,1.6,1.0,0.0,1.8,13.2,90.0,20.0,0.0,0.0,0.0,549.0,0.0,11.0,0.0,6914.0,1.0,1.0,3.0,2.0,1300.0,1598.0,298.0,44.0,0.0,0.0,2.0
0.0,0.0,5.0,0.0,11.3,1.0,0.0,2.2,7.0,56.0,2.0,0.0,0.0,0.0,549.0,0.0,12.0,0.0,10096.0,1.0,0.0,4.0,1.0,2884.0,3286.0,402.0,44.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,549.0,0.0,13.0,0.0,8235.0,1.0,0.0,0.0,0.0,-1883.0,67.0,1950.0,44.0,0.0,0.0,0.0
