assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1047.0,0.0,77.0,0.0,3773.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1047.0,0.0,78.0,0.0,3958.0,3.0,1.0,0.0,0.0,-266.0,37.0,303.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1047.0,0.0,79.0,0.0,3850.0,1.0,2.0,0.0,0.0,-256.0,32.0,288.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1047.0,0.0,80.0,0.0,3782.0,1.0,2.0,0.0,0.0,-173.0,26.0,199.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1047.0,0.0,81.0,0.0,3858.0,2.0,1.0,0.0,0.0,-122.0,102.0,224.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1047.0,0.0,82.0,0.0,3871.0,1.0,1.0,0.0,0.0,-84.0,58.0,142.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1047.0,0.0,83.0,0.0,3826.0,0.0,2.0,0.0,0.0,-93.0,42.0,135.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1047.0,0.0,84.0,0.0,3781.0,4.0,0.0,0.0,0.0,-63.0,16.0,79.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1047.0,0.0,85.0,0.0,3726.0,2.0,0.0,0.0,0.0,-83.0,15.0,98.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1047.0,0.0,86.0,0.0,3697.0,0.0,3.0,0.0,0.0,-38.0,16.0,54.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1047.0,0.0,87.0,0.0,3655.0,0.0,1.0,0.0,0.0,-56.0,10.0,66.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1047.0,0.0,88.0,0.0,3623.0,1.0,1.0,0.0,0.0,-38.0,19.0,57.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1047.0,0.0,89.0,0.0,3632.0,3.0,0.0,0.0,0.0,0.0,56.0,56.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1047.0,0.0,90.0,0.0,3604.0,0.0,2.0,0.0,0.0,-45.0,11.0,56.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1047.0,0.0,91.0,0.0,3572.0,2.0,1.0,0.0,0.0,-36.0,6.0,42.0,44.0,1.0,0.0,0.0
