assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,21.0,0.0,1.2,3.0,0.0,4.5,25.8,90.0,1.0,0.0,0.0,0.0,553.0,0.0,1.0,0.0,36006.0,4.0,3.0,18.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0
0.0,0.0,15.0,0.0,11.0,2.0,0.0,3.0,16.6,90.0,3.0,0.0,0.0,0.0,553.0,0.0,2.0,0.0,46910.0,0.0,2.0,2.0,1.0,2336.0,4768.0,2432.0,50.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,553.0,0.0,3.0,0.0,42318.0,1.0,1.0,0.0,0.0,-6668.0,1008.0,7676.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,553.0,0.0,4.0,0.0,30698.0,1.0,4.0,0.0,0.0,-11896.0,141.0,12037.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,553.0,0.0,5.0,0.0,27561.0,2.0,1.0,0.0,0.0,-3307.0,125.0,3432.0,49.0,0.0,0.0,0.0
0.0,0.0,17.0,0.0,4.8,1.0,0.0,2.2,14.8,90.0,7.0,0.0,0.0,0.0,553.0,0.0,6.0,0.0,24734.0,1.0,5.0,2.0,2.0,-2975.0,209.0,3184.0,49.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,553.0,0.0,7.0,0.0,24777.0,2.0,1.0,0.0,0.0,-228.0,1004.0,1232.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,553.0,0.0,8.0,0.0,23501.0,0.0,0.0,0.0,0.0,-1503.0,256.0,1759.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,553.0,0.0,9.0,0.0,22380.0,1.0,2.0,0.0,0.0,-1235.0,177.0,1412.0,48.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.1,0.2,1.0,5.0,0.0,0.0,0.0,553.0,0.0,10.0,0.0,21155.0,4.0,2.0,0.0,1.0,-1293.0,77.0,1370.0,48.0,0.0,0.0,1.0
