assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
1.0,0.0,21.0,0.0,17.9,1.0,0.0,4.1,5.8,90.0,15.0,0.0,0.0,0.0,554.0,0.0,1.0,0.0,36311.0,1.0,2.0,17.0,5.0,0.0,0.0,0.0,80.0,1.0,0.0,5.0
1.0,0.0,18.0,0.0,13.9,1.0,0.0,8.2,21.8,90.0,14.0,0.0,0.0,0.0,554.0,0.0,2.0,0.0,90944.0,4.0,1.0,46.0,4.0,29043.0,34958.0,5915.0,80.0,0.0,1.0,4.0
0.0,3.0,45.0,0.0,26.4,1.0,2.0,16.9,72.4,90.0,20.0,0.0,0.0,0.0,554.0,0.0,3.0,0.0,177198.0,1.0,3.0,70.0,15.0,70159.0,85290.0,15131.0,81.0,1.0,0.0,15.0
0.0,0.0,2.0,0.0,5.8,1.0,0.0,2.1,0.0,59.0,11.0,0.0,0.0,0.0,554.0,0.0,4.0,0.0,514491.0,2.0,1.0,18.0,1.0,295797.0,327202.0,31405.0,82.0,0.0,0.0,1.0
1.0,2.0,55.0,1.0,20.5,0.0,1.0,21.5,68.4,90.0,2.0,0.0,0.0,0.0,554.0,0.0,5.0,0.0,613427.0,0.0,4.0,126.0,13.0,86563.0,126316.0,39753.0,83.0,1.0,0.0,13.0
0.0,0.0,14.0,0.0,13.2,1.0,1.0,10.0,36.0,90.0,16.0,0.0,0.0,0.0,554.0,0.0,6.0,0.0,901113.0,3.0,1.0,51.0,6.0,268719.0,298414.0,29695.0,85.0,0.0,1.0,6.0
0.0,0.0,-5.0,0.0,2.7,2.0,0.0,2.5,1.6,86.0,17.0,0.0,0.0,0.0,554.0,0.0,7.0,0.0,1062816.0,0.0,2.0,21.0,1.0,148727.0,175616.0,26889.0,86.0,0.0,1.0,1.0
0.0,0.0,12.0,0.0,16.8,1.0,0.0,5.9,10.8,90.0,6.0,0.0,0.0,0.0,554.0,0.0,8.0,0.0,919385.0,1.0,1.0,31.0,2.0,-149500.0,40573.0,190073.0,85.0,1.0,0.0,2.0
0.0,0.0,5.0,0.0,30.7,1.0,0.0,6.9,14.2,90.0,13.0,0.0,0.0,0.0,554.0,0.0,9.0,0.0,876262.0,1.0,1.0,24.0,2.0,-46694.0,28735.0,75429.0,85.0,1.0,0.0,2.0
0.0,0.0,6.0,1.0,30.8,0.0,0.0,10.3,6.0,76.0,19.0,0.0,0.0,0.0,554.0,0.0,10.0,0.0,837197.0,4.0,0.0,66.0,3.0,-41900.0,28219.0,70119.0,84.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,554.0,0.0,11.0,0.0,759602.0,1.0,1.0,0.0,0.0,-79885.0,40596.0,120481.0,83.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,17.2,1.0,0.0,5.0,11.4,90.0,5.0,0.0,0.0,0.0,554.0,0.0,12.0,0.0,621242.0,2.0,1.0,21.0,2.0,-140716.0,17901.0,158617.0,80.0,0.0,0.0,2.0
0.0,0.0,5.0,0.0,58.8,1.0,0.0,9.7,8.2,56.0,3.0,0.0,0.0,0.0,554.0,0.0,13.0,0.0,561110.0,2.0,1.0,30.0,1.0,-61170.0,9162.0,70332.0,79.0,0.0,0.0,1.0
