assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1242.0,0.0,115.0,0.0,12567.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1242.0,0.0,116.0,0.0,11585.0,0.0,1.0,0.0,0.0,-1728.0,203.0,1931.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,12.0,9.0,0.0,0.0,0.0,1242.0,0.0,117.0,0.0,9962.0,2.0,1.0,4.0,1.0,-1874.0,341.0,2215.0,49.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1242.0,0.0,118.0,0.0,9236.0,2.0,2.0,0.0,0.0,-954.0,353.0,1307.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1242.0,0.0,119.0,0.0,8553.0,1.0,0.0,0.0,0.0,-861.0,260.0,1121.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1242.0,0.0,120.0,0.0,7933.0,2.0,0.0,0.0,0.0,-697.0,81.0,778.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1242.0,0.0,121.0,0.0,7378.0,1.0,0.0,0.0,0.0,-642.0,103.0,745.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1242.0,0.0,122.0,0.0,6931.0,0.0,0.0,0.0,0.0,-502.0,94.0,596.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1242.0,0.0,123.0,0.0,6669.0,0.0,1.0,0.0,0.0,-323.0,107.0,430.0,47.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1242.0,0.0,124.0,0.0,6580.0,1.0,1.0,0.0,0.0,-159.0,80.0,239.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1242.0,0.0,125.0,0.0,6426.0,0.0,3.0,0.0,0.0,-230.0,138.0,368.0,47.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1242.0,0.0,126.0,0.0,6329.0,1.0,1.0,0.0,0.0,-156.0,145.0,301.0,47.0,0.0,0.0,0.0
