assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,559.0,0.0,1.0,0.0,24087.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,559.0,0.0,2.0,0.0,25052.0,0.0,1.0,0.0,0.0,-1682.0,420.0,2102.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,559.0,0.0,3.0,0.0,23043.0,1.0,3.0,0.0,0.0,-2726.0,232.0,2958.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,559.0,0.0,4.0,0.0,21162.0,4.0,2.0,0.0,0.0,-2358.0,297.0,2655.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,559.0,0.0,5.0,0.0,20259.0,2.0,4.0,0.0,0.0,-1144.0,153.0,1297.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,559.0,0.0,6.0,0.0,19195.0,3.0,0.0,0.0,0.0,-1276.0,229.0,1505.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,559.0,0.0,7.0,0.0,18488.0,1.0,1.0,0.0,0.0,-839.0,166.0,1005.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,559.0,0.0,8.0,0.0,18100.0,1.0,0.0,0.0,0.0,-593.0,213.0,806.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,559.0,0.0,9.0,0.0,17801.0,0.0,1.0,0.0,0.0,-421.0,155.0,576.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,559.0,0.0,10.0,0.0,17487.0,0.0,2.0,0.0,0.0,-410.0,100.0,510.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,559.0,0.0,11.0,0.0,16891.0,1.0,1.0,0.0,0.0,-674.0,119.0,793.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,559.0,0.0,12.0,0.0,15877.0,2.0,3.0,0.0,0.0,-1040.0,37.0,1077.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,559.0,0.0,13.0,0.0,15432.0,1.0,1.0,0.0,0.0,-455.0,25.0,480.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,559.0,0.0,14.0,0.0,15006.0,5.0,1.0,0.0,0.0,-437.0,21.0,458.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,559.0,0.0,15.0,0.0,14626.0,2.0,2.0,0.0,0.0,-394.0,30.0,424.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,559.0,0.0,16.0,0.0,14426.0,0.0,1.0,0.0,0.0,-207.0,17.0,224.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,559.0,0.0,17.0,0.0,14191.0,0.0,1.0,0.0,0.0,-241.0,20.0,261.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,559.0,0.0,18.0,0.0,13940.0,4.0,1.0,0.0,0.0,-265.0,36.0,301.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,559.0,0.0,19.0,0.0,13727.0,0.0,1.0,0.0,0.0,-229.0,36.0,265.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,559.0,0.0,20.0,0.0,13557.0,2.0,0.0,0.0,0.0,-183.0,32.0,215.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,559.0,0.0,21.0,0.0,13358.0,0.0,3.0,0.0,0.0,-253.0,123.0,376.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,559.0,0.0,22.0,0.0,13350.0,3.0,1.0,0.0,0.0,-55.0,104.0,159.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,559.0,0.0,23.0,0.0,13324.0,4.0,0.0,0.0,0.0,-85.0,62.0,147.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,559.0,0.0,24.0,0.0,13081.0,3.0,1.0,0.0,0.0,-248.0,3.0,251.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,559.0,0.0,25.0,0.0,12833.0,2.0,2.0,0.0,0.0,-250.0,10.0,260.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,559.0,0.0,26.0,0.0,12646.0,1.0,1.0,0.0,0.0,-191.0,11.0,202.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,559.0,0.0,27.0,0.0,12557.0,2.0,1.0,0.0,0.0,-91.0,2.0,93.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,559.0,0.0,28.0,0.0,12482.0,2.0,3.0,0.0,0.0,-78.0,3.0,81.0,42.0,0.0,0.0,0.0
