assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
1.0,0.0,23.0,0.0,24.3,2.0,0.0,5.8,17.6,90.0,14.0,0.0,0.0,0.0,1048.0,0.0,77.0,0.0,58068.0,1.0,2.0,16.0,4.0,0.0,0.0,0.0,50.0,0.0,0.0,4.0
1.0,3.0,37.0,1.0,12.8,0.0,0.0,6.9,42.2,90.0,20.0,0.0,0.0,0.0,1048.0,0.0,78.0,0.0,90730.0,0.0,2.0,14.0,12.0,11405.0,16263.0,4858.0,50.0,1.0,0.0,12.0
0.0,0.0,17.0,0.0,4.8,1.0,0.0,4.3,15.6,90.0,16.0,0.0,0.0,0.0,1048.0,0.0,79.0,0.0,303732.0,2.0,1.0,23.0,2.0,162892.0,194394.0,31502.0,51.0,0.0,0.0,2.0
0.0,0.0,15.0,0.0,7.3,2.0,0.0,2.3,13.8,90.0,12.0,0.0,0.0,0.0,1048.0,0.0,80.0,0.0,295502.0,2.0,1.0,2.0,1.0,-3860.0,30170.0,34030.0,51.0,1.0,0.0,1.0
1.0,0.0,18.0,0.0,26.2,4.0,0.0,5.4,21.8,90.0,2.0,0.0,0.0,0.0,1048.0,0.0,81.0,0.0,290322.0,2.0,4.0,6.0,3.0,-9760.0,28393.0,38153.0,51.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1048.0,0.0,82.0,0.0,305445.0,1.0,3.0,0.0,0.0,10822.0,28708.0,17886.0,51.0,1.0,0.0,0.0
0.0,0.0,19.0,1.0,4.8,0.0,0.0,4.3,21.6,90.0,15.0,0.0,0.0,0.0,1048.0,0.0,83.0,0.0,275627.0,2.0,0.0,17.0,6.0,-28301.0,4341.0,32642.0,51.0,0.0,0.0,6.0
0.0,0.0,23.0,0.0,17.2,2.0,1.0,8.3,46.6,85.0,8.0,0.0,0.0,0.0,1048.0,0.0,84.0,0.0,274407.0,2.0,1.0,19.0,7.0,-2913.0,7751.0,10664.0,51.0,1.0,0.0,7.0
0.0,0.0,6.0,0.0,1.8,3.0,0.0,1.0,2.6,68.0,1.0,0.0,0.0,0.0,1048.0,0.0,85.0,0.0,284898.0,1.0,3.0,6.0,0.0,8097.0,22148.0,14051.0,51.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1048.0,0.0,86.0,0.0,288946.0,1.0,1.0,0.0,0.0,2782.0,14984.0,12202.0,51.0,1.0,0.0,0.0
0.0,0.0,20.0,1.0,0.9,0.0,0.0,4.2,18.2,90.0,5.0,0.0,0.0,0.0,1048.0,0.0,87.0,0.0,274352.0,1.0,0.0,23.0,5.0,-15295.0,9471.0,24766.0,50.0,0.0,1.0,5.0
0.0,3.0,27.0,1.0,20.6,0.0,0.0,4.4,16.2,90.0,4.0,0.0,0.0,0.0,1048.0,0.0,88.0,0.0,289070.0,0.0,0.0,7.0,9.0,11777.0,19268.0,7491.0,50.0,1.0,0.0,9.0
0.0,0.0,3.0,0.0,11.3,1.0,0.0,2.7,15.4,90.0,3.0,0.0,0.0,0.0,1048.0,0.0,89.0,0.0,346711.0,1.0,1.0,0.0,2.0,53347.0,61811.0,8464.0,50.0,0.0,0.0,2.0
0.0,3.0,32.0,1.0,15.3,0.0,0.0,6.1,42.0,90.0,18.0,0.0,0.0,0.0,1048.0,0.0,90.0,0.0,346810.0,0.0,2.0,4.0,9.0,2244.0,14376.0,12132.0,50.0,1.0,0.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1048.0,0.0,91.0,0.0,392972.0,1.0,1.0,0.0,0.0,40915.0,47753.0,6838.0,51.0,0.0,0.0,0.0
0.0,0.0,14.0,0.0,1.8,2.0,0.0,2.5,19.2,90.0,17.0,0.0,0.0,0.0,1048.0,0.0,92.0,0.0,391600.0,2.0,0.0,4.0,1.0,1039.0,25453.0,24414.0,51.0,1.0,0.0,1.0
0.0,0.0,5.0,0.0,3.0,1.0,0.0,2.2,16.8,90.0,7.0,0.0,0.0,0.0,1048.0,0.0,93.0,0.0,407227.0,0.0,1.0,2.0,1.0,10694.0,29290.0,18596.0,51.0,0.0,1.0,1.0
0.0,1.0,27.0,1.0,2.4,0.0,0.0,5.3,42.4,90.0,6.0,0.0,0.0,0.0,1048.0,0.0,94.0,0.0,376260.0,1.0,0.0,8.0,7.0,-29407.0,9550.0,38957.0,51.0,0.0,0.0,7.0
0.0,1.0,27.0,0.0,1.3,1.0,1.0,7.6,55.4,90.0,13.0,0.0,0.0,0.0,1048.0,0.0,95.0,0.0,386509.0,1.0,2.0,19.0,9.0,7341.0,23464.0,16123.0,51.0,1.0,0.0,9.0
0.0,0.0,10.0,0.0,27.9,1.0,0.0,12.0,36.8,90.0,5.0,0.0,0.0,0.0,1048.0,0.0,96.0,0.0,528249.0,1.0,0.0,55.0,2.0,122780.0,129521.0,6741.0,52.0,1.0,0.0,2.0
1.0,3.0,37.0,1.0,20.8,0.0,0.0,8.2,38.4,90.0,8.0,0.0,0.0,0.0,1048.0,0.0,97.0,0.0,516950.0,1.0,0.0,23.0,12.0,-154.0,38700.0,38854.0,52.0,0.0,0.0,12.0
1.0,0.0,21.0,0.0,42.7,2.0,0.0,9.0,35.4,90.0,16.0,0.0,0.0,0.0,1048.0,0.0,98.0,0.0,736533.0,2.0,1.0,12.0,4.0,200742.0,224750.0,24008.0,53.0,1.0,0.0,4.0
0.0,0.0,9.0,0.0,48.6,4.0,0.0,9.7,22.4,90.0,20.0,0.0,0.0,0.0,1048.0,0.0,99.0,0.0,781794.0,3.0,4.0,26.0,-1.0,45808.0,98453.0,52645.0,53.0,0.0,1.0,-1.0
0.0,0.0,13.0,0.0,5.5,1.0,0.0,2.8,22.8,90.0,12.0,0.0,0.0,0.0,1048.0,0.0,100.0,0.0,731237.0,1.0,1.0,0.0,1.0,-51855.0,39373.0,91228.0,53.0,0.0,1.0,1.0
0.0,0.0,14.0,0.0,12.1,1.0,0.0,3.3,13.8,90.0,14.0,0.0,0.0,0.0,1048.0,0.0,101.0,0.0,717730.0,1.0,0.0,7.0,2.0,-5048.0,32121.0,37169.0,53.0,1.0,0.0,2.0
1.0,0.0,33.0,0.0,52.3,3.0,0.0,10.3,42.8,90.0,17.0,0.0,0.0,0.0,1048.0,0.0,102.0,0.0,710108.0,1.0,3.0,8.0,4.0,-18573.0,22414.0,40987.0,53.0,0.0,0.0,4.0
0.0,0.0,14.0,0.0,16.0,4.0,0.0,4.0,20.0,90.0,7.0,0.0,0.0,0.0,1048.0,0.0,103.0,0.0,937549.0,4.0,1.0,4.0,0.0,175605.0,194303.0,18698.0,54.0,1.0,0.0,0.0
0.0,0.0,15.0,0.0,3.1,1.0,0.0,2.9,22.8,90.0,3.0,0.0,0.0,0.0,1048.0,0.0,104.0,0.0,920535.0,1.0,2.0,3.0,2.0,29945.0,55647.0,25702.0,54.0,1.0,0.0,2.0
0.0,0.0,5.0,0.0,19.4,2.0,0.0,3.8,13.0,90.0,18.0,0.0,0.0,0.0,1048.0,0.0,105.0,0.0,886791.0,1.0,2.0,6.0,0.0,-33132.0,19216.0,52348.0,54.0,0.0,1.0,0.0
0.0,0.0,19.0,0.0,24.4,1.0,0.0,4.5,16.2,90.0,9.0,0.0,0.0,0.0,1048.0,0.0,106.0,0.0,888942.0,1.0,3.0,4.0,2.0,395.0,37264.0,36869.0,54.0,1.0,0.0,2.0
0.0,0.0,10.0,0.0,2.4,1.0,0.0,3.3,10.8,90.0,4.0,0.0,0.0,0.0,1048.0,0.0,107.0,0.0,997915.0,2.0,1.0,20.0,2.0,33654.0,50662.0,17008.0,54.0,0.0,0.0,2.0
0.0,2.0,36.0,1.0,25.4,0.0,0.0,8.0,19.6,90.0,2.0,0.0,0.0,0.0,1048.0,0.0,108.0,0.0,776688.0,0.0,2.0,35.0,8.0,-77319.0,11619.0,88938.0,54.0,1.0,0.0,8.0
1.0,1.0,31.0,0.0,25.3,1.0,0.0,6.3,37.2,90.0,10.0,0.0,0.0,0.0,1048.0,0.0,109.0,0.0,909879.0,4.0,1.0,0.0,6.0,48990.0,56855.0,7865.0,54.0,0.0,0.0,6.0
0.0,0.0,18.0,0.0,9.9,1.0,0.0,3.2,20.2,90.0,15.0,0.0,0.0,0.0,1048.0,0.0,110.0,0.0,852100.0,1.0,0.0,2.0,2.0,-47553.0,21904.0,69457.0,54.0,1.0,0.0,2.0
0.0,0.0,12.0,0.0,4.6,2.0,0.0,3.3,24.2,90.0,19.0,0.0,0.0,0.0,1048.0,0.0,111.0,0.0,761989.0,2.0,2.0,4.0,1.0,-80903.0,6942.0,87845.0,54.0,0.0,0.0,1.0
1.0,2.0,35.0,1.0,17.1,0.0,0.0,8.2,33.8,90.0,1.0,0.0,0.0,0.0,1048.0,0.0,112.0,0.0,718510.0,0.0,3.0,31.0,10.0,-51860.0,3898.0,55758.0,54.0,1.0,1.0,10.0
0.0,0.0,13.0,0.0,1.7,1.0,0.0,5.1,29.2,90.0,13.0,0.0,0.0,0.0,1048.0,0.0,113.0,0.0,679412.0,0.0,1.0,20.0,2.0,-39415.0,4832.0,44247.0,53.0,0.0,0.0,2.0
0.0,3.0,35.0,1.0,2.6,0.0,0.0,2.5,22.2,90.0,6.0,0.0,0.0,0.0,1048.0,0.0,114.0,0.0,663324.0,0.0,0.0,0.0,9.0,-14669.0,8579.0,23248.0,53.0,1.0,0.0,9.0
0.0,3.0,32.0,1.0,26.2,0.0,0.0,5.9,23.4,90.0,20.0,0.0,0.0,0.0,1048.0,0.0,115.0,0.0,311670.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,60.0,1.0,0.0,9.0
0.0,0.0,11.0,0.0,7.2,1.0,0.0,4.2,32.2,90.0,6.0,0.0,0.0,0.0,1048.0,0.0,116.0,0.0,351659.0,1.0,1.0,3.0,2.0,-5450.0,18141.0,23591.0,60.0,0.0,0.0,2.0
0.0,0.0,14.0,0.0,3.3,1.0,0.0,2.3,19.4,90.0,15.0,0.0,0.0,0.0,1048.0,0.0,117.0,0.0,371329.0,2.0,1.0,0.0,2.0,5725.0,34696.0,28971.0,60.0,0.0,0.0,2.0
0.0,0.0,15.0,0.0,13.7,1.0,0.0,4.8,32.6,90.0,3.0,0.0,0.0,0.0,1048.0,0.0,118.0,0.0,364788.0,1.0,3.0,2.0,2.0,-12950.0,17178.0,30128.0,60.0,1.0,0.0,2.0
0.0,0.0,6.0,0.0,2.9,1.0,0.0,1.8,11.2,90.0,12.0,0.0,0.0,0.0,1048.0,0.0,119.0,0.0,343914.0,0.0,1.0,4.0,2.0,-24980.0,10262.0,35242.0,60.0,0.0,0.0,2.0
0.0,1.0,25.0,0.0,12.3,1.0,1.0,8.8,51.8,90.0,17.0,0.0,0.0,0.0,1048.0,0.0,120.0,0.0,331822.0,1.0,2.0,24.0,9.0,-15674.0,4704.0,20378.0,60.0,1.0,0.0,9.0
0.0,1.0,35.0,1.0,18.4,0.0,1.0,7.5,47.6,90.0,13.0,0.0,0.0,0.0,1048.0,0.0,121.0,0.0,449907.0,0.0,5.0,9.0,13.0,100922.0,114506.0,13584.0,60.0,1.0,0.0,13.0
0.0,0.0,16.0,0.0,3.3,2.0,0.0,2.8,24.6,90.0,10.0,0.0,0.0,0.0,1048.0,0.0,122.0,0.0,557518.0,1.0,2.0,0.0,1.0,100487.0,118981.0,18494.0,61.0,0.0,0.0,1.0
0.0,0.0,24.0,0.0,67.7,1.0,0.0,12.2,38.4,90.0,5.0,0.0,0.0,0.0,1048.0,0.0,123.0,0.0,823524.0,1.0,2.0,16.0,2.0,235769.0,254644.0,18875.0,62.0,1.0,0.0,2.0
0.0,0.0,22.0,1.0,7.4,0.0,0.0,3.6,24.8,90.0,16.0,0.0,0.0,0.0,1048.0,0.0,124.0,0.0,901347.0,9.0,0.0,4.0,6.0,82443.0,102501.0,20058.0,62.0,0.0,0.0,6.0
0.0,0.0,21.0,1.0,2.2,0.0,0.0,2.4,17.4,90.0,7.0,0.0,0.0,0.0,1048.0,0.0,125.0,0.0,990098.0,2.0,0.0,4.0,6.0,81479.0,117452.0,35973.0,63.0,0.0,0.0,6.0
