assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,567.0,0.0,1.0,0.0,1285.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,567.0,0.0,2.0,0.0,1340.0,2.0,1.0,0.0,0.0,-208.0,50.0,258.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,567.0,0.0,3.0,0.0,1217.0,0.0,3.0,0.0,0.0,-211.0,26.0,237.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,567.0,0.0,4.0,0.0,1839.0,4.0,2.0,0.0,0.0,471.0,812.0,341.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,567.0,0.0,5.0,0.0,1663.0,1.0,3.0,0.0,0.0,-219.0,64.0,283.0,54.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,0.4,0.0,0.0,0.1,0.2,16.0,3.0,0.0,0.0,0.0,567.0,0.0,6.0,0.0,1496.0,0.0,2.0,0.0,1.0,-216.0,46.0,262.0,54.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,567.0,0.0,7.0,0.0,1442.0,2.0,2.0,0.0,0.0,-85.0,32.0,117.0,53.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,567.0,0.0,8.0,0.0,1375.0,1.0,0.0,0.0,0.0,-103.0,31.0,134.0,53.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,567.0,0.0,9.0,0.0,1282.0,0.0,0.0,0.0,0.0,-104.0,12.0,116.0,52.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,567.0,0.0,10.0,0.0,1184.0,0.0,1.0,0.0,0.0,-99.0,2.0,101.0,52.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,567.0,0.0,11.0,0.0,1123.0,1.0,6.0,0.0,0.0,-62.0,5.0,67.0,52.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,567.0,0.0,12.0,0.0,1082.0,1.0,2.0,0.0,0.0,-44.0,11.0,55.0,52.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,567.0,0.0,13.0,0.0,1063.0,1.0,0.0,0.0,0.0,-21.0,4.0,25.0,52.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,567.0,0.0,14.0,0.0,1048.0,1.0,3.0,0.0,0.0,-17.0,5.0,22.0,51.0,0.0,0.0,0.0
