assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,3.0,28.0,0.0,36.2,1.0,1.0,11.7,45.2,90.0,17.0,0.0,0.0,0.0,575.0,0.0,1.0,0.0,254900.0,1.0,1.0,36.0,10.0,0.0,0.0,0.0,75.0,1.0,0.0,10.0
1.0,0.0,8.0,0.0,30.5,1.0,0.0,9.7,23.4,90.0,19.0,0.0,0.0,0.0,575.0,0.0,2.0,0.0,432690.0,2.0,1.0,43.0,5.0,94333.0,107097.0,12764.0,76.0,0.0,0.0,5.0
0.0,0.0,-2.0,1.0,24.3,0.0,0.0,8.0,7.6,83.0,14.0,0.0,0.0,0.0,575.0,0.0,3.0,0.0,724902.0,0.0,1.0,48.0,2.0,243592.0,263999.0,20407.0,77.0,1.0,1.0,2.0
0.0,0.0,3.0,0.0,14.0,0.0,0.0,1.9,3.4,45.0,15.0,0.0,0.0,0.0,575.0,0.0,4.0,0.0,715562.0,3.0,0.0,2.0,1.0,-21626.0,60008.0,81634.0,77.0,0.0,0.0,1.0
0.0,0.0,13.0,0.0,31.8,1.0,0.0,10.0,12.0,90.0,12.0,0.0,0.0,0.0,575.0,0.0,5.0,0.0,617495.0,1.0,3.0,56.0,2.0,-100608.0,7069.0,107677.0,77.0,1.0,0.0,2.0
0.0,0.0,2.0,0.0,45.2,1.0,0.0,7.6,0.8,90.0,2.0,0.0,0.0,0.0,575.0,0.0,6.0,0.0,503370.0,0.0,1.0,30.0,2.0,-115864.0,5329.0,121193.0,75.0,0.0,0.0,2.0
0.0,0.0,15.0,0.0,94.7,1.0,0.0,11.5,16.8,76.0,5.0,0.0,0.0,0.0,575.0,0.0,7.0,0.0,431462.0,1.0,1.0,3.0,2.0,-72853.0,2297.0,75150.0,74.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,575.0,0.0,8.0,0.0,368779.0,1.0,1.0,0.0,0.0,-63699.0,1274.0,64973.0,73.0,0.0,0.0,0.0
0.0,0.0,16.0,0.0,15.7,2.0,0.0,9.4,17.8,90.0,3.0,0.0,0.0,0.0,575.0,0.0,9.0,0.0,326113.0,1.0,2.0,60.0,2.0,-42961.0,924.0,43885.0,72.0,0.0,0.0,2.0
0.0,2.0,34.0,1.0,34.2,0.0,1.0,14.4,46.8,86.0,20.0,0.0,0.0,0.0,575.0,0.0,10.0,0.0,304930.0,0.0,2.0,63.0,10.0,-21467.0,698.0,22165.0,72.0,1.0,0.0,10.0
0.0,0.0,9.0,0.0,22.3,5.0,0.0,2.3,1.0,90.0,4.0,0.0,0.0,0.0,575.0,0.0,11.0,0.0,302141.0,0.0,5.0,0.0,2.0,-3621.0,6640.0,10261.0,72.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,45.2,1.0,0.0,7.3,14.4,90.0,16.0,0.0,0.0,0.0,575.0,0.0,12.0,0.0,298985.0,1.0,1.0,13.0,1.0,-4148.0,8638.0,12786.0,71.0,1.0,1.0,1.0
0.0,0.0,6.0,0.0,28.9,1.0,0.0,3.8,1.2,70.0,13.0,0.0,0.0,0.0,575.0,0.0,13.0,0.0,288495.0,0.0,1.0,8.0,2.0,-10829.0,1397.0,12226.0,71.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,575.0,0.0,14.0,0.0,280028.0,1.0,1.0,0.0,0.0,-8703.0,1259.0,9962.0,71.0,1.0,0.0,0.0
