assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,576.0,0.0,1.0,0.0,4419.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,576.0,0.0,2.0,0.0,4567.0,0.0,2.0,0.0,0.0,-439.0,144.0,583.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,576.0,0.0,3.0,0.0,3913.0,0.0,3.0,0.0,0.0,-847.0,164.0,1011.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,576.0,0.0,4.0,0.0,3189.0,1.0,1.0,0.0,0.0,-750.0,28.0,778.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,576.0,0.0,5.0,0.0,2908.0,0.0,3.0,0.0,0.0,-290.0,13.0,303.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,576.0,0.0,6.0,0.0,2677.0,0.0,2.0,0.0,0.0,-237.0,12.0,249.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,576.0,0.0,7.0,0.0,2545.0,1.0,0.0,0.0,0.0,-142.0,18.0,160.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,576.0,0.0,8.0,0.0,2455.0,1.0,3.0,0.0,0.0,-105.0,17.0,122.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,576.0,0.0,9.0,0.0,2408.0,1.0,2.0,0.0,0.0,-55.0,12.0,67.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,576.0,0.0,10.0,0.0,2351.0,0.0,0.0,0.0,0.0,-64.0,5.0,69.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,576.0,0.0,11.0,0.0,2306.0,2.0,3.0,0.0,0.0,-50.0,23.0,73.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,576.0,0.0,12.0,0.0,2256.0,0.0,4.0,0.0,0.0,-61.0,13.0,74.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,576.0,0.0,13.0,0.0,2245.0,2.0,1.0,0.0,0.0,-15.0,8.0,23.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,576.0,0.0,14.0,0.0,2210.0,0.0,2.0,0.0,0.0,-36.0,10.0,46.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,576.0,0.0,15.0,0.0,2182.0,2.0,3.0,0.0,0.0,-32.0,24.0,56.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,576.0,0.0,16.0,0.0,2160.0,0.0,1.0,0.0,0.0,-26.0,12.0,38.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,576.0,0.0,17.0,0.0,2148.0,1.0,2.0,0.0,0.0,-16.0,11.0,27.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,576.0,0.0,18.0,0.0,2126.0,0.0,1.0,0.0,0.0,-27.0,23.0,50.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,576.0,0.0,19.0,0.0,2110.0,1.0,4.0,0.0,0.0,-18.0,11.0,29.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,576.0,0.0,20.0,0.0,2100.0,1.0,2.0,0.0,0.0,-14.0,21.0,35.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,576.0,0.0,21.0,0.0,2070.0,0.0,1.0,0.0,0.0,-33.0,23.0,56.0,45.0,1.0,0.0,0.0
