assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,14.0,0.0,0.0,2.0,0.0,2.2,21.8,90.0,8.0,0.0,0.0,0.0,1052.0,0.0,77.0,3.0,301531.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,45.0,1.0,0.0,2.0
0.0,0.0,10.0,0.0,0.0,2.0,0.0,1.1,11.4,90.0,11.0,0.0,0.0,0.0,1052.0,0.0,78.0,1.0,313230.0,0.0,2.0,0.0,1.0,-6998.0,4594.0,11592.0,45.0,0.0,0.0,1.0
0.0,0.0,18.0,0.0,0.0,1.0,0.0,3.2,32.4,90.0,13.0,0.0,0.0,0.0,1052.0,0.0,79.0,5.0,288214.0,1.0,1.0,0.0,3.0,-27475.0,2481.0,29956.0,45.0,1.0,0.0,3.0
0.0,0.0,26.0,1.0,0.0,0.0,0.0,2.4,23.8,90.0,19.0,0.0,0.0,0.0,1052.0,0.0,80.0,3.0,295411.0,1.0,0.0,0.0,7.0,-648.0,12801.0,13449.0,45.0,0.0,0.0,7.0
0.0,0.0,23.0,1.0,0.0,0.0,0.0,1.3,13.4,90.0,4.0,0.0,0.0,0.0,1052.0,0.0,81.0,2.0,339281.0,0.0,1.0,0.0,6.0,33091.0,49596.0,16505.0,45.0,1.0,0.0,6.0
0.0,0.0,19.0,0.0,0.0,1.0,0.0,3.0,30.0,90.0,14.0,0.0,0.0,0.0,1052.0,0.0,82.0,5.0,357959.0,1.0,1.0,0.0,3.0,15063.0,28085.0,13022.0,45.0,0.0,0.0,3.0
0.0,2.0,34.0,1.0,0.0,0.0,0.0,3.8,38.0,90.0,16.0,0.0,0.0,0.0,1052.0,0.0,83.0,6.0,384881.0,0.0,2.0,0.0,10.0,21271.0,27951.0,6680.0,45.0,1.0,0.0,10.0
0.0,2.0,27.0,1.0,0.0,0.0,0.0,2.3,22.6,90.0,7.0,0.0,0.0,0.0,1052.0,0.0,84.0,4.0,450944.0,1.0,0.0,0.0,9.0,58932.0,65703.0,6771.0,45.0,0.0,0.0,9.0
0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.9,9.0,90.0,18.0,0.0,0.0,0.0,1052.0,0.0,85.0,1.0,606326.0,2.0,0.0,0.0,1.0,136836.0,146941.0,10105.0,46.0,1.0,0.0,1.0
0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.1,1.2,90.0,3.0,0.0,0.0,0.0,1052.0,0.0,86.0,0.0,627400.0,0.0,1.0,0.0,2.0,24000.0,40292.0,16292.0,46.0,0.0,0.0,2.0
0.0,0.0,19.0,0.0,0.0,3.0,0.0,3.0,30.4,90.0,17.0,0.0,0.0,0.0,1052.0,0.0,87.0,5.0,593536.0,3.0,2.0,0.0,2.0,-30875.0,8778.0,39653.0,46.0,1.0,0.0,2.0
0.0,0.0,13.0,0.0,0.0,1.0,0.0,1.4,13.6,90.0,1.0,0.0,0.0,0.0,1052.0,0.0,88.0,2.0,582297.0,1.0,1.0,0.0,2.0,-13656.0,7560.0,21216.0,46.0,0.0,0.0,2.0
0.0,0.0,17.0,0.0,0.0,2.0,0.0,3.1,31.4,90.0,10.0,0.0,0.0,0.0,1052.0,0.0,89.0,4.0,596653.0,2.0,0.0,0.0,2.0,8838.0,20649.0,11811.0,46.0,1.0,0.0,2.0
0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.3,3.2,90.0,5.0,0.0,0.0,0.0,1052.0,0.0,90.0,0.0,589085.0,1.0,2.0,0.0,1.0,-6752.0,4847.0,11599.0,46.0,0.0,0.0,1.0
0.0,0.0,12.0,0.0,0.0,1.0,0.0,1.4,14.4,90.0,6.0,0.0,0.0,0.0,1052.0,0.0,91.0,2.0,558133.0,1.0,2.0,0.0,2.0,-29560.0,1227.0,30787.0,46.0,1.0,0.0,2.0
0.0,0.0,14.0,0.0,0.0,1.0,0.0,2.3,22.6,90.0,15.0,0.0,0.0,0.0,1052.0,0.0,92.0,3.0,547617.0,2.0,1.0,0.0,3.0,-11794.0,2964.0,14758.0,46.0,0.0,0.0,3.0
0.0,0.0,25.0,1.0,0.0,0.0,0.0,1.8,17.6,90.0,2.0,0.0,0.0,0.0,1052.0,0.0,93.0,3.0,538111.0,0.0,2.0,0.0,7.0,-11135.0,2922.0,14057.0,46.0,1.0,0.0,7.0
0.0,0.0,19.0,0.0,0.0,2.0,0.0,3.1,31.0,90.0,12.0,0.0,0.0,0.0,1052.0,0.0,94.0,5.0,529730.0,2.0,0.0,0.0,2.0,-9619.0,4783.0,14402.0,46.0,1.0,0.0,2.0
0.0,0.0,15.0,0.0,0.0,1.0,0.0,2.3,23.4,90.0,9.0,0.0,0.0,0.0,1052.0,0.0,95.0,3.0,532806.0,1.0,1.0,0.0,3.0,726.0,10577.0,9851.0,46.0,0.0,0.0,3.0
0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.9,8.8,90.0,17.0,0.0,0.0,0.0,1052.0,0.0,96.0,2.0,521041.0,3.0,1.0,0.0,2.0,-10731.0,5023.0,15754.0,46.0,0.0,0.0,2.0
0.0,0.0,12.0,0.0,0.0,2.0,0.0,1.0,10.4,90.0,7.0,0.0,0.0,0.0,1052.0,0.0,97.0,2.0,544308.0,2.0,0.0,0.0,1.0,19007.0,36653.0,17646.0,45.0,1.0,0.0,1.0
0.0,0.0,23.0,0.0,0.0,3.0,0.0,4.7,47.4,90.0,13.0,0.0,0.0,0.0,1052.0,0.0,98.0,7.0,527879.0,0.0,3.0,0.0,3.0,-17125.0,21075.0,38200.0,45.0,0.0,0.0,3.0
0.0,0.0,14.0,0.0,0.0,3.0,0.0,2.8,28.4,90.0,11.0,0.0,0.0,0.0,1052.0,0.0,99.0,4.0,524467.0,3.0,4.0,0.0,2.0,-4776.0,23771.0,28547.0,45.0,1.0,0.0,2.0
0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.2,2.4,90.0,19.0,0.0,0.0,0.0,1052.0,0.0,100.0,0.0,527764.0,0.0,3.0,0.0,6.0,1208.0,17319.0,16111.0,45.0,1.0,0.0,6.0
0.0,0.0,14.0,0.0,0.0,1.0,0.0,2.7,26.8,90.0,8.0,0.0,0.0,0.0,1052.0,0.0,101.0,3.0,530700.0,3.0,1.0,0.0,3.0,6219.0,16593.0,10374.0,45.0,0.0,0.0,3.0
0.0,0.0,10.0,0.0,0.0,1.0,0.0,1.4,14.2,90.0,15.0,0.0,0.0,0.0,1052.0,0.0,102.0,2.0,545645.0,1.0,1.0,0.0,2.0,9254.0,21228.0,11974.0,45.0,1.0,0.0,2.0
0.0,0.0,12.0,0.0,0.0,1.0,0.0,1.6,16.4,90.0,2.0,0.0,0.0,0.0,1052.0,0.0,103.0,2.0,544929.0,1.0,1.0,0.0,2.0,2603.0,14867.0,12264.0,45.0,0.0,0.0,2.0
0.0,0.0,12.0,0.0,0.0,1.0,0.0,1.9,19.4,90.0,10.0,0.0,0.0,0.0,1052.0,0.0,104.0,2.0,561383.0,0.0,1.0,0.0,2.0,10964.0,18672.0,7708.0,45.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1052.0,0.0,105.0,0.0,556523.0,0.0,2.0,0.0,0.0,-5029.0,10484.0,15513.0,45.0,1.0,0.0,0.0
0.0,0.0,17.0,0.0,0.0,1.0,0.0,3.5,35.0,90.0,6.0,0.0,0.0,0.0,1052.0,0.0,106.0,5.0,532552.0,1.0,1.0,0.0,3.0,-23916.0,3292.0,27208.0,45.0,0.0,0.0,3.0
0.0,0.0,14.0,0.0,0.0,1.0,0.0,2.9,28.8,90.0,14.0,0.0,0.0,0.0,1052.0,0.0,108.0,3.0,516531.0,1.0,2.0,0.0,3.0,5027.0,19210.0,14183.0,45.0,1.0,0.0,3.0
0.0,0.0,13.0,0.0,0.0,3.0,0.0,2.2,21.6,90.0,16.0,0.0,0.0,0.0,1052.0,0.0,110.0,3.0,502919.0,1.0,3.0,0.0,2.0,-9928.0,14503.0,24431.0,45.0,0.0,0.0,2.0
0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.2,2.4,90.0,1.0,0.0,0.0,0.0,1052.0,0.0,111.0,0.0,518223.0,1.0,3.0,0.0,2.0,13597.0,23124.0,9527.0,45.0,1.0,0.0,2.0
0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.5,5.2,90.0,18.0,0.0,0.0,0.0,1052.0,0.0,112.0,0.0,516200.0,2.0,1.0,0.0,2.0,-1233.0,4975.0,6208.0,45.0,0.0,0.0,2.0
0.0,0.0,24.0,1.0,0.0,0.0,0.0,1.3,13.2,90.0,9.0,0.0,0.0,0.0,1052.0,0.0,113.0,2.0,520649.0,0.0,1.0,0.0,6.0,3700.0,10055.0,6355.0,45.0,1.0,0.0,6.0
0.0,0.0,14.0,0.0,0.0,2.0,0.0,1.9,19.4,90.0,12.0,0.0,0.0,0.0,1052.0,0.0,114.0,3.0,501294.0,0.0,2.0,0.0,2.0,-16336.0,1817.0,18153.0,45.0,0.0,0.0,2.0
0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.8,7.6,90.0,9.0,0.0,0.0,0.0,1052.0,0.0,115.0,1.0,271369.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,50.0,0.0,0.0,6.0
0.0,2.0,25.0,0.0,0.0,1.0,0.0,3.0,29.8,90.0,12.0,0.0,0.0,1.0,1052.0,0.0,116.0,1.0,297138.0,1.0,1.0,0.0,9.0,-3623.0,14551.0,18174.0,50.0,1.0,0.0,9.0
0.0,0.0,16.0,0.0,0.0,1.0,0.0,2.3,23.0,90.0,5.0,0.0,0.0,0.0,1052.0,0.0,117.0,3.0,414601.0,1.0,1.0,0.0,3.0,76664.0,96068.0,19404.0,50.0,1.0,0.0,3.0
0.0,0.0,10.0,0.0,0.0,3.0,0.0,2.1,20.6,90.0,8.0,0.0,0.0,0.0,1052.0,0.0,118.0,3.0,573928.0,2.0,3.0,0.0,2.0,112982.0,143906.0,30924.0,50.0,0.0,0.0,2.0
0.0,0.0,9.0,0.0,0.0,5.0,0.0,1.0,10.2,90.0,6.0,0.0,0.0,0.0,1052.0,0.0,119.0,1.0,660120.0,5.0,2.0,0.0,0.0,59808.0,99465.0,39657.0,51.0,1.0,0.0,0.0
0.0,0.0,17.0,0.0,0.0,1.0,0.0,3.5,34.8,90.0,7.0,0.0,0.0,0.0,1052.0,0.0,120.0,4.0,626570.0,1.0,1.0,0.0,3.0,-32058.0,13402.0,45460.0,51.0,0.0,0.0,3.0
0.0,2.0,29.0,1.0,0.0,0.0,0.0,3.9,38.6,90.0,18.0,0.0,0.0,0.0,1052.0,0.0,121.0,5.0,605325.0,0.0,2.0,0.0,9.0,-25703.0,11675.0,37378.0,51.0,1.0,0.0,9.0
0.0,0.0,26.0,1.0,0.0,0.0,0.0,1.2,11.6,90.0,11.0,0.0,0.0,0.0,1052.0,0.0,122.0,2.0,625678.0,2.0,0.0,0.0,6.0,15987.0,41604.0,25617.0,51.0,0.0,0.0,6.0
0.0,0.0,16.0,0.0,0.0,1.0,0.0,3.1,31.2,90.0,16.0,0.0,0.0,0.0,1052.0,0.0,123.0,4.0,842319.0,1.0,1.0,0.0,3.0,193153.0,205685.0,12532.0,52.0,1.0,0.0,3.0
0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.9,9.4,90.0,13.0,0.0,0.0,0.0,1052.0,0.0,124.0,1.0,881054.0,1.0,1.0,0.0,2.0,41434.0,55599.0,14165.0,52.0,0.0,0.0,2.0
0.0,0.0,15.0,0.0,0.0,1.0,0.0,2.6,26.4,90.0,1.0,0.0,0.0,0.0,1052.0,0.0,125.0,3.0,862313.0,1.0,1.0,0.0,3.0,-18712.0,22158.0,40870.0,52.0,0.0,0.0,3.0
0.0,0.0,14.0,0.0,0.0,1.0,0.0,1.9,18.6,90.0,2.0,0.0,0.0,0.0,1052.0,0.0,126.0,3.0,880876.0,1.0,2.0,0.0,3.0,11905.0,33017.0,21112.0,52.0,1.0,0.0,3.0
0.0,0.0,13.0,0.0,0.0,1.0,0.0,1.4,14.4,90.0,3.0,0.0,0.0,0.0,1052.0,0.0,127.0,2.0,865296.0,2.0,1.0,0.0,2.0,-13362.0,19902.0,33264.0,52.0,0.0,0.0,2.0
0.0,0.0,14.0,0.0,0.0,1.0,0.0,2.6,26.0,90.0,15.0,0.0,0.0,0.0,1052.0,0.0,128.0,3.0,844673.0,1.0,1.0,0.0,3.0,-22017.0,8931.0,30948.0,52.0,1.0,0.0,3.0
0.0,0.0,26.0,1.0,0.0,0.0,0.0,2.6,26.2,90.0,19.0,0.0,0.0,0.0,1052.0,0.0,129.0,3.0,842772.0,0.0,2.0,0.0,7.0,-5061.0,11400.0,16461.0,52.0,1.0,0.0,7.0
0.0,0.0,9.0,0.0,0.0,2.0,0.0,1.3,13.2,90.0,4.0,0.0,0.0,0.0,1052.0,0.0,130.0,2.0,853175.0,2.0,2.0,0.0,1.0,7682.0,19679.0,11997.0,52.0,0.0,0.0,1.0
0.0,0.0,15.0,0.0,0.0,2.0,0.0,2.6,25.6,90.0,17.0,0.0,0.0,0.0,1052.0,0.0,131.0,3.0,819791.0,2.0,1.0,0.0,2.0,-32611.0,8942.0,41553.0,52.0,1.0,0.0,2.0
0.0,0.0,20.0,0.0,0.0,1.0,0.0,4.3,43.2,90.0,14.0,0.0,0.0,0.0,1052.0,0.0,132.0,6.0,811669.0,2.0,1.0,0.0,4.0,-11270.0,9525.0,20795.0,52.0,0.0,0.0,4.0
0.0,0.0,24.0,0.0,0.0,2.0,0.0,3.0,29.6,90.0,11.0,0.0,0.0,1.0,1052.0,0.0,133.0,1.0,774398.0,2.0,3.0,0.0,6.0,-36535.0,2110.0,38645.0,52.0,1.0,0.0,6.0
0.0,0.0,11.0,0.0,0.0,1.0,0.0,1.5,15.0,90.0,10.0,0.0,0.0,0.0,1052.0,0.0,134.0,2.0,764454.0,0.0,1.0,0.0,2.0,-12243.0,6269.0,18512.0,52.0,0.0,0.0,2.0
0.0,0.0,11.0,0.0,0.0,2.0,0.0,1.2,11.6,90.0,18.0,0.0,0.0,0.0,1052.0,0.0,135.0,1.0,775087.0,1.0,2.0,0.0,1.0,6537.0,29102.0,22565.0,52.0,0.0,0.0,1.0
0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.2,1.8,90.0,13.0,0.0,0.0,0.0,1052.0,0.0,136.0,0.0,766518.0,1.0,1.0,0.0,2.0,-10767.0,20326.0,31093.0,52.0,1.0,0.0,2.0
0.0,0.0,15.0,0.0,0.0,2.0,0.0,2.3,23.2,90.0,16.0,0.0,0.0,0.0,1052.0,0.0,137.0,3.0,731632.0,3.0,2.0,0.0,2.0,-34992.0,5199.0,40191.0,52.0,0.0,0.0,2.0
0.0,0.0,17.0,0.0,0.0,2.0,0.0,3.6,35.6,90.0,10.0,0.0,0.0,0.0,1052.0,0.0,138.0,4.0,681385.0,2.0,1.0,0.0,2.0,-45052.0,1888.0,46940.0,51.0,1.0,0.0,2.0
0.0,1.0,30.0,1.0,0.0,0.0,0.0,2.6,25.8,90.0,12.0,0.0,0.0,0.0,1052.0,0.0,139.0,5.0,657470.0,0.0,0.0,0.0,8.0,-30968.0,4259.0,35227.0,51.0,0.0,0.0,8.0
0.0,3.0,29.0,1.0,0.0,0.0,0.0,2.1,20.8,90.0,9.0,0.0,0.0,0.0,1052.0,0.0,140.0,3.0,648116.0,0.0,0.0,0.0,10.0,-11097.0,4414.0,15511.0,51.0,1.0,0.0,10.0
0.0,0.0,29.0,1.0,0.0,0.0,0.0,3.0,29.6,90.0,14.0,0.0,0.0,0.0,1052.0,0.0,141.0,4.0,672789.0,0.0,3.0,0.0,7.0,21264.0,29394.0,8130.0,51.0,1.0,0.0,7.0
0.0,0.0,15.0,0.0,0.0,2.0,0.0,2.6,26.2,90.0,17.0,0.0,0.0,0.0,1052.0,0.0,142.0,3.0,688834.0,3.0,2.0,0.0,2.0,15281.0,24914.0,9633.0,51.0,0.0,0.0,2.0
0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.6,6.4,90.0,4.0,0.0,0.0,0.0,1052.0,0.0,143.0,1.0,724566.0,0.0,0.0,0.0,6.0,32489.0,46761.0,14272.0,51.0,1.0,0.0,6.0
