assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,580.0,0.0,1.0,0.0,28380.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,580.0,0.0,2.0,0.0,24005.0,0.0,2.0,0.0,0.0,-5071.0,67.0,5138.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,580.0,0.0,3.0,0.0,20182.0,1.0,1.0,0.0,0.0,-4002.0,86.0,4088.0,54.0,1.0,0.0,0.0
0.0,0.0,7.0,0.0,2.4,2.0,0.0,2.4,22.0,90.0,1.0,0.0,0.0,0.0,580.0,0.0,4.0,0.0,20164.0,1.0,2.0,0.0,0.0,-736.0,596.0,1332.0,54.0,0.0,1.0,0.0
0.0,1.0,27.0,1.0,3.7,0.0,0.0,2.3,11.4,90.0,16.0,0.0,0.0,0.0,580.0,0.0,5.0,0.0,20132.0,0.0,1.0,8.0,7.0,-383.0,440.0,823.0,54.0,1.0,0.0,7.0
1.0,2.0,34.0,1.0,39.8,0.0,0.0,7.8,36.4,90.0,20.0,0.0,0.0,0.0,580.0,0.0,6.0,0.0,20820.0,3.0,0.0,2.0,11.0,189.0,924.0,735.0,54.0,0.0,0.0,11.0
0.0,0.0,23.0,1.0,3.3,0.0,0.0,1.6,8.2,90.0,8.0,0.0,0.0,0.0,580.0,0.0,7.0,0.0,38074.0,0.0,0.0,4.0,6.0,14247.0,15442.0,1195.0,54.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,580.0,0.0,8.0,0.0,46188.0,1.0,3.0,0.0,0.0,4679.0,12209.0,7530.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,580.0,0.0,9.0,0.0,39413.0,1.0,1.0,0.0,0.0,-6934.0,589.0,7523.0,54.0,0.0,0.0,0.0
0.0,0.0,14.0,0.0,43.1,2.0,0.0,6.4,18.4,77.0,4.0,0.0,0.0,0.0,580.0,0.0,10.0,0.0,35406.0,2.0,0.0,2.0,1.0,-4089.0,173.0,4262.0,54.0,1.0,0.0,1.0
0.0,0.0,8.0,0.0,4.5,2.0,0.0,1.3,5.2,90.0,7.0,0.0,0.0,0.0,580.0,0.0,11.0,0.0,37203.0,1.0,2.0,3.0,0.0,1434.0,2919.0,1485.0,54.0,0.0,1.0,0.0
