assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,9.0,0.0,17.2,1.0,0.0,2.1,0.2,85.0,20.0,0.0,0.0,0.0,581.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0
0.0,0.0,6.0,1.0,12.3,0.0,0.0,2.1,2.8,87.0,5.0,0.0,0.0,0.0,581.0,0.0,3.0,0.0,115.0,1.0,1.0,6.0,3.0,67.0,86.0,19.0,50.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,581.0,0.0,4.0,0.0,306.0,0.0,1.0,0.0,0.0,85.0,128.0,43.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,581.0,0.0,5.0,0.0,292.0,0.0,4.0,0.0,0.0,-38.0,10.0,48.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,581.0,0.0,6.0,0.0,261.0,0.0,1.0,0.0,0.0,-38.0,10.0,48.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,581.0,0.0,7.0,0.0,242.0,2.0,2.0,0.0,0.0,-24.0,7.0,31.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,581.0,0.0,8.0,0.0,232.0,1.0,6.0,0.0,0.0,-16.0,5.0,21.0,49.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,1.3,0.0,0.0,0.3,0.0,3.0,17.0,0.0,0.0,0.0,581.0,0.0,9.0,0.0,233.0,0.0,0.0,2.0,1.0,-8.0,7.0,15.0,49.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,3.5,0.0,0.0,1.1,1.8,31.0,12.0,0.0,0.0,0.0,581.0,0.0,10.0,0.0,241.0,0.0,2.0,6.0,1.0,-4.0,4.0,8.0,49.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,16.0,0.0,0.0,1.9,2.6,9.0,15.0,0.0,0.0,0.0,581.0,0.0,11.0,0.0,251.0,2.0,1.0,0.0,1.0,7.0,17.0,10.0,49.0,1.0,0.0,1.0
