assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,582.0,0.0,1.0,0.0,1829.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,582.0,0.0,2.0,0.0,1847.0,0.0,1.0,0.0,0.0,-275.0,41.0,316.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,582.0,0.0,3.0,0.0,1818.0,1.0,1.0,0.0,0.0,-205.0,106.0,311.0,49.0,1.0,0.0,0.0
0.0,0.0,4.0,0.0,10.8,0.0,0.0,1.6,2.8,18.0,3.0,0.0,0.0,0.0,582.0,0.0,4.0,0.0,3003.0,1.0,1.0,2.0,1.0,974.0,1673.0,699.0,49.0,0.0,0.0,1.0
0.0,0.0,4.0,0.0,5.7,2.0,0.0,1.5,9.0,33.0,1.0,0.0,0.0,0.0,582.0,0.0,5.0,0.0,2865.0,4.0,1.0,0.0,1.0,-178.0,127.0,305.0,49.0,1.0,0.0,1.0
0.0,0.0,6.0,0.0,2.4,5.0,0.0,1.1,9.0,72.0,9.0,0.0,0.0,0.0,582.0,0.0,6.0,0.0,2728.0,1.0,5.0,0.0,1.0,-179.0,192.0,371.0,49.0,0.0,1.0,1.0
0.0,0.0,15.0,0.0,3.0,2.0,0.0,4.9,2.4,90.0,4.0,0.0,0.0,0.0,582.0,0.0,7.0,0.0,2649.0,2.0,0.0,44.0,2.0,-103.0,107.0,210.0,49.0,1.0,0.0,2.0
0.0,0.0,25.0,0.0,16.4,4.0,1.0,6.9,36.6,77.0,2.0,0.0,0.0,0.0,582.0,0.0,8.0,0.0,2695.0,1.0,6.0,16.0,7.0,-8.0,187.0,195.0,49.0,0.0,0.0,7.0
0.0,0.0,7.0,0.0,31.3,2.0,0.0,4.9,13.8,90.0,14.0,0.0,0.0,0.0,582.0,0.0,9.0,0.0,3068.0,2.0,0.0,4.0,1.0,290.0,437.0,147.0,49.0,1.0,1.0,1.0
0.0,0.0,11.0,0.0,28.7,1.0,0.0,5.4,14.0,90.0,18.0,0.0,0.0,0.0,582.0,0.0,10.0,0.0,3084.0,0.0,1.0,11.0,1.0,-36.0,222.0,258.0,49.0,0.0,1.0,1.0
0.0,0.0,11.0,0.0,11.2,1.0,0.0,2.0,7.2,90.0,13.0,0.0,0.0,0.0,582.0,0.0,11.0,0.0,3016.0,1.0,2.0,2.0,2.0,-115.0,180.0,295.0,49.0,1.0,0.0,2.0
0.0,0.0,13.0,0.0,18.5,2.0,0.0,5.6,7.2,77.0,15.0,0.0,0.0,0.0,582.0,0.0,12.0,0.0,2986.0,0.0,3.0,30.0,2.0,-76.0,117.0,193.0,49.0,0.0,0.0,2.0
0.0,0.0,3.0,0.0,1.9,1.0,0.0,0.4,2.2,45.0,19.0,0.0,0.0,0.0,582.0,0.0,13.0,0.0,2886.0,1.0,1.0,0.0,1.0,-114.0,47.0,161.0,49.0,1.0,0.0,1.0
0.0,0.0,6.0,0.0,2.8,1.0,0.0,1.0,5.2,61.0,12.0,0.0,0.0,0.0,582.0,0.0,14.0,0.0,2655.0,0.0,1.0,2.0,2.0,-243.0,16.0,259.0,49.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,582.0,0.0,15.0,0.0,2540.0,3.0,3.0,0.0,0.0,-125.0,30.0,155.0,48.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.3,1.0,0.0,0.1,0.8,25.0,17.0,0.0,0.0,0.0,582.0,0.0,16.0,0.0,2447.0,0.0,3.0,0.0,1.0,-99.0,16.0,115.0,48.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,582.0,0.0,17.0,0.0,2382.0,0.0,1.0,0.0,0.0,-69.0,21.0,90.0,48.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.7,3.0,0.0,0.1,0.2,28.0,10.0,0.0,0.0,0.0,582.0,0.0,18.0,0.0,2282.0,3.0,0.0,0.0,0.0,-115.0,19.0,134.0,47.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,582.0,0.0,19.0,0.0,2250.0,2.0,2.0,0.0,0.0,-41.0,25.0,66.0,47.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,3.6,1.0,0.0,0.7,0.0,26.0,19.0,0.0,0.0,0.0,582.0,0.0,20.0,0.0,2206.0,1.0,3.0,7.0,1.0,-55.0,22.0,77.0,47.0,0.0,0.0,1.0
0.0,0.0,15.0,0.0,11.7,1.0,0.0,3.6,5.6,85.0,2.0,0.0,0.0,0.0,582.0,0.0,21.0,0.0,2149.0,1.0,3.0,19.0,2.0,-74.0,44.0,118.0,47.0,1.0,0.0,2.0
0.0,0.0,3.0,0.0,0.6,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,582.0,0.0,22.0,0.0,2113.0,0.0,2.0,0.0,1.0,-50.0,30.0,80.0,47.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,582.0,0.0,23.0,0.0,1959.0,0.0,0.0,0.0,0.0,-157.0,25.0,182.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,582.0,0.0,24.0,0.0,1891.0,0.0,2.0,0.0,0.0,-68.0,8.0,76.0,47.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,582.0,0.0,25.0,0.0,1834.0,0.0,2.0,0.0,0.0,-58.0,13.0,71.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,582.0,0.0,26.0,0.0,1792.0,1.0,1.0,0.0,0.0,-44.0,6.0,50.0,46.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,582.0,0.0,27.0,0.0,1772.0,1.0,3.0,0.0,0.0,-23.0,8.0,31.0,46.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,582.0,0.0,28.0,0.0,1749.0,1.0,2.0,0.0,0.0,-23.0,10.0,33.0,46.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,582.0,0.0,29.0,0.0,1738.0,0.0,4.0,0.0,0.0,-12.0,0.0,12.0,46.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,582.0,0.0,30.0,0.0,1730.0,1.0,2.0,0.0,0.0,-8.0,8.0,16.0,46.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,582.0,0.0,31.0,0.0,1726.0,2.0,4.0,0.0,0.0,-4.0,2.0,6.0,46.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,582.0,0.0,32.0,0.0,1725.0,1.0,3.0,0.0,0.0,-1.0,2.0,3.0,46.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,582.0,0.0,33.0,0.0,1718.0,1.0,3.0,0.0,0.0,-8.0,9.0,17.0,46.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,582.0,0.0,34.0,0.0,1713.0,0.0,2.0,0.0,0.0,-6.0,3.0,9.0,46.0,1.0,0.0,0.0
