assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,6.0,0.0,0.3,1.0,0.0,1.7,16.4,90.0,12.0,0.0,0.0,0.0,583.0,0.0,1.0,0.0,69657.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,1.0,1.0
1.0,0.0,14.0,0.0,0.3,4.0,0.0,1.1,6.6,90.0,10.0,0.0,0.0,0.0,583.0,0.0,2.0,0.0,75675.0,4.0,1.0,4.0,2.0,-2513.0,1259.0,3772.0,50.0,1.0,1.0,2.0
0.0,0.0,16.0,0.0,11.3,1.0,0.0,3.3,21.4,90.0,6.0,0.0,0.0,0.0,583.0,0.0,3.0,0.0,73995.0,0.0,1.0,0.0,2.0,-4280.0,1123.0,5403.0,50.0,0.0,0.0,2.0
0.0,0.0,20.0,0.0,0.0,4.0,0.0,8.2,37.4,90.0,17.0,0.0,0.0,0.0,583.0,0.0,4.0,0.0,71224.0,4.0,0.0,45.0,0.0,-4145.0,1144.0,5289.0,50.0,1.0,0.0,0.0
0.0,0.0,8.0,0.0,0.1,4.0,0.0,4.4,8.2,90.0,5.0,0.0,0.0,0.0,583.0,0.0,5.0,0.0,67638.0,1.0,4.0,36.0,0.0,-3997.0,415.0,4412.0,50.0,0.0,0.0,0.0
0.0,0.0,6.0,0.0,0.0,1.0,0.0,4.2,11.0,90.0,19.0,0.0,0.0,0.0,583.0,0.0,6.0,0.0,63130.0,1.0,1.0,31.0,1.0,-4936.0,1086.0,6022.0,49.0,1.0,1.0,1.0
0.0,0.0,12.0,0.0,0.0,1.0,0.0,2.5,24.8,90.0,11.0,0.0,0.0,0.0,583.0,0.0,7.0,0.0,60219.0,1.0,1.0,0.0,2.0,-3164.0,477.0,3641.0,49.0,0.0,0.0,2.0
0.0,0.0,22.0,1.0,1.3,0.0,0.0,2.5,17.2,90.0,15.0,0.0,0.0,0.0,583.0,0.0,8.0,0.0,61376.0,0.0,2.0,6.0,6.0,513.0,2801.0,2288.0,49.0,1.0,0.0,6.0
1.0,2.0,38.0,1.0,10.3,0.0,0.0,8.5,40.2,90.0,7.0,0.0,0.0,0.0,583.0,0.0,9.0,0.0,64692.0,2.0,0.0,34.0,11.0,2797.0,3949.0,1152.0,49.0,0.0,0.0,11.0
0.0,0.0,19.0,0.0,10.3,1.0,0.0,7.6,27.0,90.0,16.0,0.0,0.0,0.0,583.0,0.0,10.0,0.0,81021.0,1.0,3.0,39.0,2.0,14650.0,15486.0,836.0,49.0,1.0,0.0,2.0
0.0,0.0,14.0,0.0,0.0,1.0,0.0,2.0,16.0,90.0,20.0,0.0,0.0,0.0,583.0,0.0,11.0,0.0,86844.0,1.0,1.0,4.0,2.0,4603.0,7361.0,2758.0,49.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,1.3,1.0,0.0,5.0,7.0,90.0,2.0,0.0,0.0,0.0,583.0,0.0,12.0,0.0,109311.0,1.0,0.0,42.0,2.0,18133.0,21033.0,2900.0,49.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,583.0,0.0,13.0,0.0,108064.0,1.0,0.0,0.0,0.0,-1865.0,2051.0,3916.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,583.0,0.0,14.0,0.0,94193.0,0.0,2.0,0.0,0.0,-13982.0,358.0,14340.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,583.0,0.0,15.0,0.0,82652.0,1.0,3.0,0.0,0.0,-11610.0,111.0,11721.0,49.0,0.0,0.0,0.0
0.0,0.0,24.0,1.0,10.4,0.0,0.0,6.0,23.6,90.0,13.0,0.0,0.0,0.0,583.0,0.0,16.0,0.0,75914.0,0.0,0.0,26.0,6.0,-6765.0,75.0,6840.0,49.0,1.0,0.0,6.0
0.0,0.0,11.0,0.0,0.3,2.0,0.0,1.6,13.8,90.0,8.0,0.0,0.0,0.0,583.0,0.0,17.0,0.0,75440.0,2.0,2.0,2.0,1.0,-590.0,807.0,1397.0,49.0,1.0,0.0,1.0
0.0,0.0,13.0,0.0,0.0,4.0,0.0,3.9,39.0,90.0,9.0,0.0,0.0,0.0,583.0,0.0,18.0,0.0,73609.0,1.0,4.0,0.0,0.0,-2040.0,404.0,2444.0,49.0,0.0,0.0,0.0
0.0,0.0,11.0,0.0,0.0,4.0,0.0,1.8,17.8,90.0,4.0,0.0,0.0,0.0,583.0,0.0,19.0,0.0,71536.0,2.0,4.0,0.0,0.0,-2183.0,251.0,2434.0,49.0,0.0,0.0,0.0
0.0,3.0,37.0,1.0,0.1,0.0,1.0,8.2,60.6,90.0,18.0,0.0,0.0,0.0,583.0,0.0,20.0,0.0,70440.0,0.0,2.0,21.0,15.0,-1194.0,795.0,1989.0,49.0,1.0,0.0,15.0
0.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,20.2,90.0,15.0,0.0,0.0,0.0,583.0,0.0,21.0,0.0,77790.0,3.0,1.0,0.0,2.0,6178.0,9660.0,3482.0,49.0,0.0,0.0,2.0
0.0,0.0,14.0,0.0,0.0,1.0,0.0,2.8,26.0,90.0,11.0,0.0,0.0,0.0,583.0,0.0,22.0,0.0,77358.0,1.0,1.0,2.0,2.0,-911.0,2080.0,2991.0,49.0,1.0,0.0,2.0
0.0,0.0,11.0,0.0,0.1,1.0,0.0,4.5,23.4,90.0,6.0,1.0,0.0,0.0,583.0,0.0,23.0,0.0,78667.0,1.0,1.0,21.0,0.0,691.0,2730.0,2039.0,49.0,1.0,0.0,0.0
0.0,0.0,8.0,0.0,1.7,1.0,0.0,4.1,19.2,90.0,19.0,0.0,0.0,0.0,583.0,0.0,24.0,0.0,78513.0,0.0,1.0,20.0,2.0,-359.0,1224.0,1583.0,49.0,0.0,0.0,2.0
0.0,1.0,23.0,1.0,0.1,0.0,0.0,1.8,18.0,90.0,5.0,0.0,0.0,0.0,583.0,0.0,25.0,0.0,80016.0,0.0,1.0,0.0,6.0,1120.0,2875.0,1755.0,49.0,1.0,1.0,6.0
0.0,0.0,7.0,0.0,0.3,4.0,0.0,0.8,8.0,90.0,17.0,0.0,0.0,0.0,583.0,0.0,26.0,0.0,80199.0,0.0,4.0,0.0,0.0,-230.0,1297.0,1527.0,49.0,0.0,0.0,0.0
0.0,0.0,26.0,1.0,0.2,0.0,0.0,1.7,17.2,90.0,10.0,0.0,0.0,0.0,583.0,0.0,27.0,0.0,81312.0,0.0,0.0,0.0,6.0,858.0,2462.0,1604.0,49.0,0.0,0.0,6.0
0.0,0.0,7.0,0.0,0.1,2.0,0.0,2.5,19.2,90.0,4.0,0.0,0.0,0.0,583.0,0.0,29.0,0.0,80501.0,2.0,1.0,6.0,1.0,113.0,1129.0,1016.0,49.0,1.0,0.0,1.0
0.0,0.0,16.0,0.0,0.1,2.0,0.0,3.1,30.8,90.0,8.0,0.0,0.0,0.0,583.0,0.0,30.0,0.0,81451.0,0.0,2.0,0.0,0.0,576.0,1679.0,1103.0,49.0,0.0,1.0,0.0
0.0,0.0,12.0,0.0,0.6,1.0,0.0,3.5,24.2,90.0,3.0,0.0,0.0,0.0,583.0,0.0,31.0,0.0,81229.0,0.0,1.0,10.0,2.0,-309.0,484.0,793.0,49.0,0.0,0.0,2.0
0.0,0.0,14.0,0.0,0.8,2.0,0.0,2.3,20.6,90.0,9.0,0.0,0.0,0.0,583.0,0.0,32.0,0.0,80869.0,2.0,1.0,2.0,1.0,-441.0,594.0,1035.0,49.0,1.0,0.0,1.0
0.0,0.0,9.0,0.0,4.0,1.0,0.0,1.7,12.6,90.0,7.0,0.0,0.0,0.0,583.0,0.0,33.0,0.0,81960.0,1.0,3.0,0.0,2.0,901.0,1975.0,1074.0,49.0,1.0,0.0,2.0
0.0,0.0,19.0,0.0,0.4,2.0,0.0,2.3,22.8,90.0,16.0,0.0,0.0,0.0,583.0,0.0,34.0,0.0,81008.0,0.0,2.0,0.0,1.0,-1087.0,621.0,1708.0,49.0,0.0,0.0,1.0
0.0,0.0,30.0,1.0,10.4,0.0,0.0,4.2,29.4,90.0,20.0,0.0,0.0,0.0,583.0,0.0,35.0,0.0,80495.0,0.0,0.0,2.0,6.0,-622.0,479.0,1101.0,49.0,1.0,0.0,6.0
0.0,0.0,2.0,0.0,0.1,2.0,0.0,1.6,6.0,90.0,2.0,1.0,0.0,0.0,583.0,0.0,36.0,0.0,79536.0,2.0,2.0,10.0,-1.0,-1028.0,256.0,1284.0,49.0,0.0,0.0,-1.0
0.0,0.0,9.0,0.0,0.0,4.0,0.0,1.6,10.2,90.0,1.0,0.0,0.0,0.0,583.0,0.0,37.0,0.0,77267.0,4.0,1.0,6.0,0.0,-2304.0,153.0,2457.0,49.0,1.0,0.0,0.0
0.0,0.0,28.0,1.0,0.3,0.0,0.0,4.3,16.6,90.0,13.0,0.0,0.0,0.0,583.0,0.0,38.0,0.0,76916.0,1.0,0.0,26.0,6.0,-420.0,455.0,875.0,49.0,0.0,0.0,6.0
0.0,0.0,11.0,0.0,0.2,1.0,0.0,2.1,21.0,90.0,7.0,0.0,0.0,0.0,583.0,0.0,39.0,0.0,69753.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0
0.0,0.0,23.0,1.0,0.0,0.0,0.0,2.9,24.8,90.0,1.0,0.0,0.0,0.0,583.0,0.0,40.0,0.0,78267.0,0.0,1.0,4.0,6.0,-2397.0,1675.0,4072.0,50.0,1.0,0.0,6.0
0.0,0.0,11.0,0.0,10.4,1.0,0.0,5.4,34.0,90.0,19.0,0.0,0.0,0.0,583.0,0.0,41.0,0.0,87758.0,1.0,1.0,10.0,2.0,3699.0,7176.0,3477.0,50.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,583.0,0.0,42.0,0.0,82549.0,2.0,2.0,0.0,0.0,-7502.0,1880.0,9382.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,583.0,0.0,43.0,0.0,69903.0,1.0,2.0,0.0,0.0,-12731.0,132.0,12863.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,583.0,0.0,44.0,0.0,59789.0,4.0,0.0,0.0,0.0,-10188.0,85.0,10273.0,49.0,1.0,0.0,0.0
