assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
1.0,2.0,44.0,0.0,27.8,2.0,1.0,10.4,60.6,90.0,8.0,0.0,0.0,0.0,1063.0,0.0,77.0,0.0,633569.0,2.0,2.0,16.0,12.0,0.0,0.0,0.0,50.0,1.0,0.0,12.0
0.0,0.0,11.0,0.0,4.2,2.0,0.0,2.4,12.2,90.0,11.0,0.0,0.0,0.0,1063.0,0.0,78.0,0.0,1166668.0,0.0,2.0,8.0,2.0,362716.0,388439.0,25723.0,51.0,0.0,0.0,2.0
0.0,0.0,9.0,0.0,11.0,1.0,0.0,5.1,28.8,90.0,13.0,0.0,0.0,0.0,1063.0,0.0,79.0,0.0,1194498.0,1.0,1.0,11.0,2.0,16808.0,131573.0,114765.0,51.0,1.0,0.0,2.0
0.0,0.0,11.0,1.0,2.8,0.0,0.0,2.1,9.4,90.0,19.0,0.0,0.0,0.0,1063.0,0.0,80.0,0.0,1332718.0,1.0,0.0,9.0,3.0,105644.0,178365.0,72721.0,52.0,0.0,0.0,3.0
0.0,0.0,5.0,1.0,61.0,0.0,0.0,9.4,16.4,90.0,4.0,0.0,0.0,0.0,1063.0,0.0,81.0,0.0,1433675.0,0.0,1.0,17.0,2.0,81352.0,165679.0,84327.0,52.0,1.0,1.0,2.0
0.0,0.0,13.0,0.0,24.1,1.0,0.0,5.1,20.2,90.0,14.0,0.0,0.0,0.0,1063.0,0.0,82.0,0.0,1340673.0,1.0,1.0,7.0,1.0,-87054.0,39292.0,126346.0,52.0,0.0,1.0,1.0
0.0,0.0,18.0,1.0,29.9,0.0,0.0,6.4,25.0,90.0,16.0,0.0,0.0,0.0,1063.0,0.0,83.0,0.0,1282700.0,0.0,2.0,9.0,3.0,-63182.0,26584.0,89766.0,52.0,1.0,0.0,3.0
0.0,0.0,13.0,1.0,11.7,0.0,0.0,2.8,15.2,90.0,7.0,0.0,0.0,0.0,1063.0,0.0,84.0,0.0,1241732.0,1.0,0.0,1.0,3.0,-42742.0,23213.0,65955.0,52.0,0.0,0.0,3.0
0.0,0.0,6.0,0.0,7.7,2.0,0.0,2.3,12.8,90.0,18.0,0.0,0.0,0.0,1063.0,0.0,85.0,0.0,1216088.0,2.0,0.0,2.0,1.0,-33043.0,42045.0,75088.0,51.0,1.0,1.0,1.0
0.0,0.0,14.0,0.0,10.0,1.0,0.0,7.2,21.6,90.0,3.0,0.0,0.0,0.0,1063.0,0.0,86.0,0.0,1135076.0,0.0,1.0,40.0,2.0,-78521.0,10198.0,88719.0,51.0,0.0,0.0,2.0
0.0,0.0,25.0,0.0,2.9,3.0,1.0,8.0,42.2,90.0,17.0,0.0,0.0,0.0,1063.0,0.0,87.0,0.0,1014679.0,3.0,2.0,35.0,7.0,-121962.0,6179.0,128141.0,50.0,1.0,0.0,7.0
0.0,0.0,14.0,0.0,3.7,1.0,0.0,2.1,8.0,90.0,1.0,0.0,0.0,0.0,1063.0,0.0,88.0,0.0,1015314.0,1.0,1.0,9.0,2.0,-5312.0,33496.0,38808.0,50.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,11.7,2.0,0.0,3.6,14.8,90.0,10.0,0.0,0.0,0.0,1063.0,0.0,89.0,0.0,1045838.0,2.0,0.0,9.0,1.0,23598.0,57575.0,33977.0,50.0,1.0,1.0,1.0
