assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,2.0,30.0,1.0,33.8,0.0,1.0,16.2,39.0,90.0,5.0,0.0,0.0,0.0,586.0,0.0,1.0,0.0,72960.0,1.0,0.0,89.0,8.0,0.0,0.0,0.0,65.0,0.0,0.0,8.0
0.0,0.0,5.0,0.0,11.3,2.0,0.0,4.9,5.0,90.0,6.0,0.0,0.0,0.0,586.0,0.0,2.0,0.0,120339.0,2.0,1.0,33.0,2.0,29297.0,35071.0,5774.0,65.0,1.0,0.0,2.0
0.0,0.0,-3.0,1.0,5.0,0.0,0.0,4.8,0.0,90.0,12.0,0.0,0.0,0.0,586.0,0.0,3.0,0.0,143954.0,0.0,0.0,46.0,2.0,17435.0,36458.0,19023.0,65.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.3,0.4,28.0,2.0,0.0,0.0,0.0,586.0,0.0,4.0,0.0,143184.0,0.0,1.0,2.0,1.0,-4120.0,20821.0,24941.0,65.0,0.0,0.0,1.0
1.0,1.0,40.0,0.0,23.4,2.0,1.0,10.0,55.2,86.0,20.0,0.0,0.0,0.0,586.0,0.0,5.0,0.0,120826.0,2.0,4.0,21.0,10.0,-23125.0,3815.0,26940.0,65.0,1.0,0.0,10.0
0.0,2.0,24.0,0.0,15.2,1.0,1.0,7.6,35.4,90.0,14.0,0.0,0.0,0.0,586.0,0.0,6.0,0.0,181482.0,1.0,1.0,25.0,8.0,56170.0,70393.0,14223.0,66.0,0.0,0.0,8.0
0.0,0.0,-4.0,0.0,12.8,1.0,0.0,7.7,0.0,90.0,15.0,0.0,0.0,0.0,586.0,0.0,7.0,0.0,240610.0,1.0,1.0,64.0,2.0,54002.0,66396.0,12394.0,66.0,0.0,0.0,2.0
0.0,0.0,1.0,0.0,5.7,1.0,0.0,5.7,8.0,90.0,17.0,0.0,0.0,0.0,586.0,0.0,8.0,0.0,241488.0,1.0,1.0,43.0,2.0,-3324.0,26566.0,29890.0,67.0,1.0,0.0,2.0
0.0,0.0,3.0,0.0,5.1,2.0,0.0,2.8,0.4,90.0,9.0,0.0,0.0,0.0,586.0,0.0,9.0,0.0,223052.0,1.0,2.0,22.0,2.0,-20044.0,8402.0,28446.0,67.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,21.3,4.0,0.0,3.3,0.2,90.0,10.0,0.0,0.0,0.0,586.0,0.0,10.0,0.0,207014.0,4.0,0.0,11.0,2.0,-16919.0,5838.0,22757.0,66.0,1.0,0.0,2.0
0.0,0.0,3.0,0.0,16.9,1.0,0.0,7.0,4.4,90.0,8.0,0.0,0.0,0.0,586.0,0.0,11.0,0.0,192045.0,2.0,1.0,49.0,2.0,-15750.0,8351.0,24101.0,66.0,0.0,0.0,2.0
1.0,0.0,32.0,1.0,16.1,0.0,1.0,9.5,48.2,78.0,3.0,0.0,0.0,0.0,586.0,0.0,12.0,0.0,190093.0,0.0,4.0,31.0,9.0,-2766.0,19063.0,21829.0,65.0,1.0,0.0,9.0
0.0,0.0,6.0,0.0,28.1,1.0,0.0,5.0,5.4,90.0,7.0,0.0,0.0,0.0,586.0,0.0,13.0,0.0,248174.0,1.0,1.0,16.0,2.0,56471.0,62839.0,6368.0,66.0,0.0,0.0,2.0
0.0,0.0,1.0,0.0,3.6,1.0,0.0,1.8,0.0,87.0,18.0,0.0,0.0,0.0,586.0,0.0,14.0,0.0,219938.0,1.0,3.0,16.0,2.0,-28830.0,8533.0,37363.0,66.0,1.0,0.0,2.0
