assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,5.0,0.0,17.3,1.0,0.0,4.7,6.8,90.0,16.0,0.0,0.0,0.0,594.0,0.0,1.0,0.0,16321.0,1.0,0.0,23.0,2.0,0.0,0.0,0.0,60.0,1.0,0.0,2.0
0.0,3.0,31.0,1.0,2.3,0.0,1.0,4.7,35.8,81.0,9.0,0.0,0.0,0.0,594.0,0.0,2.0,0.0,16298.0,0.0,2.0,9.0,9.0,-1383.0,603.0,1986.0,60.0,1.0,0.0,9.0
0.0,0.0,4.0,0.0,3.8,3.0,0.0,2.9,0.8,90.0,4.0,0.0,0.0,0.0,594.0,0.0,3.0,0.0,29138.0,0.0,3.0,24.0,2.0,8846.0,11673.0,2827.0,60.0,0.0,0.0,2.0
0.0,0.0,6.0,0.0,22.2,1.0,0.0,3.4,6.6,90.0,7.0,0.0,0.0,0.0,594.0,0.0,4.0,0.0,40348.0,1.0,1.0,5.0,2.0,8664.0,13967.0,5303.0,60.0,1.0,0.0,2.0
0.0,0.0,1.0,0.0,1.8,1.0,0.0,0.7,0.0,27.0,8.0,0.0,0.0,0.0,594.0,0.0,5.0,0.0,41665.0,0.0,3.0,9.0,1.0,221.0,6039.0,5818.0,60.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,2.2,0.0,0.0,6.6,8.0,90.0,18.0,0.0,0.0,0.0,594.0,0.0,6.0,0.0,39978.0,0.0,2.0,56.0,2.0,-2337.0,5728.0,8065.0,60.0,1.0,0.0,2.0
0.0,0.0,-7.0,0.0,5.6,1.0,0.0,2.9,1.6,90.0,1.0,0.0,0.0,0.0,594.0,0.0,7.0,0.0,36312.0,1.0,0.0,22.0,2.0,-3967.0,2003.0,5970.0,60.0,1.0,0.0,2.0
0.0,0.0,31.0,0.0,11.1,3.0,1.0,7.9,40.8,90.0,13.0,0.0,0.0,0.0,594.0,0.0,8.0,0.0,35323.0,1.0,3.0,27.0,6.0,-1574.0,3019.0,4593.0,60.0,0.0,0.0,6.0
0.0,1.0,28.0,0.0,11.2,1.0,1.0,9.9,39.4,88.0,6.0,0.0,0.0,0.0,594.0,0.0,9.0,0.0,43159.0,1.0,2.0,48.0,7.0,7111.0,9671.0,2560.0,60.0,1.0,0.0,7.0
0.0,0.0,6.0,1.0,1.6,0.0,0.0,2.1,8.2,90.0,11.0,0.0,0.0,0.0,594.0,0.0,10.0,0.0,59147.0,0.0,0.0,11.0,2.0,14550.0,17384.0,2834.0,60.0,0.0,0.0,2.0
1.0,2.0,34.0,0.0,23.7,2.0,1.0,17.6,54.2,90.0,5.0,0.0,0.0,0.0,594.0,0.0,11.0,0.0,80410.0,2.0,3.0,98.0,11.0,19704.0,25711.0,6007.0,61.0,1.0,0.0,11.0
0.0,0.0,7.0,0.0,15.8,4.0,0.0,2.7,1.2,69.0,19.0,0.0,0.0,0.0,594.0,0.0,12.0,0.0,165903.0,0.0,4.0,10.0,2.0,78383.0,85933.0,7550.0,62.0,0.0,0.0,2.0
0.0,0.0,2.0,0.0,2.5,2.0,0.0,2.5,5.6,90.0,10.0,0.0,0.0,0.0,594.0,0.0,13.0,0.0,158991.0,2.0,1.0,17.0,2.0,-7953.0,10908.0,18861.0,62.0,1.0,0.0,2.0
0.0,0.0,3.0,0.0,0.5,0.0,0.0,0.7,0.0,14.0,14.0,0.0,0.0,0.0,594.0,0.0,14.0,0.0,145572.0,0.0,2.0,6.0,1.0,-13919.0,6126.0,20045.0,62.0,0.0,0.0,1.0
0.0,0.0,4.0,0.0,11.3,1.0,0.0,5.5,11.4,54.0,2.0,0.0,0.0,0.0,594.0,0.0,15.0,0.0,140423.0,2.0,3.0,32.0,1.0,-5751.0,15118.0,20869.0,61.0,1.0,0.0,1.0
0.0,0.0,4.0,0.0,13.1,1.0,0.0,3.6,0.0,90.0,20.0,0.0,0.0,0.0,594.0,0.0,16.0,0.0,125942.0,0.0,1.0,24.0,2.0,-14767.0,5183.0,19950.0,60.0,0.0,0.0,2.0
0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,0.2,11.0,17.0,0.0,0.0,0.0,594.0,0.0,17.0,0.0,114328.0,1.0,2.0,0.0,1.0,-11964.0,4943.0,16907.0,59.0,0.0,0.0,1.0
1.0,0.0,14.0,0.0,10.6,0.0,0.0,3.0,17.4,25.0,12.0,0.0,0.0,0.0,594.0,0.0,18.0,0.0,118526.0,0.0,1.0,2.0,4.0,3354.0,16879.0,13525.0,59.0,1.0,0.0,4.0
0.0,0.0,2.0,0.0,10.3,0.0,0.0,1.7,4.2,13.0,15.0,0.0,0.0,0.0,594.0,0.0,19.0,0.0,123438.0,1.0,4.0,2.0,1.0,4267.0,12745.0,8478.0,59.0,1.0,0.0,1.0
1.0,0.0,11.0,0.0,2.3,0.0,0.0,5.1,0.0,22.0,10.0,0.0,0.0,0.0,594.0,0.0,20.0,0.0,108673.0,1.0,2.0,50.0,4.0,-15053.0,5606.0,20659.0,59.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.7,0.0,17.0,13.0,0.0,0.0,0.0,594.0,0.0,21.0,0.0,109118.0,0.0,1.0,19.0,1.0,-611.0,17856.0,18467.0,59.0,1.0,0.0,1.0
0.0,0.0,4.0,0.0,10.5,1.0,0.0,1.7,4.4,14.0,1.0,0.0,0.0,0.0,594.0,0.0,22.0,0.0,100902.0,1.0,2.0,2.0,1.0,-8635.0,5999.0,14634.0,58.0,0.0,0.0,1.0
0.0,1.0,29.0,0.0,0.6,0.0,1.0,6.9,31.2,12.0,8.0,0.0,0.0,0.0,594.0,0.0,23.0,0.0,96348.0,0.0,1.0,37.0,6.0,-5052.0,6269.0,11321.0,58.0,1.0,0.0,6.0
0.0,0.0,2.0,0.0,0.3,0.0,0.0,0.1,0.0,5.0,18.0,0.0,0.0,0.0,594.0,0.0,24.0,0.0,101250.0,1.0,2.0,2.0,1.0,4602.0,9201.0,4599.0,58.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0,0.3,0.0,0.0,0.4,1.2,9.0,4.0,0.0,0.0,0.0,594.0,0.0,25.0,0.0,92528.0,1.0,1.0,2.0,1.0,-9029.0,3676.0,12705.0,57.0,1.0,0.0,1.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4,4.0,6.0,7.0,0.0,0.0,0.0,594.0,0.0,26.0,0.0,95865.0,1.0,1.0,0.0,1.0,2760.0,9290.0,6530.0,57.0,0.0,0.0,1.0
1.0,0.0,19.0,0.0,14.3,2.0,0.0,4.4,27.0,79.0,16.0,0.0,0.0,0.0,594.0,0.0,27.0,0.0,92974.0,2.0,3.0,3.0,5.0,-3107.0,5139.0,8246.0,57.0,0.0,0.0,5.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6,0.0,11.0,9.0,0.0,0.0,0.0,594.0,0.0,28.0,0.0,94294.0,1.0,2.0,6.0,1.0,1104.0,4774.0,3670.0,57.0,0.0,0.0,1.0
0.0,0.0,4.0,0.0,0.3,0.0,0.0,3.5,7.6,26.0,15.0,0.0,0.0,0.0,594.0,0.0,29.0,0.0,92496.0,0.0,0.0,27.0,1.0,-1951.0,3517.0,5468.0,57.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,10.6,2.0,0.0,2.7,5.2,35.0,17.0,0.0,0.0,0.0,594.0,0.0,30.0,0.0,89310.0,2.0,0.0,11.0,1.0,-3407.0,2549.0,5956.0,57.0,1.0,0.0,1.0
0.0,0.0,9.0,1.0,4.0,0.0,0.0,2.3,7.2,84.0,14.0,0.0,0.0,0.0,594.0,0.0,31.0,0.0,90265.0,0.0,1.0,12.0,2.0,877.0,3550.0,2673.0,57.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.3,0.0,0.0,2.7,2.0,29.0,12.0,0.0,0.0,0.0,594.0,0.0,32.0,0.0,90237.0,0.0,0.0,25.0,1.0,-121.0,3510.0,3631.0,57.0,0.0,0.0,1.0
0.0,0.0,28.0,0.0,5.7,2.0,1.0,10.6,39.4,73.0,6.0,0.0,0.0,0.0,594.0,0.0,33.0,0.0,87156.0,1.0,3.0,61.0,6.0,-3217.0,2019.0,5236.0,57.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,594.0,0.0,34.0,0.0,79639.0,2.0,0.0,0.0,0.0,-7589.0,1081.0,8670.0,56.0,1.0,0.0,0.0
0.0,0.0,4.0,1.0,3.5,0.0,0.0,9.0,3.8,90.0,5.0,0.0,0.0,0.0,594.0,0.0,35.0,0.0,75350.0,2.0,0.0,83.0,2.0,-4329.0,373.0,4702.0,56.0,0.0,0.0,2.0
0.0,3.0,49.0,0.0,14.7,2.0,2.0,14.8,65.4,90.0,19.0,0.0,0.0,0.0,594.0,0.0,36.0,0.0,79395.0,2.0,2.0,68.0,13.0,3946.0,5468.0,1522.0,56.0,1.0,0.0,13.0
