assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1062.0,0.0,109.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1062.0,0.0,110.0,0.0,131.0,3.0,1.0,0.0,0.0,91.0,128.0,37.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1062.0,0.0,111.0,0.0,360.0,3.0,2.0,0.0,0.0,144.0,198.0,54.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1062.0,0.0,112.0,0.0,462.0,0.0,0.0,0.0,0.0,98.0,157.0,59.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1062.0,0.0,113.0,0.0,598.0,3.0,2.0,0.0,0.0,78.0,150.0,72.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1062.0,0.0,114.0,0.0,811.0,3.0,5.0,0.0,0.0,142.0,218.0,76.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1062.0,0.0,131.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1062.0,0.0,132.0,0.0,998.0,0.0,1.0,0.0,0.0,468.0,530.0,62.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1062.0,0.0,133.0,0.0,1581.0,1.0,2.0,0.0,0.0,477.0,645.0,168.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1062.0,0.0,134.0,0.0,1977.0,1.0,1.0,0.0,0.0,203.0,419.0,216.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1062.0,0.0,135.0,0.0,2498.0,1.0,1.0,0.0,0.0,216.0,614.0,398.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1062.0,0.0,136.0,0.0,3092.0,1.0,1.0,0.0,0.0,200.0,575.0,375.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1062.0,0.0,137.0,0.0,3610.0,2.0,2.0,0.0,0.0,205.0,572.0,367.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1062.0,0.0,138.0,0.0,4087.0,2.0,0.0,0.0,0.0,191.0,488.0,297.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1062.0,0.0,139.0,0.0,3523.0,1.0,0.0,0.0,0.0,-531.0,215.0,746.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1062.0,0.0,140.0,0.0,3283.0,1.0,3.0,0.0,0.0,-272.0,81.0,353.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1062.0,0.0,141.0,0.0,3071.0,0.0,1.0,0.0,0.0,-221.0,39.0,260.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1062.0,0.0,142.0,0.0,2945.0,1.0,0.0,0.0,0.0,-139.0,23.0,162.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1062.0,0.0,143.0,0.0,2873.0,0.0,1.0,0.0,0.0,-86.0,45.0,131.0,40.0,1.0,0.0,0.0
