assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1251.0,0.0,126.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1251.0,0.0,127.0,0.0,1317.0,1.0,2.0,0.0,0.0,856.0,940.0,84.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1251.0,0.0,128.0,0.0,1946.0,2.0,2.0,0.0,0.0,528.0,697.0,169.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1251.0,0.0,129.0,0.0,1966.0,4.0,1.0,0.0,0.0,35.0,187.0,152.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1251.0,0.0,130.0,0.0,2248.0,2.0,1.0,0.0,0.0,162.0,268.0,106.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1251.0,0.0,131.0,0.0,2895.0,3.0,0.0,0.0,0.0,383.0,547.0,164.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1251.0,0.0,132.0,0.0,3561.0,1.0,3.0,0.0,0.0,234.0,495.0,261.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1251.0,0.0,133.0,0.0,3732.0,2.0,3.0,0.0,0.0,207.0,360.0,153.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1251.0,0.0,134.0,0.0,4259.0,0.0,2.0,0.0,0.0,367.0,497.0,130.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1251.0,0.0,135.0,0.0,4925.0,1.0,2.0,0.0,0.0,535.0,836.0,301.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1251.0,0.0,136.0,0.0,5657.0,6.0,1.0,0.0,0.0,504.0,892.0,388.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1251.0,0.0,137.0,0.0,5819.0,2.0,2.0,0.0,0.0,60.0,483.0,423.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1251.0,0.0,138.0,0.0,5940.0,1.0,0.0,0.0,0.0,-20.0,245.0,265.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1251.0,0.0,139.0,0.0,5845.0,0.0,2.0,0.0,0.0,-77.0,256.0,333.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1251.0,0.0,140.0,0.0,5885.0,0.0,2.0,0.0,0.0,-44.0,171.0,215.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1251.0,0.0,141.0,0.0,5927.0,1.0,0.0,0.0,0.0,-35.0,148.0,183.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1251.0,0.0,143.0,0.0,5755.0,0.0,2.0,0.0,0.0,-114.0,114.0,228.0,40.0,0.0,0.0,0.0
