assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
1.0,1.0,35.0,0.0,15.6,3.0,0.0,7.9,40.2,90.0,9.0,0.0,0.0,0.0,873.0,0.0,39.0,0.0,467980.0,3.0,4.0,23.0,5.0,0.0,0.0,0.0,60.0,1.0,0.0,5.0
0.0,0.0,11.0,0.0,12.6,1.0,0.0,2.1,6.4,65.0,15.0,0.0,0.0,0.0,873.0,0.0,40.0,0.0,619774.0,0.0,1.0,2.0,2.0,46546.0,63822.0,17276.0,60.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,873.0,0.0,41.0,0.0,573375.0,0.0,4.0,0.0,0.0,-62359.0,12045.0,74404.0,60.0,0.0,0.0,0.0
1.0,2.0,40.0,1.0,28.3,0.0,0.0,8.2,32.0,90.0,2.0,0.0,0.0,0.0,873.0,0.0,42.0,0.0,511672.0,0.0,3.0,22.0,11.0,-69798.0,11766.0,81564.0,60.0,1.0,0.0,11.0
0.0,0.0,24.0,1.0,5.3,0.0,0.0,3.3,18.6,90.0,5.0,0.0,0.0,0.0,873.0,0.0,43.0,0.0,531661.0,0.0,0.0,9.0,5.0,10082.0,34120.0,24038.0,60.0,0.0,1.0,5.0
0.0,0.0,23.0,1.0,5.8,0.0,0.0,2.5,15.0,90.0,19.0,0.0,0.0,0.0,873.0,0.0,44.0,0.0,613555.0,0.0,2.0,4.0,6.0,69832.0,92264.0,22432.0,60.0,1.0,0.0,6.0
0.0,0.0,29.0,1.0,36.3,0.0,0.0,7.6,15.2,90.0,3.0,0.0,0.0,0.0,873.0,0.0,45.0,0.0,678373.0,0.0,2.0,24.0,6.0,54905.0,80415.0,25510.0,60.0,1.0,0.0,6.0
0.0,0.0,9.0,0.0,3.7,2.0,0.0,1.6,6.0,90.0,18.0,0.0,0.0,0.0,873.0,0.0,46.0,0.0,613139.0,1.0,2.0,6.0,1.0,-70369.0,16751.0,87120.0,60.0,0.0,0.0,1.0
0.0,0.0,9.0,0.0,7.0,2.0,0.0,6.1,6.0,90.0,7.0,0.0,0.0,0.0,873.0,0.0,47.0,0.0,598327.0,5.0,2.0,48.0,1.0,-16764.0,11739.0,28503.0,60.0,0.0,0.0,1.0
1.0,3.0,40.0,0.0,33.8,1.0,1.0,12.1,56.2,77.0,16.0,0.0,0.0,0.0,873.0,0.0,48.0,0.0,587466.0,1.0,2.0,31.0,14.0,-13485.0,19964.0,33449.0,60.0,1.0,0.0,14.0
