assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,599.0,0.0,1.0,0.0,110643.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,599.0,0.0,2.0,0.0,74720.0,2.0,1.0,0.0,0.0,-37328.0,147.0,37475.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,599.0,0.0,3.0,0.0,55738.0,0.0,1.0,0.0,0.0,-19504.0,149.0,19653.0,54.0,1.0,0.0,0.0
0.0,0.0,26.0,1.0,16.3,0.0,0.0,3.3,12.6,90.0,15.0,0.0,0.0,0.0,599.0,0.0,4.0,0.0,52247.0,3.0,0.0,4.0,6.0,-4353.0,2649.0,7002.0,54.0,0.0,0.0,6.0
0.0,2.0,36.0,0.0,6.2,1.0,1.0,8.6,62.6,90.0,12.0,0.0,0.0,0.0,599.0,0.0,5.0,0.0,57288.0,1.0,3.0,17.0,10.0,4042.0,5417.0,1375.0,54.0,1.0,0.0,10.0
0.0,2.0,29.0,0.0,15.9,1.0,0.0,4.4,28.0,90.0,2.0,0.0,0.0,0.0,599.0,0.0,6.0,0.0,127056.0,0.0,1.0,0.0,4.0,62401.0,67728.0,5327.0,54.0,0.0,0.0,4.0
0.0,0.0,4.0,0.0,1.7,1.0,0.0,2.6,9.6,90.0,5.0,0.0,0.0,0.0,599.0,0.0,7.0,0.0,182039.0,1.0,1.0,15.0,2.0,47799.0,53085.0,5286.0,55.0,1.0,0.0,2.0
0.0,0.0,8.0,0.0,0.7,1.0,0.0,1.0,8.8,90.0,10.0,0.0,0.0,0.0,599.0,0.0,8.0,0.0,190633.0,1.0,1.0,0.0,1.0,2449.0,13862.0,11413.0,55.0,0.0,1.0,1.0
0.0,0.0,10.0,0.0,4.3,2.0,0.0,1.8,9.2,90.0,3.0,0.0,0.0,0.0,599.0,0.0,9.0,0.0,203013.0,1.0,2.0,4.0,0.0,10593.0,16067.0,5474.0,55.0,0.0,1.0,0.0
0.0,0.0,26.0,1.0,4.7,0.0,0.0,4.3,17.4,90.0,20.0,0.0,0.0,0.0,599.0,0.0,10.0,0.0,194061.0,0.0,2.0,21.0,6.0,-9709.0,3823.0,13532.0,55.0,1.0,0.0,6.0
0.0,0.0,18.0,0.0,2.9,5.0,0.0,3.8,35.0,90.0,4.0,0.0,0.0,0.0,599.0,0.0,11.0,0.0,191480.0,0.0,5.0,0.0,0.0,-3752.0,6126.0,9878.0,55.0,0.0,0.0,0.0
0.0,1.0,21.0,0.0,17.1,1.0,1.0,8.6,46.2,90.0,16.0,0.0,0.0,0.0,599.0,0.0,12.0,0.0,192825.0,1.0,1.0,23.0,9.0,-96.0,9582.0,9678.0,55.0,1.0,0.0,9.0
0.0,0.0,17.0,0.0,27.2,1.0,0.0,6.3,15.6,90.0,13.0,0.0,0.0,0.0,599.0,0.0,13.0,0.0,207091.0,0.0,1.0,20.0,2.0,11453.0,15663.0,4210.0,55.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,0.3,1.0,0.0,1.6,15.6,66.0,11.0,0.0,0.0,0.0,599.0,0.0,14.0,0.0,204964.0,1.0,1.0,0.0,2.0,-3399.0,4494.0,7893.0,55.0,1.0,0.0,2.0
0.0,0.0,5.0,0.0,1.6,3.0,0.0,1.3,7.6,90.0,18.0,0.0,0.0,0.0,599.0,0.0,15.0,0.0,186662.0,2.0,3.0,4.0,1.0,-18985.0,1877.0,20862.0,55.0,0.0,0.0,1.0
0.0,0.0,20.0,0.0,1.2,1.0,1.0,6.5,41.2,90.0,1.0,0.0,0.0,0.0,599.0,0.0,16.0,0.0,177632.0,1.0,2.0,23.0,8.0,-9588.0,1610.0,11198.0,55.0,1.0,0.0,8.0
0.0,0.0,14.0,0.0,10.4,1.0,0.0,3.3,22.2,90.0,9.0,0.0,0.0,0.0,599.0,0.0,17.0,0.0,185513.0,1.0,0.0,0.0,1.0,6551.0,9325.0,2774.0,55.0,1.0,1.0,1.0
0.0,0.0,16.0,1.0,4.2,0.0,0.0,1.5,0.8,90.0,8.0,0.0,0.0,0.0,599.0,0.0,18.0,0.0,188875.0,2.0,0.0,10.0,6.0,1788.0,6938.0,5150.0,55.0,0.0,0.0,6.0
0.0,0.0,17.0,0.0,27.3,2.0,0.0,5.6,20.6,90.0,7.0,0.0,0.0,0.0,599.0,0.0,19.0,0.0,205041.0,2.0,2.0,8.0,1.0,14765.0,17623.0,2858.0,55.0,0.0,0.0,1.0
0.0,0.0,22.0,1.0,18.2,0.0,0.0,5.2,15.8,90.0,13.0,0.0,0.0,0.0,599.0,0.0,20.0,0.0,204671.0,0.0,3.0,18.0,6.0,-1125.0,9800.0,10925.0,55.0,1.0,0.0,6.0
1.0,3.0,34.0,1.0,11.3,0.0,0.0,3.7,25.4,90.0,10.0,0.0,0.0,0.0,599.0,0.0,21.0,0.0,195977.0,0.0,4.0,0.0,12.0,-10294.0,7043.0,17337.0,55.0,1.0,0.0,12.0
