assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,600.0,0.0,1.0,0.0,936.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,600.0,0.0,2.0,0.0,763.0,2.0,1.0,0.0,0.0,-209.0,8.0,217.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,600.0,0.0,3.0,0.0,618.0,1.0,1.0,0.0,0.0,-163.0,13.0,176.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,600.0,0.0,4.0,0.0,539.0,3.0,0.0,0.0,0.0,-95.0,17.0,112.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,600.0,0.0,5.0,0.0,492.0,0.0,1.0,0.0,0.0,-55.0,8.0,63.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,600.0,0.0,6.0,0.0,462.0,3.0,2.0,0.0,0.0,-39.0,6.0,45.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,600.0,0.0,7.0,0.0,443.0,1.0,1.0,0.0,0.0,-27.0,11.0,38.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,600.0,0.0,8.0,0.0,433.0,0.0,2.0,0.0,0.0,-25.0,22.0,47.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,600.0,0.0,9.0,0.0,419.0,0.0,1.0,0.0,0.0,-21.0,12.0,33.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,600.0,0.0,10.0,0.0,414.0,4.0,1.0,0.0,0.0,-10.0,14.0,24.0,48.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,600.0,0.0,11.0,0.0,412.0,2.0,1.0,0.0,0.0,-7.0,9.0,16.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,600.0,0.0,12.0,0.0,432.0,0.0,3.0,0.0,0.0,-2.0,16.0,18.0,47.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,600.0,0.0,13.0,0.0,434.0,0.0,2.0,0.0,0.0,-3.0,11.0,14.0,47.0,0.0,0.0,0.0
