assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,873.0,0.0,42.0,0.0,13572.0,3.0,0.0,0.0,0.0,10966.0,14824.0,3858.0,60.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.3,0.0,0.0,1.6,2.6,27.0,16.0,0.0,0.0,0.0,873.0,0.0,43.0,0.0,16337.0,0.0,0.0,6.0,1.0,1282.0,4478.0,3196.0,60.0,1.0,0.0,1.0
0.0,0.0,2.0,0.0,2.3,2.0,0.0,1.8,13.4,69.0,20.0,0.0,0.0,0.0,873.0,1.0,44.0,0.0,17154.0,3.0,2.0,2.0,-2.0,-357.0,3270.0,3627.0,60.0,0.0,0.0,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,873.0,0.0,45.0,0.0,9339.0,4.0,0.0,0.0,0.0,-7904.0,350.0,8254.0,59.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,873.0,0.0,46.0,0.0,9300.0,0.0,1.0,0.0,0.0,-530.0,756.0,1286.0,59.0,1.0,0.0,0.0
0.0,0.0,8.0,0.0,1.6,1.0,0.0,1.9,17.4,90.0,10.0,0.0,0.0,0.0,873.0,0.0,47.0,0.0,10154.0,1.0,4.0,0.0,2.0,517.0,1503.0,986.0,59.0,1.0,0.0,2.0
0.0,0.0,4.0,0.0,7.8,1.0,0.0,5.8,9.8,90.0,12.0,0.0,0.0,0.0,873.0,0.0,48.0,0.0,11836.0,0.0,1.0,40.0,2.0,1029.0,2168.0,1139.0,59.0,0.0,0.0,2.0
0.0,0.0,22.0,1.0,29.8,0.0,0.0,5.3,21.4,90.0,6.0,0.0,0.0,0.0,873.0,0.0,49.0,0.0,17808.0,0.0,1.0,2.0,6.0,5075.0,6447.0,1372.0,59.0,1.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,873.0,0.0,50.0,0.0,22199.0,0.0,2.0,0.0,0.0,3290.0,5542.0,2252.0,59.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,873.0,0.0,51.0,0.0,20861.0,1.0,1.0,0.0,0.0,-1786.0,1660.0,3446.0,59.0,1.0,0.0,0.0
0.0,0.0,17.0,0.0,19.2,2.0,0.0,4.4,16.8,90.0,9.0,0.0,0.0,0.0,873.0,0.0,52.0,0.0,18377.0,1.0,2.0,8.0,1.0,-2767.0,772.0,3539.0,59.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,873.0,0.0,53.0,0.0,17777.0,1.0,1.0,0.0,0.0,-913.0,1002.0,1915.0,59.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,873.0,0.0,54.0,0.0,17321.0,1.0,5.0,0.0,0.0,-923.0,1243.0,2166.0,59.0,1.0,0.0,0.0
0.0,3.0,39.0,1.0,4.9,0.0,1.0,7.2,46.2,90.0,3.0,0.0,0.0,0.0,873.0,0.0,55.0,0.0,16825.0,0.0,2.0,21.0,15.0,-762.0,963.0,1725.0,59.0,1.0,0.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,873.0,0.0,56.0,0.0,19415.0,1.0,4.0,0.0,0.0,2045.0,3110.0,1065.0,59.0,0.0,0.0,0.0
0.0,2.0,35.0,1.0,23.5,0.0,0.0,4.4,18.6,90.0,4.0,0.0,0.0,0.0,873.0,0.0,57.0,0.0,20902.0,3.0,0.0,2.0,8.0,873.0,3015.0,2142.0,59.0,0.0,0.0,8.0
0.0,0.0,10.0,0.0,6.8,2.0,0.0,4.7,18.6,90.0,14.0,0.0,0.0,0.0,873.0,0.0,58.0,0.0,27690.0,2.0,5.0,22.0,1.0,6141.0,7355.0,1214.0,59.0,1.0,0.0,1.0
