assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,877.0,0.0,39.0,0.0,9725.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,877.0,0.0,40.0,0.0,9672.0,0.0,1.0,0.0,0.0,-1554.0,256.0,1810.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,877.0,0.0,41.0,0.0,8279.0,0.0,3.0,0.0,0.0,-1741.0,182.0,1923.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,877.0,0.0,42.0,0.0,5881.0,1.0,0.0,0.0,0.0,-2480.0,61.0,2541.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,877.0,0.0,43.0,0.0,4791.0,1.0,2.0,0.0,0.0,-1095.0,2.0,1097.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,877.0,0.0,44.0,0.0,4036.0,0.0,1.0,0.0,0.0,-759.0,1.0,760.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,877.0,0.0,45.0,0.0,3614.0,1.0,1.0,0.0,0.0,-426.0,0.0,426.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,877.0,0.0,46.0,0.0,3312.0,2.0,2.0,0.0,0.0,-304.0,4.0,308.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,877.0,0.0,47.0,0.0,3201.0,0.0,1.0,0.0,0.0,-114.0,1.0,115.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,877.0,0.0,48.0,0.0,3063.0,0.0,1.0,0.0,0.0,-138.0,2.0,140.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,877.0,0.0,49.0,0.0,2979.0,1.0,0.0,0.0,0.0,-85.0,1.0,86.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,877.0,0.0,50.0,0.0,2906.0,1.0,4.0,0.0,0.0,-74.0,0.0,74.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,877.0,0.0,51.0,0.0,2863.0,3.0,0.0,0.0,0.0,-46.0,1.0,47.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,877.0,0.0,52.0,0.0,2824.0,2.0,2.0,0.0,0.0,-39.0,1.0,40.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,877.0,0.0,53.0,0.0,2785.0,1.0,3.0,0.0,0.0,-39.0,3.0,42.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,877.0,0.0,54.0,0.0,2736.0,3.0,2.0,0.0,0.0,-49.0,1.0,50.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,877.0,0.0,55.0,0.0,2720.0,1.0,0.0,0.0,0.0,-16.0,0.0,16.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,877.0,0.0,56.0,0.0,2696.0,0.0,1.0,0.0,0.0,-24.0,0.0,24.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,877.0,0.0,57.0,0.0,2673.0,3.0,2.0,0.0,0.0,-24.0,1.0,25.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,877.0,0.0,58.0,0.0,2648.0,1.0,0.0,0.0,0.0,-25.0,0.0,25.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,877.0,0.0,59.0,0.0,2616.0,0.0,0.0,0.0,0.0,-32.0,1.0,33.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,877.0,0.0,60.0,0.0,2605.0,1.0,0.0,0.0,0.0,-12.0,2.0,14.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,877.0,0.0,61.0,0.0,2569.0,1.0,1.0,0.0,0.0,-36.0,1.0,37.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,877.0,0.0,62.0,0.0,2548.0,1.0,3.0,0.0,0.0,-22.0,0.0,22.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,877.0,0.0,63.0,0.0,2528.0,1.0,1.0,0.0,0.0,-20.0,0.0,20.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,877.0,0.0,64.0,0.0,2514.0,1.0,1.0,0.0,0.0,-14.0,1.0,15.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,877.0,0.0,65.0,0.0,2504.0,0.0,1.0,0.0,0.0,-10.0,3.0,13.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,877.0,0.0,66.0,0.0,2491.0,2.0,2.0,0.0,0.0,-14.0,0.0,14.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,877.0,0.0,67.0,0.0,2487.0,0.0,2.0,0.0,0.0,-5.0,0.0,5.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,877.0,0.0,68.0,0.0,3029.0,0.0,3.0,0.0,0.0,-5.0,0.0,5.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,877.0,0.0,70.0,0.0,3020.0,0.0,1.0,0.0,0.0,-5.0,2.0,7.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,877.0,0.0,71.0,0.0,3016.0,2.0,1.0,0.0,0.0,-5.0,0.0,5.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,877.0,0.0,72.0,0.0,3009.0,1.0,2.0,0.0,0.0,-8.0,0.0,8.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,877.0,0.0,73.0,0.0,3008.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,877.0,0.0,74.0,0.0,3003.0,1.0,0.0,0.0,0.0,-4.0,1.0,5.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,877.0,0.0,75.0,0.0,3003.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,877.0,0.0,76.0,0.0,3001.0,0.0,3.0,0.0,0.0,-2.0,1.0,3.0,49.0,1.0,0.0,0.0
