assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,615.0,0.0,1.0,0.0,149835.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,615.0,0.0,2.0,0.0,120951.0,0.0,1.0,0.0,0.0,-33386.0,2729.0,36115.0,55.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,615.0,0.0,3.0,0.0,79207.0,1.0,3.0,0.0,0.0,-42043.0,734.0,42777.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,615.0,0.0,4.0,0.0,59891.0,4.0,2.0,0.0,0.0,-19601.0,1920.0,21521.0,54.0,1.0,0.0,0.0
0.0,0.0,5.0,0.0,28.0,1.0,0.0,4.2,8.2,45.0,19.0,0.0,0.0,0.0,615.0,0.0,5.0,0.0,50514.0,2.0,4.0,6.0,0.0,-9565.0,303.0,9868.0,54.0,0.0,1.0,0.0
0.0,0.0,4.0,0.0,23.2,2.0,0.0,4.7,6.0,45.0,13.0,0.0,0.0,0.0,615.0,0.0,6.0,0.0,42081.0,3.0,0.0,18.0,1.0,-8567.0,325.0,8892.0,53.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,615.0,0.0,7.0,0.0,38659.0,1.0,1.0,0.0,0.0,-3513.0,232.0,3745.0,53.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,615.0,0.0,8.0,0.0,35444.0,1.0,0.0,0.0,0.0,-3321.0,94.0,3415.0,52.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,6.0,0.0,0.0,1.2,4.4,28.0,15.0,0.0,0.0,0.0,615.0,0.0,9.0,0.0,33020.0,0.0,1.0,2.0,1.0,-2473.0,64.0,2537.0,52.0,1.0,0.0,1.0
0.0,0.0,2.0,0.0,0.6,0.0,0.0,0.5,0.2,13.0,6.0,0.0,0.0,0.0,615.0,0.0,10.0,0.0,31720.0,0.0,2.0,4.0,1.0,-1332.0,53.0,1385.0,51.0,0.0,0.0,1.0
