assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,13.0,0.0,10.3,2.0,0.0,2.7,16.6,90.0,13.0,0.0,0.0,0.0,1066.0,0.0,77.0,0.0,122791.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,1.0,0.0
0.0,0.0,13.0,0.0,0.2,3.0,0.0,2.2,22.0,90.0,6.0,0.0,0.0,0.0,1066.0,0.0,78.0,0.0,120917.0,2.0,3.0,0.0,1.0,-15695.0,2039.0,17734.0,55.0,0.0,0.0,1.0
0.0,0.0,10.0,0.0,0.2,1.0,0.0,1.8,17.8,90.0,19.0,0.0,0.0,0.0,1066.0,0.0,79.0,0.0,109545.0,1.0,3.0,0.0,1.0,-15011.0,3385.0,18396.0,54.0,1.0,1.0,1.0
0.0,0.0,12.0,0.0,0.8,2.0,0.0,1.4,10.8,90.0,5.0,0.0,0.0,0.0,1066.0,0.0,80.0,0.0,100104.0,3.0,2.0,2.0,1.0,-11689.0,1864.0,13553.0,54.0,0.0,0.0,1.0
0.0,0.0,13.0,0.0,0.4,1.0,0.0,2.4,19.6,90.0,15.0,0.0,0.0,0.0,1066.0,0.0,81.0,0.0,91179.0,2.0,1.0,4.0,2.0,-10449.0,1090.0,11539.0,53.0,0.0,0.0,2.0
0.0,0.0,-1.0,0.0,0.2,0.0,0.0,0.6,5.4,38.0,8.0,0.0,0.0,0.0,1066.0,0.0,82.0,0.0,88907.0,0.0,2.0,0.0,0.0,-3610.0,1485.0,5095.0,53.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1066.0,0.0,83.0,0.0,80910.0,0.0,2.0,0.0,0.0,-8438.0,761.0,9199.0,53.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1066.0,0.0,84.0,0.0,78950.0,5.0,1.0,0.0,0.0,-2638.0,1076.0,3714.0,52.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1066.0,0.0,85.0,0.0,73392.0,1.0,3.0,0.0,0.0,-5929.0,896.0,6825.0,52.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1066.0,0.0,86.0,0.0,70195.0,2.0,2.0,0.0,0.0,-3543.0,273.0,3816.0,52.0,0.0,0.0,0.0
