assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,13.0,0.0,20.4,1.0,0.0,4.2,22.0,90.0,16.0,0.0,0.0,0.0,619.0,0.0,1.0,0.0,1702.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,1.0,1.0,1.0
0.0,0.0,18.0,1.0,0.4,0.0,0.0,0.6,5.6,90.0,9.0,0.0,0.0,0.0,619.0,0.0,2.0,0.0,2926.0,0.0,2.0,0.0,6.0,50.0,166.0,116.0,45.0,1.0,0.0,6.0
0.0,0.0,17.0,0.0,1.5,3.0,0.0,3.0,26.4,90.0,4.0,0.0,0.0,0.0,619.0,0.0,3.0,0.0,6026.0,0.0,3.0,2.0,1.0,1253.0,1654.0,401.0,45.0,0.0,0.0,1.0
0.0,0.0,8.0,0.0,2.3,1.0,0.0,0.5,1.6,90.0,7.0,0.0,0.0,0.0,619.0,0.0,4.0,0.0,7231.0,1.0,1.0,1.0,2.0,427.0,1034.0,607.0,45.0,1.0,0.0,2.0
0.0,0.0,22.0,0.0,22.8,3.0,0.0,5.3,30.4,90.0,8.0,0.0,0.0,0.0,619.0,0.0,5.0,0.0,7733.0,0.0,3.0,0.0,1.0,155.0,490.0,335.0,45.0,0.0,0.0,1.0
0.0,0.0,18.0,1.0,1.4,0.0,0.0,0.2,0.8,90.0,18.0,0.0,0.0,0.0,619.0,0.0,6.0,0.0,8439.0,0.0,2.0,0.0,6.0,399.0,987.0,588.0,45.0,1.0,0.0,6.0
0.0,0.0,13.0,0.0,14.9,1.0,0.0,3.1,15.8,90.0,1.0,0.0,0.0,0.0,619.0,0.0,7.0,0.0,11679.0,1.0,0.0,0.0,2.0,2646.0,3282.0,636.0,45.0,1.0,0.0,2.0
0.0,0.0,11.0,0.0,15.2,3.0,0.0,2.7,12.0,90.0,13.0,0.0,0.0,0.0,619.0,0.0,8.0,0.0,16869.0,1.0,3.0,0.0,1.0,4221.0,5096.0,875.0,45.0,0.0,0.0,1.0
0.0,0.0,11.0,0.0,0.3,1.0,0.0,0.7,7.0,82.0,6.0,0.0,0.0,0.0,619.0,0.0,9.0,0.0,17964.0,1.0,2.0,0.0,2.0,794.0,1557.0,763.0,45.0,1.0,0.0,2.0
0.0,0.0,6.0,0.0,0.3,0.0,0.0,0.4,3.2,43.0,11.0,0.0,0.0,0.0,619.0,0.0,10.0,0.0,17351.0,0.0,0.0,0.0,1.0,-731.0,277.0,1008.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,619.0,0.0,11.0,0.0,14814.0,2.0,3.0,0.0,0.0,-2578.0,124.0,2702.0,45.0,1.0,0.0,0.0
0.0,0.0,14.0,0.0,6.0,4.0,0.0,1.9,13.2,90.0,19.0,0.0,0.0,0.0,619.0,0.0,12.0,0.0,13278.0,0.0,4.0,0.0,0.0,-1578.0,194.0,1772.0,44.0,0.0,0.0,0.0
0.0,0.0,11.0,0.0,0.3,2.0,0.0,1.0,9.4,90.0,10.0,0.0,0.0,0.0,619.0,0.0,13.0,0.0,13578.0,2.0,1.0,0.0,1.0,223.0,672.0,449.0,44.0,1.0,0.0,1.0
0.0,0.0,20.0,0.0,32.8,2.0,0.0,5.9,24.6,90.0,14.0,0.0,0.0,0.0,619.0,0.0,14.0,0.0,15691.0,0.0,2.0,2.0,1.0,1929.0,2291.0,362.0,44.0,0.0,0.0,1.0
0.0,0.0,26.0,0.0,14.7,2.0,1.0,12.9,47.0,90.0,2.0,0.0,0.0,0.0,619.0,0.0,15.0,0.0,16892.0,2.0,3.0,67.0,7.0,1043.0,1557.0,514.0,44.0,1.0,0.0,7.0
0.0,0.0,11.0,0.0,13.0,1.0,0.0,3.0,17.4,90.0,20.0,0.0,0.0,0.0,619.0,0.0,16.0,0.0,20329.0,0.0,1.0,0.0,2.0,3142.0,3511.0,369.0,44.0,0.0,0.0,2.0
0.0,0.0,24.0,0.0,23.6,2.0,0.0,4.9,25.0,90.0,17.0,0.0,0.0,0.0,619.0,0.0,17.0,0.0,21196.0,1.0,2.0,0.0,1.0,732.0,1421.0,689.0,44.0,0.0,0.0,1.0
0.0,0.0,18.0,1.0,1.3,0.0,0.0,0.5,3.2,90.0,12.0,0.0,0.0,0.0,619.0,0.0,18.0,0.0,26268.0,0.0,1.0,0.0,5.0,4710.0,5642.0,932.0,44.0,1.0,1.0,5.0
0.0,0.0,12.0,0.0,11.4,1.0,0.0,2.6,7.4,90.0,15.0,0.0,0.0,0.0,619.0,0.0,19.0,0.0,33533.0,1.0,4.0,7.0,2.0,6797.0,7728.0,931.0,44.0,1.0,0.0,2.0
0.0,0.0,19.0,0.0,19.2,2.0,0.0,4.7,28.2,90.0,10.0,0.0,0.0,0.0,619.0,0.0,20.0,0.0,38070.0,1.0,2.0,0.0,1.0,4244.0,8268.0,4024.0,44.0,0.0,0.0,1.0
0.0,0.0,20.0,1.0,0.6,0.0,0.0,1.7,16.6,90.0,13.0,0.0,0.0,0.0,619.0,0.0,21.0,0.0,44041.0,0.0,1.0,0.0,6.0,5524.0,10348.0,4824.0,44.0,1.0,0.0,6.0
0.0,0.0,14.0,0.0,4.8,2.0,0.0,3.2,27.0,90.0,1.0,0.0,0.0,0.0,619.0,0.0,22.0,0.0,51626.0,1.0,2.0,0.0,1.0,7207.0,10257.0,3050.0,44.0,0.0,0.0,1.0
0.0,0.0,26.0,1.0,42.8,0.0,0.0,8.4,19.2,90.0,8.0,0.0,0.0,0.0,619.0,0.0,23.0,0.0,61281.0,0.0,1.0,22.0,6.0,9152.0,11497.0,2345.0,44.0,1.0,0.0,6.0
0.0,0.0,10.0,0.0,4.7,2.0,0.0,1.4,9.4,90.0,18.0,0.0,0.0,0.0,619.0,0.0,24.0,0.0,72211.0,1.0,2.0,0.0,1.0,10692.0,12282.0,1590.0,44.0,0.0,0.0,1.0
0.0,0.0,12.0,0.0,10.8,1.0,0.0,3.1,20.2,90.0,4.0,0.0,0.0,0.0,619.0,0.0,25.0,0.0,72295.0,1.0,1.0,0.0,2.0,-108.0,3192.0,3300.0,45.0,1.0,0.0,2.0
0.0,0.0,7.0,0.0,0.4,1.0,0.0,1.1,10.4,90.0,7.0,0.0,0.0,0.0,619.0,0.0,26.0,0.0,73620.0,1.0,1.0,0.0,2.0,1109.0,3061.0,1952.0,45.0,0.0,0.0,2.0
0.0,0.0,20.0,0.0,10.8,3.0,0.0,4.4,32.8,90.0,16.0,0.0,0.0,0.0,619.0,0.0,27.0,0.0,73912.0,2.0,3.0,0.0,0.0,165.0,2618.0,2453.0,45.0,0.0,1.0,0.0
0.0,0.0,11.0,0.0,9.4,2.0,0.0,2.1,11.8,90.0,9.0,0.0,0.0,0.0,619.0,0.0,28.0,0.0,73472.0,1.0,2.0,0.0,1.0,-549.0,1388.0,1937.0,45.0,0.0,0.0,1.0
0.0,0.0,24.0,1.0,2.0,0.0,0.0,3.9,17.2,90.0,15.0,0.0,0.0,0.0,619.0,0.0,29.0,0.0,73426.0,0.0,0.0,20.0,6.0,-137.0,1700.0,1837.0,45.0,0.0,0.0,6.0
0.0,0.0,24.0,0.0,28.8,2.0,0.0,5.7,27.6,90.0,17.0,0.0,0.0,0.0,619.0,0.0,30.0,0.0,74170.0,2.0,0.0,1.0,1.0,588.0,2180.0,1592.0,45.0,1.0,0.0,1.0
0.0,0.0,19.0,1.0,1.0,0.0,0.0,2.8,27.4,90.0,14.0,0.0,0.0,0.0,619.0,0.0,31.0,0.0,74778.0,0.0,1.0,0.0,5.0,555.0,1514.0,959.0,45.0,1.0,1.0,5.0
0.0,3.0,32.0,1.0,21.2,0.0,0.0,3.9,17.6,90.0,12.0,0.0,0.0,0.0,619.0,0.0,32.0,0.0,75669.0,0.0,0.0,0.0,8.0,818.0,1740.0,922.0,45.0,0.0,1.0,8.0
0.0,0.0,14.0,0.0,1.3,3.0,0.0,2.4,20.2,90.0,6.0,0.0,0.0,0.0,619.0,0.0,33.0,0.0,82292.0,1.0,3.0,2.0,1.0,6241.0,7887.0,1646.0,45.0,0.0,0.0,1.0
0.0,0.0,14.0,0.0,1.8,2.0,0.0,0.8,6.6,90.0,11.0,0.0,0.0,0.0,619.0,0.0,34.0,0.0,82059.0,2.0,0.0,0.0,1.0,-397.0,3114.0,3511.0,45.0,1.0,0.0,1.0
