assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,625.0,0.0,1.0,0.0,152353.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,625.0,0.0,2.0,0.0,150203.0,0.0,1.0,0.0,0.0,-13601.0,1516.0,15117.0,45.0,0.0,0.0,0.0
0.0,0.0,12.0,0.0,0.0,1.0,0.0,1.9,19.4,90.0,2.0,0.0,0.0,0.0,625.0,0.0,3.0,2.0,138839.0,1.0,1.0,0.0,2.0,-15381.0,2129.0,17510.0,45.0,1.0,0.0,2.0
0.0,0.0,15.0,0.0,0.0,1.0,0.0,2.3,23.4,90.0,12.0,0.0,0.0,0.0,625.0,0.0,4.0,3.0,137231.0,2.0,1.0,0.0,3.0,-5813.0,6443.0,12256.0,44.0,0.0,0.0,3.0
0.0,0.0,15.0,0.0,0.0,1.0,0.0,1.8,18.2,90.0,14.0,0.0,0.0,0.0,625.0,0.0,5.0,3.0,140745.0,1.0,4.0,0.0,3.0,1303.0,5548.0,4245.0,44.0,1.0,0.0,3.0
0.0,0.0,10.0,0.0,0.0,2.0,0.0,1.8,18.0,90.0,15.0,0.0,0.0,0.0,625.0,0.0,6.0,2.0,145436.0,3.0,2.0,0.0,1.0,2440.0,9651.0,7211.0,44.0,0.0,0.0,1.0
0.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,9.6,90.0,6.0,0.0,0.0,0.0,625.0,0.0,7.0,1.0,145714.0,1.0,1.0,0.0,2.0,-1106.0,4035.0,5141.0,44.0,0.0,0.0,2.0
0.0,0.0,15.0,0.0,0.0,1.0,0.0,2.2,22.4,90.0,20.0,0.0,0.0,0.0,625.0,0.0,8.0,3.0,148082.0,1.0,0.0,0.0,3.0,598.0,4491.0,3893.0,44.0,1.0,0.0,3.0
0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.7,7.4,90.0,8.0,0.0,0.0,0.0,625.0,0.0,9.0,1.0,148589.0,1.0,3.0,0.0,1.0,-318.0,2970.0,3288.0,44.0,0.0,0.0,1.0
0.0,0.0,21.0,0.0,0.0,4.0,0.0,4.3,42.8,90.0,9.0,0.0,0.0,0.0,625.0,0.0,10.0,6.0,146188.0,4.0,2.0,0.0,2.0,-2963.0,1072.0,4035.0,44.0,1.0,0.0,2.0
0.0,0.0,12.0,0.0,0.0,3.0,0.0,2.2,21.6,90.0,3.0,0.0,0.0,0.0,625.0,0.0,11.0,3.0,145361.0,2.0,3.0,0.0,2.0,-1538.0,2704.0,4242.0,44.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,625.0,0.0,12.0,0.0,137802.0,2.0,1.0,0.0,0.0,-8193.0,935.0,9128.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,625.0,0.0,13.0,0.0,129946.0,4.0,5.0,0.0,0.0,-7917.0,84.0,8001.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,625.0,0.0,14.0,0.0,122992.0,0.0,3.0,0.0,0.0,-7013.0,70.0,7083.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,625.0,0.0,15.0,0.0,117312.0,3.0,3.0,0.0,0.0,-5732.0,79.0,5811.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,625.0,0.0,16.0,0.0,114195.0,2.0,1.0,0.0,0.0,-3150.0,38.0,3188.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,625.0,0.0,17.0,0.0,110933.0,1.0,0.0,0.0,0.0,-3293.0,32.0,3325.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,625.0,0.0,18.0,0.0,107826.0,1.0,1.0,0.0,0.0,-3164.0,56.0,3220.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,625.0,0.0,19.0,0.0,104885.0,0.0,2.0,0.0,0.0,-2974.0,72.0,3046.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,625.0,0.0,20.0,0.0,102294.0,2.0,1.0,0.0,0.0,-2612.0,175.0,2787.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,625.0,0.0,21.0,0.0,98003.0,0.0,3.0,0.0,0.0,-4368.0,445.0,4813.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,625.0,0.0,22.0,0.0,95516.0,1.0,0.0,0.0,0.0,-2529.0,91.0,2620.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,625.0,0.0,23.0,0.0,93919.0,2.0,0.0,0.0,0.0,-1678.0,121.0,1799.0,42.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,625.0,0.0,24.0,0.0,92711.0,4.0,0.0,0.0,0.0,-1242.0,125.0,1367.0,42.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,625.0,0.0,25.0,0.0,91350.0,0.0,1.0,0.0,0.0,-1422.0,134.0,1556.0,42.0,0.0,0.0,0.0
