assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,3.0,46.0,1.0,4.3,0.0,2.0,11.6,71.6,85.0,6.0,0.0,0.0,0.0,879.0,0.0,39.0,0.0,27779.0,3.0,0.0,40.0,12.0,0.0,0.0,0.0,60.0,0.0,1.0,12.0
0.0,0.0,0.0,1.0,23.3,0.0,0.0,3.4,6.2,90.0,13.0,0.0,0.0,0.0,879.0,0.0,40.0,0.0,210581.0,0.0,1.0,4.0,1.0,148215.0,160044.0,11829.0,61.0,1.0,1.0,1.0
0.0,0.0,1.0,1.0,4.4,0.0,0.0,7.5,7.8,90.0,14.0,0.0,0.0,0.0,879.0,0.0,41.0,0.0,237280.0,0.0,0.0,63.0,2.0,17815.0,58390.0,40575.0,61.0,1.0,0.0,2.0
0.0,0.0,6.0,0.0,11.8,2.0,0.0,3.4,15.6,90.0,20.0,0.0,0.0,0.0,879.0,0.0,42.0,0.0,226803.0,0.0,2.0,7.0,2.0,-16683.0,36315.0,52998.0,61.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,879.0,0.0,43.0,0.0,181841.0,1.0,1.0,0.0,0.0,-46202.0,10272.0,56474.0,61.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,879.0,0.0,44.0,0.0,112900.0,0.0,0.0,0.0,0.0,-69130.0,1492.0,70622.0,60.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,879.0,0.0,45.0,0.0,75644.0,4.0,0.0,0.0,0.0,-37330.0,301.0,37631.0,59.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,879.0,0.0,46.0,0.0,61086.0,0.0,2.0,0.0,0.0,-14601.0,315.0,14916.0,59.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.3,1.0,0.0,0.2,1.4,20.0,12.0,0.0,0.0,0.0,879.0,0.0,47.0,0.0,54505.0,1.0,2.0,0.0,1.0,-6636.0,203.0,6839.0,58.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.8,1.0,0.0,0.4,1.6,21.0,10.0,0.0,0.0,0.0,879.0,0.0,48.0,0.0,52320.0,0.0,3.0,2.0,1.0,-2389.0,1540.0,3929.0,58.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,879.0,0.0,49.0,0.0,50043.0,0.0,1.0,0.0,0.0,-2395.0,821.0,3216.0,58.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,17.4,2.0,0.0,4.4,9.6,45.0,2.0,0.0,0.0,0.0,879.0,0.0,50.0,0.0,47866.0,0.0,4.0,17.0,1.0,-2316.0,735.0,3051.0,57.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,1.1,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,879.0,0.0,51.0,0.0,46085.0,2.0,1.0,0.0,1.0,-1834.0,407.0,2241.0,57.0,1.0,0.0,1.0
0.0,0.0,4.0,0.0,15.8,4.0,0.0,5.1,6.6,73.0,1.0,0.0,0.0,0.0,879.0,0.0,52.0,0.0,45157.0,0.0,5.0,29.0,2.0,-981.0,470.0,1451.0,57.0,0.0,0.0,2.0
0.0,0.0,1.0,0.0,1.3,1.0,0.0,0.0,0.0,19.0,7.0,0.0,0.0,0.0,879.0,0.0,53.0,0.0,44392.0,0.0,2.0,0.0,1.0,-819.0,564.0,1383.0,57.0,0.0,0.0,1.0
0.0,3.0,55.0,1.0,26.7,0.0,2.0,17.3,77.0,84.0,3.0,0.0,0.0,0.0,879.0,0.0,54.0,0.0,43478.0,0.0,2.0,69.0,13.0,-990.0,630.0,1620.0,57.0,1.0,0.0,13.0
0.0,0.0,7.0,0.0,16.1,3.0,0.0,2.0,2.2,73.0,5.0,0.0,0.0,0.0,879.0,0.0,55.0,0.0,53578.0,3.0,1.0,2.0,2.0,9695.0,10969.0,1274.0,57.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,879.0,0.0,56.0,0.0,57189.0,4.0,1.0,0.0,0.0,3394.0,5983.0,2589.0,57.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,3.0,8.0,14.0,0.0,0.0,0.0,879.0,0.0,57.0,0.0,56783.0,1.0,1.0,0.0,1.0,-659.0,5162.0,5821.0,57.0,0.0,0.0,1.0
0.0,0.0,5.0,0.0,1.8,1.0,0.0,1.4,0.4,61.0,15.0,0.0,0.0,0.0,879.0,0.0,58.0,0.0,56413.0,1.0,1.0,12.0,2.0,-506.0,4586.0,5092.0,57.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,879.0,0.0,59.0,0.0,56674.0,0.0,0.0,0.0,0.0,60.0,4429.0,4369.0,57.0,1.0,0.0,0.0
0.0,0.0,6.0,0.0,24.3,3.0,0.0,3.3,8.4,90.0,9.0,0.0,0.0,0.0,879.0,0.0,60.0,0.0,53706.0,0.0,3.0,0.0,2.0,-3017.0,1313.0,4330.0,57.0,0.0,0.0,2.0
