assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,15.0,0.0,15.4,1.0,0.0,5.4,10.6,90.0,18.0,0.0,0.0,0.0,621.0,0.0,1.0,0.0,50389.0,1.0,1.0,28.0,2.0,0.0,0.0,0.0,55.0,1.0,0.0,2.0
0.0,0.0,16.0,0.0,24.8,2.0,0.0,3.6,8.2,66.0,11.0,0.0,0.0,0.0,621.0,0.0,2.0,0.0,46937.0,0.0,2.0,3.0,2.0,-4515.0,411.0,4926.0,55.0,0.0,0.0,2.0
0.0,0.0,13.0,0.0,37.0,1.0,0.0,5.3,11.8,90.0,15.0,0.0,0.0,0.0,621.0,0.0,3.0,0.0,43950.0,1.0,1.0,4.0,1.0,-3693.0,1049.0,4742.0,55.0,1.0,1.0,1.0
0.0,0.0,15.0,0.0,7.6,2.0,0.0,1.5,5.0,90.0,1.0,0.0,0.0,0.0,621.0,0.0,4.0,0.0,38005.0,1.0,2.0,2.0,2.0,-6134.0,202.0,6336.0,54.0,0.0,0.0,2.0
0.0,0.0,14.0,1.0,43.8,0.0,0.0,6.4,14.4,90.0,16.0,0.0,0.0,0.0,621.0,0.0,5.0,0.0,34561.0,0.0,1.0,6.0,3.0,-3516.0,123.0,3639.0,54.0,1.0,0.0,3.0
0.0,0.0,15.0,1.0,3.8,0.0,0.0,3.7,10.0,90.0,20.0,0.0,0.0,0.0,621.0,0.0,6.0,0.0,30866.0,3.0,0.0,23.0,3.0,-3756.0,111.0,3867.0,53.0,0.0,0.0,3.0
0.0,0.0,13.0,1.0,27.6,0.0,0.0,8.0,17.6,90.0,8.0,0.0,0.0,0.0,621.0,0.0,7.0,0.0,29129.0,0.0,0.0,35.0,3.0,-1791.0,191.0,1982.0,53.0,0.0,0.0,3.0
1.0,0.0,27.0,0.0,64.4,1.0,0.0,12.1,33.0,90.0,3.0,0.0,0.0,0.0,621.0,0.0,8.0,0.0,27978.0,1.0,3.0,24.0,5.0,-1227.0,289.0,1516.0,53.0,1.0,0.0,5.0
0.0,0.0,9.0,0.0,4.5,1.0,0.0,1.0,4.8,90.0,10.0,0.0,0.0,0.0,621.0,0.0,9.0,0.0,27088.0,1.0,1.0,1.0,2.0,-960.0,301.0,1261.0,52.0,0.0,0.0,2.0
0.0,0.0,20.0,0.0,40.4,2.0,0.0,7.8,18.0,90.0,4.0,0.0,0.0,0.0,621.0,0.0,10.0,0.0,26435.0,2.0,0.0,20.0,2.0,-713.0,268.0,981.0,52.0,1.0,0.0,2.0
0.0,0.0,18.0,0.0,33.0,2.0,0.0,6.8,12.8,90.0,7.0,0.0,0.0,0.0,621.0,0.0,11.0,0.0,25756.0,1.0,2.0,22.0,2.0,-751.0,415.0,1166.0,52.0,0.0,0.0,2.0
0.0,0.0,13.0,1.0,1.9,0.0,0.0,1.5,13.2,90.0,9.0,0.0,0.0,0.0,621.0,0.0,12.0,0.0,24953.0,0.0,0.0,0.0,3.0,-884.0,176.0,1060.0,52.0,1.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,621.0,0.0,13.0,0.0,24680.0,0.0,1.0,0.0,0.0,-307.0,280.0,587.0,52.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,621.0,0.0,14.0,0.0,24008.0,0.0,3.0,0.0,0.0,-698.0,168.0,866.0,52.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,4.5,0.0,0.0,0.9,0.6,18.0,12.0,0.0,0.0,0.0,621.0,0.0,15.0,0.0,23236.0,0.0,1.0,4.0,1.0,-797.0,98.0,895.0,52.0,1.0,0.0,1.0
0.0,0.0,10.0,1.0,9.2,0.0,0.0,2.2,8.2,90.0,14.0,0.0,0.0,0.0,621.0,0.0,16.0,0.0,22775.0,0.0,0.0,5.0,3.0,-472.0,54.0,526.0,52.0,0.0,0.0,3.0
1.0,0.0,17.0,0.0,15.0,0.0,0.0,3.8,20.8,45.0,2.0,0.0,0.0,0.0,621.0,0.0,17.0,0.0,22493.0,3.0,1.0,2.0,3.0,-290.0,161.0,451.0,52.0,0.0,1.0,3.0
0.0,0.0,8.0,0.0,13.3,2.0,0.0,2.2,8.8,71.0,17.0,0.0,0.0,0.0,621.0,0.0,18.0,0.0,22257.0,4.0,1.0,0.0,2.0,-262.0,224.0,486.0,52.0,1.0,0.0,2.0
0.0,0.0,17.0,0.0,18.3,2.0,0.0,3.6,18.0,90.0,19.0,0.0,0.0,0.0,621.0,0.0,19.0,0.0,22314.0,2.0,1.0,0.0,2.0,26.0,434.0,408.0,52.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,621.0,0.0,20.0,0.0,22001.0,0.0,3.0,0.0,0.0,-325.0,149.0,474.0,52.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,621.0,0.0,21.0,0.0,21131.0,0.0,1.0,0.0,0.0,-908.0,186.0,1094.0,51.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,621.0,0.0,22.0,0.0,20104.0,0.0,3.0,0.0,0.0,-1036.0,39.0,1075.0,51.0,1.0,0.0,0.0
0.0,0.0,14.0,0.0,17.8,2.0,0.0,3.3,14.0,90.0,16.0,0.0,0.0,0.0,621.0,0.0,23.0,0.0,19700.0,1.0,2.0,1.0,2.0,-417.0,120.0,537.0,51.0,0.0,0.0,2.0
0.0,0.0,17.0,0.0,6.5,3.0,0.0,4.9,9.8,90.0,20.0,0.0,0.0,0.0,621.0,0.0,24.0,0.0,19653.0,3.0,1.0,33.0,2.0,-62.0,106.0,168.0,51.0,1.0,0.0,2.0
0.0,0.0,21.0,1.0,17.4,0.0,0.0,3.8,20.2,90.0,15.0,0.0,0.0,0.0,621.0,0.0,25.0,0.0,19576.0,4.0,0.0,0.0,3.0,-104.0,118.0,222.0,51.0,0.0,0.0,3.0
0.0,0.0,11.0,0.0,2.4,3.0,0.0,1.0,7.8,90.0,18.0,0.0,0.0,0.0,621.0,0.0,27.0,0.0,19466.0,4.0,3.0,0.0,2.0,81.0,191.0,110.0,51.0,0.0,0.0,2.0
0.0,0.0,8.0,0.0,28.8,2.0,0.0,4.0,7.6,90.0,17.0,0.0,0.0,0.0,621.0,0.0,29.0,0.0,19323.0,1.0,2.0,4.0,2.0,-42.0,83.0,125.0,51.0,0.0,0.0,2.0
0.0,0.0,17.0,1.0,27.1,0.0,0.0,5.0,22.4,90.0,2.0,0.0,0.0,0.0,621.0,0.0,30.0,0.0,19391.0,0.0,0.0,0.0,3.0,50.0,153.0,103.0,51.0,1.0,0.0,3.0
