assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,5.0,0.0,29.2,0.0,0.0,4.0,5.0,55.0,4.0,0.0,0.0,0.0,1074.0,0.0,77.0,0.0,13490.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,55.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,1074.0,0.0,78.0,0.0,11316.0,1.0,2.0,0.0,1.0,-2692.0,169.0,2861.0,55.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,10.5,1.0,0.0,1.2,1.0,4.0,11.0,0.0,0.0,0.0,1074.0,0.0,79.0,0.0,9782.0,2.0,1.0,0.0,1.0,-1698.0,134.0,1832.0,54.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1074.0,0.0,80.0,0.0,8372.0,2.0,0.0,0.0,0.0,-1480.0,59.0,1539.0,54.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1074.0,0.0,81.0,0.0,7212.0,2.0,2.0,0.0,0.0,-1175.0,56.0,1231.0,53.0,1.0,0.0,0.0
0.0,0.0,4.0,0.0,1.2,0.0,0.0,0.9,7.8,35.0,12.0,0.0,0.0,0.0,1074.0,0.0,82.0,0.0,6182.0,0.0,3.0,0.0,1.0,-1069.0,18.0,1087.0,53.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,1.5,2.0,0.0,2.3,4.4,19.0,20.0,0.0,0.0,0.0,1074.0,0.0,83.0,0.0,5711.0,0.0,2.0,17.0,1.0,-508.0,27.0,535.0,52.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1074.0,0.0,84.0,0.0,5399.0,3.0,0.0,0.0,0.0,-321.0,27.0,348.0,52.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,1.5,0.0,0.0,0.6,2.0,24.0,2.0,0.0,0.0,0.0,1074.0,0.0,85.0,0.0,5055.0,0.0,0.0,2.0,1.0,-360.0,31.0,391.0,52.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1074.0,0.0,86.0,0.0,4882.0,0.0,0.0,0.0,0.0,-181.0,33.0,214.0,51.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,5.3,1.0,0.0,0.6,0.8,8.0,13.0,0.0,0.0,0.0,1074.0,0.0,87.0,0.0,4642.0,1.0,6.0,0.0,1.0,-244.0,15.0,259.0,51.0,0.0,0.0,1.0
0.0,0.0,6.0,1.0,21.8,0.0,0.0,5.2,8.6,73.0,18.0,0.0,0.0,0.0,1074.0,0.0,88.0,0.0,4527.0,1.0,1.0,22.0,3.0,-129.0,27.0,156.0,51.0,1.0,0.0,3.0
0.0,2.0,44.0,0.0,6.3,3.0,2.0,11.0,71.0,80.0,9.0,0.0,0.0,0.0,1074.0,0.0,89.0,0.0,4514.0,2.0,3.0,33.0,14.0,-38.0,65.0,103.0,51.0,0.0,0.0,14.0
0.0,0.0,26.0,0.0,16.4,2.0,1.0,8.9,47.6,90.0,14.0,0.0,0.0,0.0,1074.0,0.0,90.0,0.0,10506.0,2.0,2.0,25.0,6.0,5283.0,5971.0,688.0,51.0,1.0,1.0,6.0
0.0,0.0,9.0,0.0,17.2,3.0,0.0,2.4,3.2,80.0,17.0,0.0,0.0,0.0,1074.0,0.0,91.0,0.0,32191.0,1.0,3.0,4.0,2.0,20794.0,22328.0,1534.0,51.0,0.0,0.0,2.0
0.0,0.0,15.0,0.0,16.8,1.0,0.0,3.7,10.4,90.0,5.0,0.0,0.0,0.0,1074.0,0.0,92.0,0.0,62807.0,0.0,1.0,10.0,2.0,26770.0,29938.0,3168.0,51.0,0.0,0.0,2.0
0.0,0.0,11.0,0.0,34.5,2.0,0.0,7.8,15.4,90.0,1.0,0.0,0.0,0.0,1074.0,0.0,93.0,0.0,54596.0,2.0,3.0,28.0,1.0,-5584.0,4286.0,9870.0,51.0,1.0,1.0,1.0
0.0,0.0,15.0,0.0,43.1,1.0,0.0,6.0,14.8,68.0,10.0,0.0,0.0,0.0,1074.0,0.0,94.0,0.0,55560.0,3.0,1.0,2.0,2.0,390.0,6607.0,6217.0,51.0,0.0,0.0,2.0
0.0,0.0,15.0,0.0,28.6,2.0,0.0,7.2,11.8,90.0,19.0,0.0,0.0,0.0,1074.0,0.0,95.0,0.0,49496.0,2.0,1.0,32.0,2.0,-6000.0,2240.0,8240.0,51.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1074.0,0.0,96.0,0.0,41194.0,3.0,1.0,0.0,0.0,-8115.0,523.0,8638.0,51.0,1.0,0.0,0.0
0.0,0.0,8.0,1.0,14.3,0.0,0.0,3.6,10.4,88.0,6.0,0.0,0.0,0.0,1074.0,0.0,97.0,0.0,35313.0,0.0,0.0,11.0,3.0,-6218.0,339.0,6557.0,51.0,0.0,0.0,3.0
0.0,0.0,2.0,0.0,10.9,0.0,0.0,3.6,3.8,56.0,11.0,0.0,0.0,0.0,1074.0,0.0,98.0,0.0,27714.0,2.0,1.0,21.0,1.0,-7682.0,644.0,8326.0,51.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.6,1.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,1074.0,0.0,99.0,0.0,24902.0,1.0,2.0,0.0,1.0,-2889.0,1230.0,4119.0,51.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,12.2,0.0,0.0,7.0,12.0,28.0,7.0,0.0,0.0,0.0,1074.0,0.0,100.0,0.0,22893.0,1.0,1.0,46.0,1.0,-2154.0,559.0,2713.0,51.0,1.0,0.0,1.0
