assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,629.0,0.0,1.0,0.0,3963.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,2.7,2.0,0.0,0.8,2.6,23.0,7.0,0.0,0.0,0.0,629.0,0.0,2.0,0.0,3106.0,2.0,0.0,3.0,1.0,-1065.0,49.0,1114.0,54.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,14.3,0.0,0.0,1.8,3.2,32.0,8.0,0.0,0.0,0.0,629.0,0.0,3.0,0.0,2979.0,1.0,2.0,0.0,1.0,-342.0,100.0,442.0,54.0,0.0,0.0,1.0
0.0,0.0,13.0,0.0,3.4,2.0,0.0,1.4,8.4,90.0,4.0,0.0,0.0,0.0,629.0,0.0,4.0,0.0,2685.0,2.0,2.0,2.0,2.0,-421.0,59.0,480.0,53.0,1.0,0.0,2.0
0.0,0.0,13.0,0.0,6.9,1.0,0.0,1.4,4.4,65.0,13.0,0.0,0.0,0.0,629.0,0.0,5.0,0.0,2645.0,0.0,1.0,3.0,2.0,-125.0,131.0,256.0,53.0,0.0,0.0,2.0
0.0,0.0,4.0,0.0,10.5,1.0,0.0,1.4,3.2,18.0,10.0,0.0,0.0,0.0,629.0,0.0,6.0,0.0,2494.0,3.0,1.0,0.0,1.0,-238.0,83.0,321.0,53.0,1.0,0.0,1.0
0.0,0.0,4.0,0.0,3.6,1.0,0.0,0.4,0.6,28.0,9.0,0.0,0.0,0.0,629.0,0.0,7.0,0.0,2430.0,2.0,1.0,0.0,1.0,-124.0,119.0,243.0,52.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,5.8,0.0,0.0,1.0,1.8,20.0,1.0,0.0,0.0,0.0,629.0,0.0,8.0,0.0,2427.0,2.0,3.0,2.0,1.0,-121.0,108.0,229.0,52.0,0.0,0.0,1.0
0.0,0.0,21.0,1.0,24.3,0.0,0.0,5.2,25.8,90.0,18.0,0.0,0.0,0.0,629.0,0.0,9.0,0.0,2366.0,0.0,0.0,2.0,3.0,-97.0,61.0,158.0,52.0,1.0,0.0,3.0
0.0,0.0,15.0,0.0,13.9,3.0,0.0,2.6,12.0,86.0,14.0,0.0,0.0,0.0,629.0,0.0,10.0,0.0,2355.0,1.0,3.0,0.0,2.0,-59.0,65.0,124.0,51.0,0.0,0.0,2.0
0.0,0.0,20.0,0.0,3.6,3.0,0.0,1.8,14.8,90.0,11.0,0.0,0.0,0.0,629.0,0.0,11.0,0.0,2321.0,3.0,1.0,0.0,2.0,-78.0,77.0,155.0,51.0,1.0,0.0,2.0
0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.2,2.4,4.0,6.0,0.0,0.0,0.0,629.0,0.0,12.0,0.0,2342.0,1.0,1.0,0.0,1.0,-59.0,77.0,136.0,51.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,629.0,0.0,13.0,0.0,2197.0,4.0,5.0,0.0,0.0,-162.0,33.0,195.0,51.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,629.0,0.0,14.0,0.0,2035.0,0.0,5.0,0.0,0.0,-165.0,4.0,169.0,51.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,629.0,0.0,15.0,0.0,1955.0,0.0,3.0,0.0,0.0,-86.0,20.0,106.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,629.0,0.0,16.0,0.0,1898.0,1.0,3.0,0.0,0.0,-59.0,10.0,69.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,629.0,0.0,17.0,0.0,1861.0,0.0,3.0,0.0,0.0,-42.0,23.0,65.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,629.0,0.0,18.0,0.0,1818.0,4.0,1.0,0.0,0.0,-50.0,17.0,67.0,50.0,1.0,0.0,0.0
0.0,0.0,14.0,0.0,26.7,3.0,0.0,4.1,12.4,90.0,2.0,0.0,0.0,0.0,629.0,0.0,19.0,0.0,1802.0,3.0,0.0,2.0,1.0,-24.0,13.0,37.0,50.0,1.0,1.0,1.0
0.0,0.0,11.0,0.0,14.2,1.0,0.0,3.1,5.2,90.0,5.0,0.0,0.0,0.0,629.0,0.0,20.0,0.0,1819.0,2.0,1.0,12.0,2.0,8.0,31.0,23.0,50.0,0.0,0.0,2.0
0.0,0.0,15.0,0.0,6.2,4.0,0.0,1.9,13.0,90.0,1.0,0.0,0.0,0.0,629.0,0.0,21.0,0.0,1885.0,4.0,0.0,0.0,1.0,32.0,81.0,49.0,50.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,629.0,0.0,22.0,0.0,1911.0,3.0,2.0,0.0,0.0,-3.0,43.0,46.0,50.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.3,3.0,19.0,13.0,0.0,0.0,0.0,629.0,0.0,23.0,0.0,1892.0,1.0,2.0,0.0,1.0,-32.0,33.0,65.0,50.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,629.0,0.0,24.0,0.0,1900.0,1.0,2.0,0.0,0.0,2.0,23.0,21.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,629.0,0.0,25.0,0.0,1873.0,0.0,2.0,0.0,0.0,-46.0,31.0,77.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,629.0,0.0,26.0,0.0,1835.0,1.0,3.0,0.0,0.0,-45.0,10.0,55.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,629.0,0.0,27.0,0.0,1820.0,2.0,3.0,0.0,0.0,-17.0,13.0,30.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,629.0,0.0,28.0,0.0,1821.0,1.0,2.0,0.0,0.0,0.0,22.0,22.0,50.0,0.0,0.0,0.0
0.0,0.0,7.0,0.0,3.5,1.0,0.0,1.3,1.2,66.0,2.0,0.0,0.0,0.0,629.0,0.0,29.0,0.0,1814.0,0.0,2.0,8.0,1.0,-11.0,11.0,22.0,50.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,629.0,0.0,30.0,0.0,1843.0,0.0,0.0,0.0,0.0,11.0,23.0,12.0,50.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,0.1,3.0,0.0,0.2,2.2,19.0,17.0,0.0,0.0,0.0,629.0,0.0,31.0,0.0,1849.0,3.0,1.0,0.0,1.0,3.0,18.0,15.0,50.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,629.0,0.0,32.0,0.0,1851.0,0.0,1.0,0.0,0.0,-2.0,20.0,22.0,50.0,0.0,0.0,0.0
0.0,0.0,15.0,0.0,13.4,1.0,0.0,4.7,11.0,90.0,18.0,0.0,0.0,0.0,629.0,0.0,33.0,0.0,1871.0,0.0,1.0,23.0,2.0,10.0,32.0,22.0,50.0,0.0,0.0,2.0
0.0,0.0,11.0,1.0,23.2,0.0,0.0,3.4,5.2,71.0,14.0,0.0,0.0,0.0,629.0,0.0,34.0,0.0,1893.0,0.0,2.0,6.0,3.0,9.0,22.0,13.0,50.0,1.0,0.0,3.0
0.0,0.0,2.0,0.0,4.5,1.0,0.0,0.7,0.0,60.0,11.0,0.0,0.0,0.0,629.0,0.0,35.0,0.0,1906.0,1.0,1.0,4.0,2.0,7.0,21.0,14.0,50.0,0.0,0.0,2.0
0.0,0.0,14.0,1.0,4.3,0.0,0.0,1.3,5.0,74.0,6.0,0.0,0.0,0.0,629.0,0.0,36.0,0.0,1935.0,0.0,1.0,4.0,3.0,21.0,33.0,12.0,50.0,1.0,0.0,3.0
1.0,0.0,21.0,1.0,15.2,0.0,0.0,3.8,19.2,66.0,15.0,0.0,0.0,0.0,629.0,0.0,37.0,0.0,2016.0,2.0,0.0,4.0,6.0,71.0,87.0,16.0,50.0,0.0,0.0,6.0
0.0,0.0,4.0,0.0,10.6,0.0,0.0,1.6,3.8,10.0,19.0,0.0,0.0,0.0,629.0,0.0,38.0,0.0,2373.0,1.0,2.0,2.0,1.0,336.0,380.0,44.0,50.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,629.0,0.0,39.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,629.0,0.0,40.0,0.0,428.0,4.0,0.0,0.0,0.0,-82.0,26.0,108.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,629.0,0.0,41.0,0.0,403.0,2.0,0.0,0.0,0.0,-46.0,24.0,70.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,629.0,0.0,42.0,0.0,423.0,1.0,0.0,0.0,0.0,-23.0,31.0,54.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,629.0,0.0,43.0,0.0,422.0,0.0,0.0,0.0,0.0,-14.0,30.0,44.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,629.0,0.0,44.0,0.0,420.0,2.0,1.0,0.0,0.0,-8.0,40.0,48.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,629.0,0.0,45.0,0.0,421.0,0.0,1.0,0.0,0.0,-13.0,34.0,47.0,50.0,0.0,0.0,0.0
