assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,630.0,0.0,1.0,0.0,25411.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,630.0,0.0,2.0,0.0,26015.0,2.0,1.0,0.0,0.0,-1045.0,558.0,1603.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,630.0,0.0,3.0,0.0,25387.0,0.0,0.0,0.0,0.0,-1238.0,668.0,1906.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,630.0,0.0,4.0,0.0,21148.0,0.0,1.0,0.0,0.0,-4393.0,285.0,4678.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,630.0,0.0,5.0,0.0,19351.0,2.0,4.0,0.0,0.0,-1823.0,40.0,1863.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,630.0,0.0,6.0,0.0,17512.0,1.0,1.0,0.0,0.0,-1858.0,53.0,1911.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,630.0,0.0,7.0,0.0,16422.0,1.0,1.0,0.0,0.0,-1098.0,50.0,1148.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,630.0,0.0,8.0,0.0,15672.0,1.0,1.0,0.0,0.0,-759.0,31.0,790.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,630.0,0.0,9.0,0.0,15134.0,1.0,2.0,0.0,0.0,-545.0,21.0,566.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,630.0,0.0,10.0,0.0,14705.0,4.0,0.0,0.0,0.0,-433.0,18.0,451.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,630.0,0.0,11.0,0.0,14219.0,2.0,1.0,0.0,0.0,-491.0,23.0,514.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,630.0,0.0,12.0,0.0,13822.0,0.0,4.0,0.0,0.0,-404.0,33.0,437.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,630.0,0.0,13.0,0.0,13598.0,1.0,1.0,0.0,0.0,-225.0,6.0,231.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,630.0,0.0,14.0,0.0,13363.0,1.0,3.0,0.0,0.0,-236.0,8.0,244.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,630.0,0.0,15.0,0.0,13110.0,0.0,1.0,0.0,0.0,-255.0,12.0,267.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,630.0,0.0,16.0,0.0,12974.0,1.0,3.0,0.0,0.0,-136.0,9.0,145.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,630.0,0.0,17.0,0.0,12799.0,2.0,0.0,0.0,0.0,-175.0,8.0,183.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,630.0,0.0,18.0,0.0,12605.0,0.0,1.0,0.0,0.0,-196.0,11.0,207.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,630.0,0.0,19.0,0.0,12409.0,2.0,1.0,0.0,0.0,-196.0,9.0,205.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,630.0,0.0,20.0,0.0,12216.0,1.0,3.0,0.0,0.0,-195.0,13.0,208.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,630.0,0.0,21.0,0.0,11835.0,0.0,4.0,0.0,0.0,-383.0,17.0,400.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,630.0,0.0,22.0,0.0,11661.0,0.0,2.0,0.0,0.0,-177.0,10.0,187.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,630.0,0.0,23.0,0.0,11529.0,1.0,1.0,0.0,0.0,-135.0,11.0,146.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,630.0,0.0,24.0,0.0,11433.0,0.0,1.0,0.0,0.0,-97.0,4.0,101.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,630.0,0.0,25.0,0.0,11306.0,2.0,2.0,0.0,0.0,-128.0,8.0,136.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,630.0,0.0,26.0,0.0,11187.0,1.0,2.0,0.0,0.0,-119.0,10.0,129.0,40.0,1.0,0.0,0.0
