assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,636.0,0.0,23.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,636.0,0.0,24.0,0.0,82.0,0.0,1.0,0.0,0.0,53.0,66.0,13.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,636.0,0.0,25.0,0.0,236.0,0.0,1.0,0.0,0.0,100.0,125.0,25.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,636.0,0.0,26.0,0.0,340.0,0.0,4.0,0.0,0.0,26.0,63.0,37.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,636.0,0.0,27.0,0.0,438.0,0.0,0.0,0.0,0.0,64.0,89.0,25.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,636.0,0.0,29.0,0.0,541.0,2.0,1.0,0.0,0.0,29.0,48.0,19.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,636.0,0.0,30.0,0.0,581.0,0.0,2.0,0.0,0.0,6.0,32.0,26.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,636.0,0.0,31.0,0.0,596.0,0.0,1.0,0.0,0.0,4.0,17.0,13.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,636.0,0.0,32.0,0.0,600.0,2.0,1.0,0.0,0.0,-3.0,11.0,14.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,636.0,0.0,33.0,0.0,623.0,1.0,3.0,0.0,0.0,13.0,23.0,10.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,636.0,0.0,34.0,0.0,638.0,0.0,2.0,0.0,0.0,-2.0,23.0,25.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,636.0,0.0,35.0,0.0,654.0,0.0,0.0,0.0,0.0,1.0,19.0,18.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,636.0,0.0,36.0,0.0,664.0,2.0,2.0,0.0,0.0,-3.0,18.0,21.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,636.0,0.0,37.0,0.0,675.0,4.0,1.0,0.0,0.0,6.0,20.0,14.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,636.0,0.0,38.0,0.0,720.0,1.0,0.0,0.0,0.0,31.0,47.0,16.0,40.0,0.0,0.0,0.0
0.0,0.0,12.0,0.0,14.1,3.0,0.0,2.3,8.4,52.0,11.0,0.0,0.0,0.0,636.0,0.0,46.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,636.0,0.0,47.0,0.0,381.0,2.0,1.0,0.0,0.0,283.0,419.0,136.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,636.0,0.0,48.0,0.0,638.0,1.0,0.0,0.0,0.0,193.0,340.0,147.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,636.0,0.0,49.0,0.0,1150.0,2.0,2.0,0.0,0.0,343.0,478.0,135.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,636.0,0.0,50.0,0.0,1629.0,2.0,2.0,0.0,0.0,275.0,454.0,179.0,40.0,0.0,0.0,0.0
