assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,637.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,637.0,0.0,3.0,0.0,989.0,1.0,1.0,0.0,0.0,305.0,394.0,89.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,637.0,0.0,4.0,0.0,2399.0,3.0,0.0,0.0,0.0,494.0,831.0,337.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,637.0,0.0,5.0,0.0,3196.0,0.0,1.0,0.0,0.0,372.0,589.0,217.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,637.0,0.0,6.0,0.0,4240.0,3.0,2.0,0.0,0.0,566.0,922.0,356.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,637.0,0.0,7.0,0.0,4868.0,1.0,1.0,0.0,0.0,350.0,656.0,306.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,637.0,0.0,8.0,0.0,5348.0,0.0,2.0,0.0,0.0,181.0,429.0,248.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,637.0,0.0,9.0,0.0,5701.0,0.0,1.0,0.0,0.0,183.0,404.0,221.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,637.0,0.0,10.0,0.0,5777.0,4.0,1.0,0.0,0.0,-27.0,177.0,204.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,637.0,0.0,11.0,0.0,6026.0,2.0,1.0,0.0,0.0,95.0,348.0,253.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,637.0,0.0,12.0,0.0,6303.0,0.0,3.0,0.0,0.0,99.0,359.0,260.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,637.0,0.0,13.0,0.0,6288.0,0.0,2.0,0.0,0.0,-74.0,96.0,170.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,637.0,0.0,14.0,0.0,6273.0,1.0,2.0,0.0,0.0,-79.0,81.0,160.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,637.0,0.0,15.0,0.0,6295.0,0.0,3.0,0.0,0.0,-45.0,133.0,178.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,637.0,0.0,16.0,0.0,6249.0,1.0,0.0,0.0,0.0,-69.0,44.0,113.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,637.0,0.0,17.0,0.0,6198.0,0.0,1.0,0.0,0.0,-74.0,41.0,115.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,637.0,0.0,18.0,0.0,6112.0,1.0,3.0,0.0,0.0,-115.0,50.0,165.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,637.0,0.0,19.0,0.0,6095.0,1.0,4.0,0.0,0.0,-40.0,52.0,92.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,637.0,0.0,20.0,0.0,6024.0,2.0,2.0,0.0,0.0,-87.0,47.0,134.0,40.0,1.0,0.0,0.0
