assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,882.0,0.0,39.0,0.0,23262.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.1,5.0,90.0,17.0,0.0,0.0,0.0,882.0,0.0,40.0,0.0,21784.0,2.0,1.0,4.0,2.0,-3861.0,1170.0,5031.0,50.0,0.0,0.0,2.0
0.0,0.0,6.0,0.0,0.7,0.0,0.0,1.6,6.8,15.0,7.0,0.0,0.0,0.0,882.0,0.0,41.0,0.0,30150.0,0.0,2.0,8.0,1.0,5360.0,8713.0,3353.0,50.0,1.0,0.0,1.0
0.0,0.0,23.0,0.0,16.7,1.0,0.0,4.2,23.6,90.0,9.0,0.0,0.0,0.0,882.0,0.0,42.0,0.0,30266.0,2.0,1.0,2.0,2.0,-1752.0,3512.0,5264.0,50.0,0.0,0.0,2.0
0.0,0.0,7.0,0.0,13.0,0.0,0.0,2.8,7.2,45.0,1.0,0.0,0.0,0.0,882.0,0.0,43.0,0.0,34659.0,0.0,0.0,8.0,1.0,2885.0,6467.0,3582.0,50.0,1.0,0.0,1.0
1.0,0.0,31.0,1.0,12.3,0.0,0.0,5.3,40.6,90.0,15.0,0.0,0.0,0.0,882.0,0.0,44.0,0.0,37549.0,4.0,0.0,0.0,6.0,1349.0,6327.0,4978.0,50.0,0.0,0.0,6.0
0.0,0.0,6.0,0.0,2.5,1.0,0.0,1.8,13.8,72.0,11.0,0.0,0.0,0.0,882.0,0.0,45.0,0.0,54303.0,1.0,0.0,2.0,2.0,14177.0,19984.0,5807.0,50.0,1.0,0.0,2.0
0.0,3.0,33.0,0.0,14.9,2.0,1.0,10.0,58.2,90.0,6.0,0.0,0.0,0.0,882.0,0.0,46.0,0.0,90050.0,1.0,2.0,27.0,9.0,32257.0,40319.0,8062.0,50.0,0.0,1.0,9.0
1.0,0.0,28.0,0.0,14.3,2.0,0.0,6.1,34.6,90.0,18.0,0.0,0.0,0.0,882.0,0.0,47.0,0.0,128414.0,2.0,4.0,12.0,5.0,34890.0,53660.0,18770.0,51.0,1.0,0.0,5.0
0.0,0.0,11.0,1.0,7.1,0.0,0.0,3.8,12.4,90.0,2.0,0.0,0.0,0.0,882.0,0.0,48.0,0.0,195243.0,1.0,0.0,18.0,3.0,60763.0,76059.0,15296.0,51.0,0.0,0.0,3.0
0.0,0.0,2.0,1.0,18.3,0.0,0.0,5.6,7.2,90.0,12.0,0.0,0.0,0.0,882.0,0.0,49.0,0.0,200971.0,0.0,1.0,30.0,2.0,2598.0,21045.0,18447.0,51.0,1.0,1.0,2.0
0.0,0.0,14.0,1.0,5.4,0.0,0.0,3.9,9.4,90.0,19.0,0.0,0.0,0.0,882.0,0.0,50.0,0.0,215466.0,4.0,0.0,24.0,3.0,10934.0,28293.0,17359.0,51.0,0.0,0.0,3.0
0.0,0.0,13.0,0.0,4.3,1.0,0.0,3.0,7.6,76.0,10.0,0.0,0.0,0.0,882.0,0.0,51.0,0.0,201901.0,1.0,1.0,18.0,2.0,-14436.0,7231.0,21667.0,51.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,882.0,0.0,52.0,0.0,189300.0,0.0,1.0,0.0,0.0,-13084.0,7028.0,20112.0,51.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,1.1,0.0,0.0,0.3,2.2,12.0,13.0,0.0,0.0,0.0,882.0,0.0,53.0,0.0,168230.0,1.0,3.0,0.0,1.0,-21455.0,2811.0,24266.0,51.0,1.0,0.0,1.0
0.0,0.0,5.0,0.0,4.3,1.0,0.0,3.5,4.8,45.0,20.0,0.0,0.0,0.0,882.0,0.0,54.0,0.0,143774.0,0.0,1.0,26.0,1.0,-24833.0,1545.0,26378.0,51.0,0.0,0.0,1.0
0.0,2.0,30.0,0.0,4.8,1.0,1.0,9.6,46.2,90.0,8.0,0.0,0.0,0.0,882.0,0.0,55.0,0.0,130429.0,3.0,1.0,45.0,9.0,-13568.0,973.0,14541.0,50.0,0.0,0.0,9.0
0.0,0.0,19.0,1.0,28.8,0.0,0.0,7.5,19.8,90.0,14.0,0.0,0.0,0.0,882.0,0.0,56.0,0.0,144431.0,0.0,1.0,26.0,3.0,13059.0,17307.0,4248.0,50.0,1.0,0.0,3.0
0.0,0.0,17.0,1.0,15.3,0.0,0.0,6.0,18.8,90.0,7.0,0.0,0.0,0.0,882.0,0.0,57.0,0.0,146168.0,0.0,0.0,26.0,3.0,723.0,10485.0,9762.0,50.0,0.0,0.0,3.0
0.0,0.0,11.0,1.0,12.9,0.0,0.0,5.3,4.6,90.0,3.0,0.0,0.0,0.0,882.0,0.0,58.0,0.0,145287.0,0.0,2.0,35.0,3.0,-1475.0,5702.0,7177.0,50.0,1.0,0.0,3.0
0.0,0.0,4.0,0.0,12.1,0.0,0.0,1.5,3.0,25.0,15.0,0.0,0.0,0.0,882.0,0.0,59.0,0.0,143533.0,0.0,5.0,0.0,1.0,-2361.0,8689.0,11050.0,50.0,1.0,0.0,1.0
0.0,0.0,9.0,0.0,27.0,2.0,0.0,6.7,10.6,90.0,1.0,0.0,0.0,0.0,882.0,0.0,60.0,0.0,134972.0,2.0,2.0,29.0,2.0,-8743.0,3810.0,12553.0,50.0,0.0,0.0,2.0
0.0,0.0,9.0,1.0,6.8,0.0,0.0,2.6,5.2,90.0,9.0,0.0,0.0,0.0,882.0,0.0,61.0,0.0,129821.0,0.0,0.0,14.0,3.0,-6132.0,10158.0,16290.0,50.0,1.0,0.0,3.0
0.0,0.0,16.0,1.0,4.3,0.0,0.0,2.7,16.0,90.0,3.0,0.0,0.0,0.0,882.0,0.0,62.0,0.0,123351.0,4.0,0.0,7.0,3.0,-6869.0,4740.0,11609.0,50.0,0.0,0.0,3.0
0.0,0.0,11.0,0.0,1.9,3.0,0.0,4.9,12.0,90.0,2.0,0.0,0.0,0.0,882.0,0.0,63.0,0.0,123419.0,3.0,0.0,35.0,2.0,-493.0,7933.0,8426.0,50.0,1.0,0.0,2.0
0.0,0.0,-3.0,0.0,0.3,4.0,0.0,0.3,2.2,29.0,18.0,0.0,0.0,0.0,882.0,1.0,64.0,0.0,119051.0,1.0,4.0,0.0,-2.0,-4592.0,2967.0,7559.0,50.0,0.0,0.0,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,882.0,0.0,65.0,0.0,93894.0,0.0,3.0,0.0,0.0,-25319.0,778.0,26097.0,50.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,882.0,0.0,66.0,0.0,83999.0,1.0,2.0,0.0,0.0,-9998.0,179.0,10177.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,882.0,0.0,67.0,0.0,79472.0,0.0,1.0,0.0,0.0,-4481.0,21.0,4502.0,49.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,882.0,0.0,68.0,0.0,74430.0,1.0,2.0,0.0,1.0,-3131.0,32.0,3163.0,49.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,882.0,0.0,70.0,0.0,72315.0,3.0,1.0,0.0,0.0,-828.0,165.0,993.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,882.0,0.0,71.0,0.0,71807.0,1.0,1.0,0.0,0.0,-572.0,182.0,754.0,49.0,1.0,0.0,0.0
0.0,0.0,13.0,0.0,25.2,1.0,0.0,5.1,13.4,90.0,4.0,0.0,0.0,0.0,882.0,0.0,72.0,0.0,71462.0,2.0,1.0,12.0,2.0,-395.0,264.0,659.0,49.0,0.0,0.0,2.0
0.0,0.0,8.0,1.0,3.9,0.0,0.0,1.3,6.2,90.0,16.0,0.0,0.0,0.0,882.0,0.0,74.0,0.0,70713.0,1.0,0.0,3.0,3.0,-249.0,128.0,377.0,49.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,882.0,0.0,75.0,0.0,70942.0,1.0,1.0,0.0,0.0,154.0,489.0,335.0,49.0,1.0,0.0,0.0
0.0,0.0,3.0,0.0,5.7,3.0,0.0,2.2,7.8,90.0,13.0,0.0,0.0,0.0,882.0,0.0,76.0,0.0,71034.0,0.0,3.0,8.0,1.0,47.0,438.0,391.0,49.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,882.0,0.0,77.0,0.0,14331.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,882.0,0.0,78.0,0.0,10102.0,2.0,3.0,0.0,0.0,-5155.0,270.0,5425.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,882.0,0.0,79.0,0.0,7035.0,2.0,1.0,0.0,0.0,-3275.0,12.0,3287.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,882.0,0.0,80.0,0.0,5915.0,0.0,2.0,0.0,0.0,-1287.0,8.0,1295.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,882.0,0.0,81.0,0.0,5346.0,1.0,4.0,0.0,0.0,-615.0,10.0,625.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,882.0,0.0,82.0,0.0,5104.0,0.0,0.0,0.0,0.0,-268.0,3.0,271.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,882.0,0.0,83.0,0.0,4955.0,1.0,1.0,0.0,0.0,-160.0,2.0,162.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,882.0,0.0,84.0,0.0,4875.0,3.0,0.0,0.0,0.0,-86.0,2.0,88.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,882.0,0.0,85.0,0.0,4767.0,2.0,2.0,0.0,0.0,-110.0,4.0,114.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,882.0,0.0,86.0,0.0,4716.0,4.0,0.0,0.0,0.0,-61.0,2.0,63.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,882.0,0.0,87.0,0.0,4666.0,1.0,3.0,0.0,0.0,-55.0,4.0,59.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,882.0,0.0,88.0,0.0,4633.0,0.0,0.0,0.0,0.0,-34.0,2.0,36.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,882.0,0.0,89.0,0.0,4591.0,1.0,3.0,0.0,0.0,-43.0,3.0,46.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,882.0,0.0,90.0,0.0,4580.0,0.0,2.0,0.0,0.0,-18.0,0.0,18.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,882.0,0.0,91.0,0.0,4572.0,1.0,2.0,0.0,0.0,-11.0,1.0,12.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,882.0,0.0,92.0,0.0,4555.0,0.0,2.0,0.0,0.0,-21.0,1.0,22.0,49.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,882.0,0.0,93.0,0.0,4518.0,2.0,1.0,0.0,0.0,-36.0,1.0,37.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,882.0,0.0,94.0,0.0,4495.0,1.0,0.0,0.0,0.0,-26.0,0.0,26.0,49.0,1.0,0.0,0.0
