assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,640.0,0.0,1.0,0.0,13496.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,640.0,0.0,2.0,0.0,15696.0,0.0,1.0,0.0,0.0,-1470.0,469.0,1939.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,640.0,0.0,3.0,0.0,17272.0,1.0,1.0,0.0,0.0,-1973.0,581.0,2554.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,640.0,0.0,4.0,0.0,16967.0,0.0,1.0,0.0,0.0,-3018.0,172.0,3190.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,640.0,0.0,5.0,0.0,16156.0,0.0,4.0,0.0,0.0,-1368.0,40.0,1408.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,640.0,0.0,6.0,0.0,15162.0,0.0,1.0,0.0,0.0,-1029.0,48.0,1077.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,640.0,0.0,7.0,0.0,14589.0,2.0,2.0,0.0,0.0,-603.0,51.0,654.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,640.0,0.0,8.0,0.0,14114.0,1.0,6.0,0.0,0.0,-502.0,32.0,534.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,640.0,0.0,9.0,0.0,13887.0,0.0,0.0,0.0,0.0,-241.0,27.0,268.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,640.0,0.0,10.0,0.0,13684.0,0.0,2.0,0.0,0.0,-224.0,18.0,242.0,45.0,0.0,0.0,0.0
