assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,5.0,0.0,0.3,0.0,0.0,0.3,2.2,6.0,17.0,0.0,0.0,0.0,643.0,0.0,1.0,0.0,9498.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,55.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,643.0,0.0,2.0,0.0,9971.0,2.0,1.0,0.0,0.0,-875.0,186.0,1061.0,55.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,643.0,0.0,3.0,0.0,8646.0,0.0,1.0,0.0,0.0,-1686.0,140.0,1826.0,54.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,643.0,0.0,4.0,0.0,6929.0,3.0,0.0,0.0,0.0,-1764.0,19.0,1783.0,53.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,12.0,0.0,0.0,0.0,643.0,0.0,5.0,0.0,6195.0,1.0,3.0,0.0,1.0,-762.0,26.0,788.0,53.0,1.0,0.0,1.0
0.0,0.0,10.0,0.0,21.8,0.0,0.0,3.6,12.2,36.0,2.0,0.0,0.0,0.0,643.0,0.0,6.0,0.0,5904.0,0.0,1.0,2.0,1.0,-378.0,65.0,443.0,53.0,0.0,0.0,1.0
0.0,0.0,5.0,0.0,6.9,1.0,0.0,1.7,5.8,90.0,5.0,0.0,0.0,0.0,643.0,0.0,7.0,0.0,5841.0,1.0,1.0,4.0,1.0,-139.0,85.0,224.0,53.0,1.0,1.0,1.0
0.0,0.0,7.0,0.0,5.5,1.0,0.0,1.1,5.2,90.0,10.0,0.0,0.0,0.0,643.0,0.0,8.0,0.0,5824.0,1.0,1.0,0.0,2.0,-126.0,98.0,224.0,53.0,0.0,0.0,2.0
0.0,0.0,2.0,0.0,0.7,1.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,643.0,0.0,9.0,0.0,5848.0,1.0,2.0,0.0,1.0,-47.0,104.0,151.0,53.0,0.0,0.0,1.0
0.0,0.0,3.0,0.0,15.7,0.0,0.0,4.1,8.4,19.0,20.0,0.0,0.0,0.0,643.0,0.0,10.0,0.0,5768.0,0.0,2.0,17.0,1.0,-140.0,48.0,188.0,53.0,1.0,0.0,1.0
0.0,0.0,21.0,0.0,8.3,5.0,0.0,2.3,13.0,90.0,4.0,0.0,0.0,0.0,643.0,0.0,11.0,0.0,5726.0,0.0,5.0,2.0,2.0,-108.0,76.0,184.0,52.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,643.0,0.0,12.0,0.0,5778.0,1.0,1.0,0.0,0.0,-45.0,120.0,165.0,52.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,643.0,0.0,13.0,0.0,5685.0,0.0,1.0,0.0,0.0,-113.0,45.0,158.0,52.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.3,1.0,0.0,0.5,0.0,64.0,11.0,0.0,0.0,0.0,643.0,0.0,14.0,0.0,5630.0,1.0,1.0,4.0,2.0,-86.0,46.0,132.0,52.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,643.0,0.0,15.0,0.0,5628.0,2.0,3.0,0.0,0.0,-50.0,75.0,125.0,52.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,643.0,0.0,16.0,0.0,5608.0,1.0,2.0,0.0,0.0,-51.0,44.0,95.0,52.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,643.0,0.0,17.0,0.0,5570.0,1.0,0.0,0.0,0.0,-55.0,55.0,110.0,52.0,1.0,0.0,0.0
