assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,644.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,644.0,0.0,2.0,0.0,812.0,2.0,1.0,0.0,0.0,95.0,137.0,42.0,45.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.8,0.0,0.0,0.1,0.2,3.0,14.0,0.0,0.0,0.0,644.0,0.0,3.0,0.0,1285.0,0.0,1.0,0.0,1.0,29.0,196.0,167.0,45.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,1.2,0.0,0.0,0.5,4.0,15.0,15.0,0.0,0.0,0.0,644.0,0.0,4.0,0.0,1515.0,3.0,0.0,0.0,1.0,-32.0,185.0,217.0,45.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,644.0,0.0,5.0,0.0,1623.0,1.0,3.0,0.0,0.0,-22.0,116.0,138.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,644.0,0.0,6.0,0.0,1686.0,0.0,1.0,0.0,0.0,-65.0,116.0,181.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,644.0,0.0,7.0,0.0,1728.0,1.0,1.0,0.0,0.0,-28.0,101.0,129.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,644.0,0.0,8.0,0.0,1749.0,1.0,1.0,0.0,0.0,-53.0,61.0,114.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,644.0,0.0,9.0,0.0,1758.0,1.0,2.0,0.0,0.0,-32.0,47.0,79.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,644.0,0.0,10.0,0.0,1757.0,0.0,2.0,0.0,0.0,-34.0,31.0,65.0,44.0,1.0,0.0,0.0
0.0,0.0,-1.0,0.0,1.3,0.0,0.0,0.2,0.4,25.0,4.0,0.0,0.0,0.0,644.0,0.0,11.0,0.0,1764.0,0.0,5.0,0.0,1.0,-32.0,60.0,92.0,44.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,644.0,0.0,12.0,0.0,1806.0,1.0,1.0,0.0,0.0,-4.0,80.0,84.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,644.0,0.0,13.0,0.0,1807.0,0.0,1.0,0.0,0.0,-27.0,30.0,57.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,644.0,0.0,14.0,0.0,1831.0,1.0,1.0,0.0,0.0,0.0,44.0,44.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,644.0,0.0,15.0,0.0,1881.0,2.0,3.0,0.0,0.0,11.0,78.0,67.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,644.0,0.0,16.0,0.0,1887.0,1.0,2.0,0.0,0.0,-13.0,26.0,39.0,43.0,1.0,0.0,0.0
