assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,9.0,0.0,3.1,1.0,0.0,0.5,0.6,90.0,8.0,0.0,0.0,0.0,646.0,0.0,1.0,0.0,8637.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,50.0,1.0,0.0,2.0
0.0,0.0,21.0,1.0,40.3,0.0,0.0,6.5,16.2,90.0,16.0,0.0,0.0,0.0,646.0,0.0,2.0,0.0,10222.0,2.0,0.0,8.0,3.0,-109.0,482.0,591.0,50.0,0.0,0.0,3.0
0.0,0.0,11.0,0.0,2.0,1.0,0.0,2.3,11.0,90.0,11.0,0.0,0.0,0.0,646.0,0.0,3.0,0.0,11339.0,1.0,0.0,10.0,1.0,225.0,1100.0,875.0,50.0,1.0,1.0,1.0
1.0,0.0,17.0,0.0,5.5,1.0,0.0,1.0,3.8,90.0,3.0,0.0,0.0,0.0,646.0,0.0,4.0,0.0,11377.0,1.0,1.0,1.0,5.0,-481.0,752.0,1233.0,50.0,0.0,0.0,5.0
0.0,0.0,8.0,0.0,13.4,2.0,0.0,1.9,6.0,57.0,1.0,0.0,0.0,0.0,646.0,0.0,5.0,0.0,11703.0,4.0,1.0,0.0,1.0,-2.0,786.0,788.0,50.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,3.1,3.0,0.0,0.5,1.6,45.0,9.0,0.0,0.0,0.0,646.0,0.0,6.0,0.0,10835.0,1.0,5.0,0.0,0.0,-1028.0,383.0,1411.0,50.0,0.0,1.0,0.0
0.0,0.0,3.0,0.0,0.8,0.0,0.0,1.0,2.2,10.0,4.0,0.0,0.0,0.0,646.0,0.0,7.0,0.0,10079.0,2.0,0.0,7.0,1.0,-817.0,123.0,940.0,49.0,1.0,0.0,1.0
0.0,0.0,5.0,0.0,5.4,3.0,0.0,2.3,11.0,36.0,2.0,0.0,0.0,0.0,646.0,0.0,8.0,0.0,9619.0,1.0,6.0,7.0,1.0,-544.0,113.0,657.0,49.0,0.0,0.0,1.0
0.0,0.0,13.0,0.0,12.5,2.0,0.0,2.0,7.6,67.0,14.0,0.0,0.0,0.0,646.0,0.0,9.0,0.0,9068.0,2.0,0.0,0.0,2.0,-580.0,54.0,634.0,48.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,646.0,0.0,10.0,0.0,8730.0,0.0,1.0,0.0,0.0,-362.0,48.0,410.0,48.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.5,3.4,17.0,13.0,0.0,0.0,0.0,646.0,0.0,11.0,0.0,8276.0,1.0,2.0,1.0,1.0,-469.0,53.0,522.0,48.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,646.0,0.0,12.0,0.0,8067.0,0.0,3.0,0.0,0.0,-246.0,90.0,336.0,47.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,646.0,0.0,13.0,0.0,7858.0,1.0,1.0,0.0,0.0,-220.0,42.0,262.0,47.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,12.8,0.0,0.0,1.6,3.4,29.0,12.0,0.0,0.0,0.0,646.0,0.0,14.0,0.0,7656.0,0.0,1.0,0.0,1.0,-222.0,49.0,271.0,47.0,0.0,0.0,1.0
0.0,0.0,18.0,0.0,24.9,3.0,0.0,4.3,15.4,90.0,5.0,0.0,0.0,0.0,646.0,0.0,15.0,0.0,7450.0,3.0,3.0,3.0,2.0,-223.0,41.0,264.0,47.0,1.0,0.0,2.0
0.0,0.0,20.0,0.0,13.5,3.0,0.0,3.3,19.4,90.0,17.0,0.0,0.0,0.0,646.0,0.0,16.0,0.0,7364.0,0.0,3.0,0.0,2.0,-97.0,31.0,128.0,46.0,0.0,0.0,2.0
0.0,0.0,10.0,0.0,13.0,1.0,0.0,1.6,2.6,85.0,20.0,0.0,0.0,0.0,646.0,0.0,17.0,0.0,7323.0,0.0,1.0,0.0,2.0,-58.0,60.0,118.0,46.0,0.0,0.0,2.0
0.0,0.0,12.0,1.0,10.5,0.0,0.0,2.7,16.6,62.0,10.0,0.0,0.0,0.0,646.0,0.0,18.0,0.0,7347.0,3.0,0.0,0.0,3.0,-35.0,118.0,153.0,46.0,1.0,0.0,3.0
0.0,0.0,5.0,0.0,0.3,0.0,0.0,0.3,2.8,6.0,6.0,0.0,0.0,0.0,646.0,0.0,19.0,0.0,7502.0,2.0,2.0,0.0,1.0,120.0,243.0,123.0,46.0,1.0,0.0,1.0
0.0,0.0,15.0,0.0,19.6,3.0,0.0,5.0,15.2,90.0,19.0,0.0,0.0,0.0,646.0,0.0,20.0,0.0,7517.0,1.0,3.0,15.0,2.0,-6.0,153.0,159.0,46.0,0.0,0.0,2.0
1.0,2.0,29.0,0.0,14.2,1.0,0.0,4.4,15.8,90.0,2.0,0.0,0.0,0.0,646.0,0.0,21.0,0.0,7577.0,1.0,3.0,14.0,7.0,9.0,348.0,339.0,46.0,1.0,0.0,7.0
0.0,0.0,16.0,0.0,9.3,2.0,0.0,2.6,14.0,90.0,4.0,0.0,0.0,0.0,646.0,0.0,22.0,0.0,8457.0,0.0,2.0,3.0,2.0,787.0,1151.0,364.0,46.0,0.0,0.0,2.0
0.0,0.0,16.0,1.0,21.9,0.0,0.0,4.9,25.0,90.0,11.0,0.0,0.0,0.0,646.0,0.0,23.0,0.0,8912.0,0.0,0.0,2.0,3.0,364.0,664.0,300.0,46.0,0.0,0.0,3.0
0.0,0.0,16.0,1.0,14.3,0.0,0.0,3.8,23.2,90.0,9.0,0.0,0.0,0.0,646.0,0.0,24.0,0.0,9466.0,0.0,2.0,0.0,3.0,497.0,713.0,216.0,46.0,1.0,0.0,3.0
0.0,0.0,15.0,0.0,6.9,1.0,0.0,1.2,5.4,77.0,1.0,0.0,0.0,0.0,646.0,0.0,25.0,0.0,10492.0,0.0,2.0,0.0,2.0,901.0,1259.0,358.0,46.0,0.0,0.0,2.0
0.0,3.0,31.0,0.0,2.8,1.0,1.0,8.7,57.2,90.0,3.0,0.0,0.0,0.0,646.0,0.0,26.0,0.0,11681.0,1.0,1.0,27.0,9.0,1077.0,1454.0,377.0,46.0,1.0,1.0,9.0
0.0,0.0,5.0,0.0,2.9,3.0,0.0,0.9,5.6,90.0,8.0,1.0,0.0,0.0,646.0,0.0,27.0,0.0,19741.0,1.0,3.0,0.0,-1.0,7882.0,8596.0,714.0,46.0,0.0,1.0,-1.0
0.0,0.0,11.0,0.0,2.3,1.0,0.0,5.1,26.4,90.0,16.0,0.0,0.0,0.0,646.0,0.0,28.0,0.0,22502.0,1.0,2.0,22.0,1.0,2639.0,3955.0,1316.0,46.0,1.0,1.0,1.0
0.0,0.0,3.0,0.0,1.8,4.0,0.0,0.6,4.2,72.0,6.0,0.0,0.0,0.0,646.0,1.0,29.0,0.0,20358.0,0.0,4.0,0.0,-1.0,-2168.0,404.0,2572.0,46.0,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,646.0,0.0,30.0,0.0,15156.0,1.0,2.0,0.0,0.0,-5213.0,42.0,5255.0,46.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,646.0,0.0,31.0,0.0,13596.0,2.0,4.0,0.0,0.0,-1562.0,10.0,1572.0,46.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,646.0,0.0,32.0,0.0,12424.0,1.0,3.0,0.0,0.0,-1173.0,17.0,1190.0,46.0,0.0,0.0,0.0
0.0,0.0,11.0,0.0,14.1,2.0,0.0,2.6,9.4,69.0,14.0,0.0,0.0,0.0,646.0,0.0,33.0,0.0,12147.0,1.0,3.0,2.0,2.0,-294.0,167.0,461.0,46.0,0.0,0.0,2.0
0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.1,0.4,9.0,18.0,0.0,0.0,0.0,646.0,0.0,34.0,0.0,11844.0,0.0,2.0,0.0,1.0,-318.0,156.0,474.0,46.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.4,0.0,0.0,0.1,0.8,8.0,13.0,0.0,0.0,0.0,646.0,0.0,35.0,0.0,11561.0,0.0,0.0,0.0,1.0,-300.0,67.0,367.0,46.0,0.0,0.0,1.0
0.0,0.0,6.0,0.0,1.9,2.0,0.0,0.9,7.4,26.0,15.0,0.0,0.0,0.0,646.0,0.0,36.0,0.0,11356.0,2.0,0.0,0.0,1.0,-218.0,134.0,352.0,46.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,646.0,0.0,37.0,0.0,11059.0,0.0,4.0,0.0,0.0,-304.0,81.0,385.0,45.0,0.0,0.0,0.0
0.0,0.0,11.0,0.0,26.4,7.0,0.0,4.4,10.8,90.0,17.0,0.0,0.0,0.0,646.0,0.0,38.0,0.0,10828.0,7.0,1.0,7.0,2.0,-247.0,71.0,318.0,45.0,1.0,0.0,2.0
