assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,647.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,647.0,0.0,2.0,0.0,581.0,0.0,2.0,0.0,0.0,80.0,149.0,69.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,647.0,0.0,3.0,0.0,958.0,1.0,1.0,0.0,0.0,2.0,166.0,164.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,647.0,0.0,4.0,0.0,980.0,1.0,4.0,0.0,0.0,-89.0,43.0,132.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,647.0,0.0,5.0,0.0,981.0,2.0,1.0,0.0,0.0,-46.0,21.0,67.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,647.0,0.0,6.0,0.0,1188.0,1.0,5.0,0.0,0.0,44.0,197.0,153.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,647.0,0.0,7.0,0.0,1246.0,2.0,1.0,0.0,0.0,-10.0,90.0,100.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,647.0,0.0,8.0,0.0,1261.0,0.0,0.0,0.0,0.0,-32.0,29.0,61.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,647.0,0.0,9.0,0.0,1256.0,1.0,2.0,0.0,0.0,-30.0,20.0,50.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,647.0,0.0,10.0,0.0,1253.0,4.0,2.0,0.0,0.0,-19.0,13.0,32.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,647.0,0.0,11.0,0.0,1274.0,1.0,6.0,0.0,0.0,-11.0,28.0,39.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,647.0,0.0,12.0,0.0,1293.0,0.0,0.0,0.0,0.0,-18.0,21.0,39.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,647.0,0.0,13.0,0.0,1289.0,0.0,2.0,0.0,0.0,-17.0,20.0,37.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,647.0,0.0,14.0,0.0,1320.0,3.0,4.0,0.0,0.0,3.0,27.0,24.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,647.0,0.0,15.0,0.0,1340.0,2.0,2.0,0.0,0.0,-7.0,36.0,43.0,44.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.4,0.0,1.0,12.0,0.0,0.0,0.0,647.0,0.0,16.0,0.0,1341.0,3.0,0.0,4.0,1.0,-12.0,11.0,23.0,43.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,647.0,0.0,17.0,0.0,1352.0,1.0,0.0,0.0,0.0,-1.0,25.0,26.0,43.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,647.0,0.0,18.0,0.0,1365.0,1.0,4.0,0.0,0.0,-8.0,14.0,22.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,647.0,0.0,19.0,0.0,1375.0,0.0,1.0,0.0,0.0,-1.0,15.0,16.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,647.0,0.0,20.0,0.0,1392.0,2.0,2.0,0.0,0.0,6.0,28.0,22.0,43.0,0.0,0.0,0.0
0.0,0.0,14.0,0.0,10.9,1.0,0.0,4.6,17.2,90.0,11.0,0.0,0.0,0.0,647.0,0.0,21.0,0.0,1406.0,1.0,1.0,18.0,2.0,-8.0,37.0,45.0,43.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,647.0,0.0,22.0,0.0,1701.0,3.0,2.0,0.0,0.0,261.0,316.0,55.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,647.0,0.0,23.0,0.0,1790.0,1.0,1.0,0.0,0.0,47.0,144.0,97.0,43.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,647.0,0.0,24.0,0.0,1813.0,0.0,2.0,0.0,0.0,3.0,64.0,61.0,43.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,17.0,0.0,0.0,0.0,647.0,0.0,25.0,0.0,1848.0,0.0,2.0,0.0,1.0,8.0,74.0,66.0,43.0,1.0,0.0,1.0
