assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1268.0,0.0,119.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1268.0,0.0,120.0,0.0,4535.0,0.0,0.0,0.0,0.0,2790.0,3397.0,607.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1268.0,0.0,121.0,0.0,8427.0,0.0,2.0,0.0,0.0,2533.0,3625.0,1092.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1268.0,0.0,122.0,0.0,10629.0,0.0,3.0,0.0,0.0,1343.0,2350.0,1007.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1268.0,0.0,123.0,0.0,12849.0,1.0,2.0,0.0,0.0,1517.0,2648.0,1131.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1268.0,0.0,124.0,0.0,13337.0,2.0,3.0,0.0,0.0,398.0,1347.0,949.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1268.0,0.0,125.0,0.0,14332.0,0.0,2.0,0.0,0.0,408.0,1969.0,1561.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1268.0,0.0,126.0,0.0,14721.0,1.0,3.0,0.0,0.0,-85.0,1246.0,1331.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1268.0,0.0,127.0,0.0,15179.0,2.0,0.0,0.0,0.0,33.0,1244.0,1211.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1268.0,0.0,128.0,0.0,15380.0,1.0,2.0,0.0,0.0,-25.0,746.0,771.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1268.0,0.0,129.0,0.0,15568.0,2.0,1.0,0.0,0.0,36.0,547.0,511.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1268.0,0.0,130.0,0.0,15951.0,2.0,2.0,0.0,0.0,148.0,743.0,595.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1268.0,0.0,131.0,0.0,16873.0,1.0,1.0,0.0,0.0,446.0,1221.0,775.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1268.0,0.0,132.0,0.0,17595.0,1.0,0.0,0.0,0.0,-10.0,800.0,810.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1268.0,0.0,133.0,0.0,17543.0,1.0,2.0,0.0,0.0,103.0,711.0,608.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1268.0,0.0,134.0,0.0,17668.0,0.0,2.0,0.0,0.0,33.0,552.0,519.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1268.0,0.0,135.0,0.0,17567.0,1.0,1.0,0.0,0.0,-275.0,689.0,964.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1268.0,0.0,136.0,0.0,17842.0,0.0,1.0,0.0,0.0,-58.0,877.0,935.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1268.0,0.0,137.0,0.0,17363.0,1.0,1.0,0.0,0.0,-622.0,563.0,1185.0,40.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1268.0,0.0,138.0,0.0,16248.0,1.0,3.0,0.0,0.0,-1060.0,55.0,1115.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1268.0,0.0,139.0,0.0,15210.0,3.0,3.0,0.0,0.0,-1081.0,68.0,1149.0,40.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1268.0,0.0,140.0,0.0,14716.0,1.0,1.0,0.0,0.0,-507.0,78.0,585.0,40.0,1.0,0.0,0.0
