assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,14.0,0.0,0.0,2.0,0.0,1.5,14.8,90.0,10.0,0.0,0.0,0.0,659.0,0.0,1.0,3.0,39647.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,45.0,0.0,0.0,2.0
0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.6,5.8,90.0,12.0,0.0,0.0,0.0,659.0,0.0,2.0,1.0,45301.0,2.0,1.0,0.0,1.0,1459.0,3020.0,1561.0,45.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,659.0,0.0,3.0,0.0,39608.0,1.0,1.0,0.0,0.0,-6447.0,659.0,7106.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,659.0,0.0,4.0,0.0,31187.0,3.0,0.0,0.0,0.0,-8483.0,64.0,8547.0,45.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,659.0,0.0,5.0,0.0,28420.0,0.0,1.0,0.0,0.0,-2790.0,21.0,2811.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,659.0,0.0,6.0,0.0,24916.0,3.0,2.0,0.0,0.0,-3538.0,51.0,3589.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,659.0,0.0,7.0,0.0,23132.0,1.0,1.0,0.0,0.0,-1804.0,20.0,1824.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,659.0,0.0,8.0,0.0,21637.0,0.0,2.0,0.0,0.0,-1537.0,36.0,1573.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,659.0,0.0,9.0,0.0,20667.0,0.0,1.0,0.0,0.0,-981.0,20.0,1001.0,44.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,659.0,0.0,10.0,0.0,19863.0,4.0,1.0,0.0,0.0,-823.0,13.0,836.0,44.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,659.0,0.0,11.0,0.0,18978.0,2.0,1.0,0.0,0.0,-905.0,20.0,925.0,44.0,0.0,0.0,0.0
