assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.2,2.0,90.0,14.0,0.0,0.0,0.0,660.0,0.0,1.0,0.0,251531.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,45.0,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,660.0,0.0,2.0,0.0,280313.0,2.0,1.0,0.0,0.0,4362.0,12690.0,8328.0,45.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,660.0,0.0,3.0,0.0,244267.0,0.0,0.0,0.0,0.0,-39936.0,3339.0,43275.0,45.0,0.0,0.0,0.0
0.0,0.0,12.0,0.0,0.0,2.0,0.0,1.1,11.0,90.0,5.0,0.0,0.0,0.0,660.0,0.0,4.0,2.0,209480.0,2.0,1.0,0.0,1.0,-35837.0,1567.0,37404.0,45.0,1.0,0.0,1.0
0.0,0.0,14.0,0.0,0.0,3.0,0.0,1.8,17.6,90.0,6.0,0.0,0.0,0.0,660.0,0.0,5.0,3.0,202886.0,1.0,3.0,0.0,2.0,-7745.0,1125.0,8870.0,45.0,0.0,0.0,2.0
0.0,0.0,14.0,0.0,0.0,2.0,0.0,2.4,23.6,90.0,17.0,0.0,0.0,0.0,660.0,0.0,6.0,3.0,189319.0,2.0,1.0,0.0,2.0,-14606.0,1471.0,16077.0,45.0,1.0,0.0,2.0
0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.6,5.8,90.0,20.0,0.0,0.0,0.0,660.0,0.0,7.0,1.0,183057.0,1.0,1.0,0.0,2.0,-7044.0,1196.0,8240.0,45.0,0.0,0.0,2.0
0.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,10.0,90.0,18.0,0.0,0.0,0.0,660.0,0.0,8.0,1.0,178674.0,1.0,0.0,0.0,2.0,-5368.0,1018.0,6386.0,45.0,1.0,0.0,2.0
0.0,3.0,33.0,1.0,0.0,0.0,0.0,4.0,40.0,90.0,1.0,0.0,0.0,0.0,660.0,0.0,9.0,5.0,173615.0,0.0,0.0,0.0,10.0,-5570.0,598.0,6168.0,45.0,0.0,0.0,10.0
0.0,0.0,25.0,1.0,0.0,0.0,0.0,2.1,20.8,90.0,2.0,0.0,0.0,0.0,660.0,0.0,10.0,2.0,178495.0,0.0,2.0,0.0,6.0,3338.0,5398.0,2060.0,45.0,1.0,0.0,6.0
0.0,0.0,21.0,0.0,0.0,1.0,0.0,4.1,41.4,90.0,10.0,0.0,0.0,0.0,660.0,0.0,11.0,6.0,181766.0,1.0,1.0,0.0,4.0,1684.0,6299.0,4615.0,45.0,0.0,0.0,4.0
