assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,10.0,0.0,0.0,0.0,661.0,0.0,1.0,0.0,14733.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,65.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,661.0,0.0,2.0,0.0,13708.0,2.0,1.0,0.0,0.0,-1591.0,273.0,1864.0,65.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,661.0,0.0,3.0,0.0,11154.0,1.0,1.0,0.0,0.0,-2719.0,122.0,2841.0,64.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,34.0,6.0,0.0,0.0,0.0,661.0,0.0,4.0,0.0,9448.0,3.0,0.0,17.0,1.0,-1816.0,63.0,1879.0,63.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,1.3,0.0,0.0,0.2,0.2,12.0,17.0,0.0,0.0,0.0,661.0,0.0,5.0,0.0,8572.0,0.0,1.0,0.0,1.0,-932.0,23.0,955.0,63.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,661.0,0.0,6.0,0.0,7400.0,3.0,2.0,0.0,0.0,-1207.0,15.0,1222.0,62.0,1.0,0.0,0.0
0.0,0.0,10.0,0.0,33.3,1.0,0.0,6.6,11.2,89.0,19.0,0.0,0.0,0.0,661.0,0.0,7.0,0.0,6919.0,1.0,1.0,21.0,2.0,-503.0,20.0,523.0,62.0,1.0,0.0,2.0
0.0,0.0,10.0,0.0,50.2,2.0,0.0,9.5,10.6,90.0,14.0,0.0,0.0,0.0,661.0,0.0,8.0,0.0,6823.0,0.0,2.0,34.0,2.0,-275.0,39.0,314.0,62.0,0.0,0.0,2.0
0.0,0.0,-3.0,1.0,42.8,0.0,0.0,5.6,4.4,85.0,20.0,0.0,0.0,0.0,661.0,0.0,9.0,0.0,6662.0,0.0,1.0,9.0,2.0,-198.0,15.0,213.0,62.0,0.0,1.0,2.0
0.0,0.0,9.0,0.0,8.7,4.0,0.0,1.7,6.4,90.0,1.0,0.0,0.0,0.0,661.0,0.0,10.0,0.0,6545.0,4.0,1.0,2.0,1.0,-140.0,27.0,167.0,61.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,661.0,0.0,11.0,0.0,6466.0,2.0,1.0,0.0,0.0,-146.0,56.0,202.0,61.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,661.0,0.0,12.0,0.0,6379.0,0.0,3.0,0.0,0.0,-118.0,53.0,171.0,61.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,661.0,0.0,13.0,0.0,6280.0,0.0,2.0,0.0,0.0,-111.0,17.0,128.0,61.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,661.0,0.0,14.0,0.0,6201.0,1.0,2.0,0.0,0.0,-95.0,27.0,122.0,61.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,661.0,0.0,15.0,0.0,6143.0,0.0,3.0,0.0,0.0,-81.0,22.0,103.0,61.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,1.5,0.0,0.0,0.3,0.0,9.0,4.0,0.0,0.0,0.0,661.0,0.0,16.0,0.0,6088.0,1.0,0.0,2.0,1.0,-69.0,10.0,79.0,61.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,661.0,0.0,17.0,0.0,6059.0,0.0,1.0,0.0,1.0,-39.0,27.0,66.0,61.0,1.0,0.0,1.0
0.0,0.0,5.0,0.0,0.2,1.0,0.0,0.3,2.8,8.0,11.0,0.0,0.0,0.0,661.0,0.0,18.0,0.0,6015.0,1.0,3.0,0.0,1.0,-83.0,17.0,100.0,60.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,661.0,0.0,19.0,0.0,6001.0,1.0,4.0,0.0,0.0,-32.0,19.0,51.0,60.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,661.0,0.0,20.0,0.0,5986.0,2.0,2.0,0.0,1.0,-36.0,20.0,56.0,60.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,661.0,0.0,21.0,0.0,5819.0,3.0,1.0,0.0,0.0,-193.0,18.0,211.0,60.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,661.0,0.0,22.0,0.0,5757.0,0.0,2.0,0.0,0.0,-81.0,12.0,93.0,60.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,661.0,0.0,23.0,0.0,5767.0,0.0,0.0,0.0,0.0,-63.0,19.0,82.0,60.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,661.0,0.0,24.0,0.0,5734.0,4.0,0.0,0.0,0.0,-50.0,5.0,55.0,60.0,0.0,0.0,0.0
0.0,0.0,-1.0,0.0,15.2,2.0,0.0,2.4,0.4,10.0,13.0,0.0,0.0,0.0,661.0,0.0,25.0,0.0,5789.0,4.0,0.0,8.0,0.0,-25.0,21.0,46.0,60.0,1.0,1.0,0.0
0.0,0.0,3.0,0.0,1.1,1.0,0.0,0.3,1.4,12.0,6.0,0.0,0.0,0.0,661.0,0.0,26.0,0.0,5781.0,0.0,2.0,0.0,1.0,-33.0,12.0,45.0,60.0,0.0,0.0,1.0
0.0,0.0,4.0,0.0,14.3,0.0,0.0,1.7,2.2,9.0,10.0,0.0,0.0,0.0,661.0,0.0,27.0,0.0,5774.0,2.0,0.0,0.0,1.0,-18.0,10.0,28.0,60.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.4,1.0,13.0,3.0,0.0,0.0,0.0,661.0,0.0,29.0,0.0,5771.0,0.0,0.0,0.0,1.0,-2.0,16.0,18.0,60.0,1.0,0.0,1.0
0.0,0.0,-2.0,0.0,15.2,0.0,0.0,2.7,1.6,21.0,18.0,0.0,0.0,0.0,661.0,0.0,30.0,0.0,5767.0,0.0,1.0,10.0,0.0,-14.0,8.0,22.0,60.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.3,1.0,0.0,0.2,0.0,18.0,8.0,0.0,0.0,0.0,661.0,0.0,31.0,0.0,5764.0,0.0,2.0,2.0,1.0,-4.0,5.0,9.0,60.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,661.0,0.0,32.0,0.0,5758.0,3.0,0.0,0.0,0.0,-8.0,1.0,9.0,60.0,1.0,0.0,0.0
0.0,3.0,29.0,0.0,60.3,2.0,1.0,13.6,47.2,90.0,20.0,0.0,0.0,0.0,661.0,0.0,33.0,0.0,5757.0,2.0,2.0,28.0,10.0,-7.0,16.0,23.0,60.0,1.0,0.0,10.0
0.0,0.0,11.0,0.0,46.3,1.0,0.0,6.6,10.0,76.0,12.0,0.0,0.0,0.0,661.0,0.0,34.0,0.0,5874.0,0.0,1.0,10.0,2.0,100.0,128.0,28.0,60.0,0.0,0.0,2.0
0.0,0.0,9.0,0.0,30.6,1.0,0.0,6.4,6.0,90.0,2.0,0.0,0.0,0.0,661.0,0.0,35.0,0.0,5929.0,1.0,0.0,27.0,1.0,47.0,91.0,44.0,60.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,661.0,0.0,36.0,0.0,5927.0,2.0,0.0,0.0,0.0,-6.0,59.0,65.0,60.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,661.0,0.0,37.0,0.0,5903.0,0.0,2.0,0.0,0.0,-29.0,51.0,80.0,60.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,661.0,0.0,38.0,0.0,5857.0,1.0,5.0,0.0,0.0,-51.0,15.0,66.0,60.0,0.0,0.0,0.0
