assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,2.0,0.0,1.1,1.0,0.0,2.3,5.0,73.0,17.0,0.0,0.0,0.0,1272.0,0.0,115.0,0.0,59003.0,1.0,3.0,17.0,2.0,0.0,0.0,0.0,60.0,0.0,0.0,2.0
0.0,0.0,6.0,0.0,11.2,2.0,0.0,4.8,5.8,90.0,3.0,0.0,0.0,0.0,1272.0,0.0,116.0,0.0,70354.0,2.0,1.0,31.0,2.0,4529.0,14202.0,9673.0,60.0,1.0,0.0,2.0
0.0,3.0,28.0,1.0,23.0,0.0,1.0,9.9,38.8,90.0,8.0,0.0,0.0,0.0,1272.0,0.0,117.0,0.0,64136.0,0.0,2.0,37.0,9.0,-7448.0,10518.0,17966.0,60.0,1.0,0.0,9.0
0.0,0.0,8.0,0.0,2.5,1.0,0.0,5.5,9.0,84.0,7.0,0.0,0.0,0.0,1272.0,0.0,118.0,0.0,130782.0,0.0,1.0,43.0,2.0,57067.0,79153.0,22086.0,60.0,0.0,0.0,2.0
0.0,0.0,-1.0,1.0,4.0,0.0,0.0,3.5,6.6,90.0,19.0,0.0,0.0,0.0,1272.0,0.0,119.0,0.0,139809.0,0.0,0.0,24.0,2.0,7501.0,35877.0,28376.0,60.0,1.0,0.0,2.0
0.0,1.0,29.0,0.0,1.1,3.0,1.0,8.0,36.4,90.0,1.0,0.0,0.0,0.0,1272.0,0.0,120.0,0.0,109941.0,2.0,3.0,42.0,7.0,-29167.0,5158.0,34325.0,60.0,0.0,0.0,7.0
0.0,0.0,2.0,0.0,12.2,2.0,0.0,1.4,0.0,87.0,5.0,0.0,0.0,0.0,1272.0,0.0,121.0,0.0,127692.0,2.0,2.0,4.0,2.0,13724.0,29406.0,15682.0,60.0,1.0,0.0,2.0
1.0,3.0,50.0,0.0,15.9,1.0,2.0,23.6,97.4,90.0,14.0,0.0,1.0,0.0,1272.0,0.0,122.0,0.0,121676.0,5.0,1.0,123.0,14.0,-5838.0,9746.0,15584.0,60.0,0.0,0.0,14.0
0.0,0.0,2.0,0.0,1.3,1.0,0.0,2.6,0.0,75.0,4.0,0.0,0.0,0.0,1272.0,0.0,123.0,0.0,223485.0,1.0,2.0,30.0,2.0,92738.0,105782.0,13044.0,61.0,1.0,0.0,2.0
0.0,0.0,4.0,0.0,4.3,3.0,0.0,2.7,0.0,70.0,11.0,0.0,0.0,0.0,1272.0,0.0,124.0,0.0,192079.0,0.0,3.0,24.0,2.0,-26753.0,12616.0,39369.0,61.0,0.0,0.0,2.0
0.0,0.0,-2.0,1.0,3.8,0.0,0.0,0.7,0.0,85.0,10.0,0.0,0.0,0.0,1272.0,0.0,125.0,0.0,189226.0,2.0,1.0,10.0,2.0,-5623.0,25308.0,30931.0,61.0,1.0,0.0,2.0
0.0,0.0,7.0,0.0,1.7,2.0,0.0,3.3,11.0,90.0,20.0,0.0,0.0,0.0,1272.0,0.0,126.0,0.0,183033.0,1.0,2.0,20.0,2.0,-6602.0,14127.0,20729.0,60.0,0.0,0.0,2.0
0.0,0.0,-1.0,1.0,23.0,0.0,0.0,6.9,6.8,90.0,13.0,0.0,0.0,0.0,1272.0,0.0,127.0,0.0,184931.0,0.0,2.0,39.0,1.0,-853.0,23277.0,24130.0,60.0,1.0,1.0,1.0
0.0,0.0,5.0,0.0,1.1,2.0,0.0,3.9,12.4,90.0,12.0,0.0,0.0,0.0,1272.0,0.0,128.0,0.0,157508.0,2.0,2.0,25.0,2.0,-26409.0,4227.0,30636.0,59.0,0.0,0.0,2.0
0.0,0.0,2.0,0.0,2.1,2.0,0.0,1.0,3.6,90.0,6.0,0.0,0.0,0.0,1272.0,0.0,129.0,0.0,145271.0,1.0,2.0,4.0,2.0,-13358.0,3478.0,16836.0,59.0,0.0,0.0,2.0
