assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,player,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,total_points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,667.0,0.0,1.0,0.0,31888.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,667.0,0.0,2.0,0.0,27286.0,4.0,1.0,0.0,0.0,-6526.0,258.0,6784.0,74.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,667.0,0.0,3.0,0.0,22315.0,1.0,3.0,0.0,0.0,-5522.0,372.0,5894.0,73.0,1.0,0.0,0.0
0.0,0.0,7.0,0.0,7.1,4.0,0.0,7.3,4.2,90.0,17.0,0.0,0.0,0.0,667.0,0.0,4.0,0.0,63335.0,4.0,0.0,62.0,2.0,39037.0,48794.0,9757.0,73.0,1.0,0.0,2.0
0.0,0.0,2.0,0.0,5.5,4.0,0.0,3.2,6.8,90.0,5.0,0.0,0.0,0.0,667.0,0.0,5.0,0.0,59546.0,1.0,4.0,20.0,2.0,-4391.0,4527.0,8918.0,73.0,0.0,0.0,2.0
0.0,0.0,12.0,1.0,15.0,0.0,0.0,2.7,3.6,60.0,19.0,0.0,0.0,0.0,667.0,0.0,6.0,0.0,50260.0,1.0,1.0,8.0,2.0,-9833.0,4641.0,14474.0,73.0,1.0,0.0,2.0
0.0,0.0,3.0,0.0,14.5,1.0,0.0,2.3,4.0,76.0,11.0,0.0,0.0,0.0,667.0,0.0,7.0,0.0,38893.0,1.0,1.0,4.0,2.0,-11660.0,561.0,12221.0,73.0,0.0,0.0,2.0
0.0,0.0,7.0,1.0,26.3,0.0,0.0,5.3,6.6,75.0,15.0,0.0,0.0,0.0,667.0,0.0,8.0,0.0,39515.0,0.0,2.0,20.0,2.0,-38.0,4680.0,4718.0,73.0,1.0,0.0,2.0
0.0,0.0,0.0,1.0,8.2,0.0,0.0,3.9,0.0,71.0,7.0,0.0,0.0,0.0,667.0,0.0,9.0,0.0,41299.0,2.0,0.0,32.0,2.0,1353.0,4978.0,3625.0,73.0,0.0,0.0,2.0
0.0,3.0,54.0,0.0,26.3,1.0,2.0,17.6,65.8,78.0,16.0,0.0,0.0,0.0,667.0,0.0,10.0,0.0,40627.0,1.0,3.0,84.0,13.0,-1001.0,2619.0,3620.0,73.0,1.0,0.0,13.0
0.0,0.0,5.0,0.0,13.5,1.0,0.0,3.8,2.2,70.0,20.0,0.0,0.0,0.0,667.0,0.0,11.0,0.0,61616.0,1.0,1.0,22.0,2.0,19107.0,21969.0,2862.0,73.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.4,1.0,0.0,2.9,9.6,67.0,2.0,0.0,0.0,0.0,667.0,0.0,12.0,0.0,70793.0,1.0,0.0,19.0,1.0,8084.0,13676.0,5592.0,73.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,667.0,0.0,13.0,0.0,61493.0,1.0,0.0,0.0,0.0,-9600.0,1981.0,11581.0,73.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,667.0,0.0,14.0,0.0,50991.0,0.0,2.0,0.0,0.0,-10736.0,1581.0,12317.0,73.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,667.0,0.0,15.0,0.0,39816.0,1.0,3.0,0.0,0.0,-11366.0,367.0,11733.0,73.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,667.0,0.0,16.0,0.0,36058.0,0.0,0.0,0.0,0.0,-3884.0,492.0,4376.0,72.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,667.0,0.0,17.0,0.0,33570.0,2.0,2.0,0.0,0.0,-2601.0,472.0,3073.0,71.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,0.1,0.0,0.0,0.0,0.2,7.0,9.0,0.0,0.0,0.0,667.0,0.0,18.0,0.0,31531.0,1.0,4.0,0.0,1.0,-2241.0,266.0,2507.0,71.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,667.0,0.0,19.0,0.0,30663.0,2.0,4.0,0.0,0.0,-969.0,160.0,1129.0,70.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,667.0,0.0,20.0,0.0,30235.0,0.0,2.0,0.0,0.0,-537.0,184.0,721.0,70.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,667.0,0.0,21.0,0.0,28458.0,3.0,1.0,0.0,0.0,-1981.0,153.0,2134.0,70.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,667.0,0.0,22.0,0.0,27720.0,1.0,1.0,0.0,0.0,-824.0,73.0,897.0,70.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,667.0,0.0,23.0,0.0,27306.0,1.0,1.0,0.0,0.0,-471.0,60.0,531.0,69.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,667.0,0.0,24.0,0.0,27143.0,0.0,1.0,0.0,0.0,-181.0,57.0,238.0,69.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,667.0,0.0,25.0,0.0,27022.0,0.0,1.0,0.0,0.0,-172.0,120.0,292.0,69.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,667.0,0.0,26.0,0.0,26954.0,0.0,4.0,0.0,0.0,-148.0,121.0,269.0,69.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,667.0,0.0,27.0,0.0,27014.0,0.0,0.0,0.0,0.0,20.0,208.0,188.0,69.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,667.0,0.0,29.0,0.0,26816.0,2.0,1.0,0.0,0.0,-77.0,37.0,114.0,69.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,667.0,0.0,30.0,0.0,26773.0,0.0,2.0,0.0,0.0,-88.0,69.0,157.0,69.0,0.0,0.0,0.0
